Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Earth Science	GEOG 8,MORRIS P S	GEOG 8	MORRIS P S	2	4	2		19
Earth Science	GEOG 8,MORRIS P S	GEOG 8	MORRIS P S	3	5	4		17
Earth Science	GEOG 11,MORRIS P S	GEOG 11	MORRIS P S	1	7	1		14
Earth Science	GEOG 11,ABATE A	GEOG 11	ABATE A	1	2	4		11
Earth Science	GEOG 14,DRAKE V G	GEOG 14	DRAKE V G	7	5	9		44
Earth Science	GEOG 14,SELBY W A	GEOG 14	SELBY W A	6	9	7	1	40
Earth Science	GEOG 20,DRAKE V G	GEOG 20	DRAKE V G	1		1		11
Earth Science	GEOG 23,KAHN P J 	GEOG 23	KAHN P J 	1			3	5
Earth Science	GEOG 35S,SELBY W A	GEOG 35S	SELBY W A	20		1	2	28
Earth Science	GEOL 1,THOMPSON C K	GEOL 1	THOMPSON C K	7	10	16		44
Earth Science	GEOL 1,THOMPSON C K	GEOL 1	THOMPSON C K	11	11	6	2	42
Earth Science	GEOL 1,ROBINSON R C	GEOL 1	ROBINSON R C	8	12	10	3	37
Earth Science	GEOL 4,THOMPSON C K	GEOL 4	THOMPSON C K	9	11	9		35
Earth Science	GEOL 4,KREMENETSKI K V	GEOL 4	KREMENETSKI K V	10	17	10	2	39
Earth Science	GEOL 5,GRIPPO A	GEOL 5	GRIPPO A	6		8		24
Earth Science	GEOL 31,GRIPPO A	GEOL 31	GRIPPO A	3	3	12		33
Earth Science	GEOL 31,THOMPSON C K	GEOL 31	THOMPSON C K	16	13	2		41
Earth Science	GEOL 31,KREMENETSKI K V	GEOL 31	KREMENETSKI K V	6	9	8		29
Earth Science	GEOL 35,THOMPSON C K	GEOL 35	THOMPSON C K	11		1		13
Earth Science	GIS 20,DRAKE V G	GIS 20	DRAKE V G	4				13
Earth Science	GIS 23,KAHN P J	GIS 23	KAHN P J	6	1			11
Earth Science	GLOBAL 11,MORRIS P S	GLOBAL 11	MORRIS P S	2				8
Earth Science	GLOBAL 11,ABATE A	GLOBAL 11	ABATE A	3	6	2	1	20
Earth Science	PV 1,COOLEY S	PV 1	COOLEY S	9	3	4		18
Earth Science	PV 2,PARRISH P T	PV 2	PARRISH P T	4	4	5		16
Earth Science	PV 3,RUIZ E S	PV 3	RUIZ E S	13	1	1		19
Earth Science	RRM 1,CHARLES V H	RRM 1	CHARLES V H	12	2	2		20
Earth Science	RRM 2,SOMMER S L	RRM 2	SOMMER S L	8	3	4		18
Earth Science	RRM 3,HULS J M	RRM 3	HULS J M	19	8	5	1	44
Earth Science	RRM 4,CHARLES V H	RRM 4	CHARLES V H	8	7	4		36
Earth Science	URBAN 8,MORRIS P S	URBAN 8	MORRIS P S	2	1	2		14
Earth Science	URBAN 8,MORRIS P S	URBAN 8	MORRIS P S	3	2	4		22
Education/ECE	ECE 2,DOPHNA G R	ECE 2	DOPHNA G R	9	6	4		30
Education/ECE	ECE 2,DOPHNA G R	ECE 2	DOPHNA G R	20	2	2		26
Education/ECE	ECE 2,KARAOLIS O	ECE 2	KARAOLIS O	11	3	2		18
Education/ECE	ECE 2,POURROY D M	ECE 2	POURROY D M	26	1	8		39
Education/ECE	ECE 2,POURROY D M	ECE 2	POURROY D M	27	5	6		47
Education/ECE	ECE 4,DOPHNA G R	ECE 4	DOPHNA G R	22	5	2		32
Education/ECE	ECE 4,MCPEAKE P	ECE 4	MCPEAKE P	5	13	2		29
Education/ECE	ECE 5,DOPHNA G R	ECE 5	DOPHNA G R	23	4	1		31
Education/ECE	ECE 8,KARAOLIS O	ECE 8	KARAOLIS O	23	6			36
Education/ECE	ECE 11,GRAY L B	ECE 11	GRAY L B	31	5			38
Education/ECE	ECE 11,GRACE Y H	ECE 11	GRACE Y H	15	8	1		34
Education/ECE	ECE 11,TANNATT M G M	ECE 11	TANNATT M G M	11	11	3		33
Education/ECE	ECE 11,TANNATT M G M	ECE 11	TANNATT M G M	8	6	7		31
Education/ECE	ECE 11,LERNER N F	ECE 11	LERNER N F	9	3	6		19
Education/ECE	ECE 11,GRACE Y H	ECE 11	GRACE Y H	20	9	1		33
Education/ECE	ECE 17,MANSON L J	ECE 17	MANSON L J	29	8	3		41
Education/ECE	ECE 17,RICHARD C	ECE 17	RICHARD C	6	8	4		25
Education/ECE	ECE 19,TALLEDA M L	ECE 19	TALLEDA M L	21	2	2	1	30
Education/ECE	ECE 19,DRUKER S L	ECE 19	DRUKER S L	9	6	2		29
Education/ECE	ECE 21,DOPHNA G R	ECE 21	DOPHNA G R	20				25
Education/ECE	ECE 21,GRACE Y H	ECE 21	GRACE Y H	14	4	3		26
Education/ECE	ECE 22,BACKLAR N P	ECE 22	BACKLAR N P	14	5	1		26
Education/ECE	ECE 22,BACINO J R	ECE 22	BACINO J R	6	2			11
Education/ECE	ECE 23,KARAOLIS O	ECE 23	KARAOLIS O	6				8
Education/ECE	ECE 41,GUNN A C	ECE 41	GUNN A C	22	7	2		33
Education/ECE	ECE 43,GUNN A C	ECE 43	GUNN A C	10	7	3		23
Education/ECE	ECE 45,PARISE W A	ECE 45	PARISE W A	10	9	6		34
Education/ECE	ECE 45,JOACHIM S L	ECE 45	JOACHIM S L	16	12	5		40
Education/ECE	ECE 46,MCGRATH M T	ECE 46	MCGRATH M T	12	12	5		35
Education/ECE	ECE 46,MCGRATH M T	ECE 46	MCGRATH M T	21	5	4		31
Education/ECE	ECE 48,KHOKHA E W	ECE 48	KHOKHA E W	16	4	1		26
Education/ECE	ECE 49,JOACHIM S L	ECE 49	JOACHIM S L	10	5	1		25
Education/ECE	ECE 51,HEIMANN R Y	ECE 51	HEIMANN R Y	3	4			13
Education/ECE	ECE 52,KHOKHA E W	ECE 52	KHOKHA E W	14	4	1		35
Education/ECE	ECE 64,MANSON L J	ECE 64	MANSON L J	20	7	3	1	33
Education/ECE	ECE 64,GUNN A C	ECE 64	GUNN A C	18	4	2		27
Education/ECE	ECE 64,WILSON L M	ECE 64	WILSON L M	31	2			35
Education/ECE	EDUC 1,PEREZ‐FERNANDEZ L	EDUC 1	PEREZ‐FERNANDEZ L	6	3	5		23
Education/ECE	EDUC 2,TALLEDA M L	EDUC 2	TALLEDA M L	8	2	1		17
English	ENGL 1,BRIGSTOCKE J W	ENGL 1	BRIGSTOCKE J W	4	5			24
English	ENGL 1,ZEHR D M	ENGL 1	ZEHR D M	5	1	13		35
English	ENGL 1,BLACKWELL N	ENGL 1	BLACKWELL N	4	8	7		35
English	ENGL 1,DRISCOLL L V	ENGL 1	DRISCOLL L V	14	6	3		26
English	ENGL 1,IRELAND S P	ENGL 1	IRELAND S P	17	12	1		32
English	ENGL 1,GILDNER B J	ENGL 1	GILDNER B J	1	1	6		23
English	ENGL 1,BRIGSTOCKE J W	ENGL 1	BRIGSTOCKE J W	4	9			31
English	ENGL 1,HERBERT S	ENGL 1	HERBERT S	5	11	2		34
English	ENGL 1,HERTZ U L	ENGL 1	HERTZ U L	2	3	6		25
English	ENGL 1,WATTS J W	ENGL 1	WATTS J W	9	11	8		35
English	ENGL 1,PAIK‐SCHOENBERG J	ENGL 1	PAIK‐SCHOENBERG J	1	4	6		30
English	ENGL 1,MENTON K T	ENGL 1	MENTON K T	5	9	4		33
English	ENGL 1,TYSON T L	ENGL 1	TYSON T L	4	6	6		23
English	ENGL 1,BRIGSTOCKE J W	ENGL 1	BRIGSTOCKE J W	4	7	4		35
English	ENGL 1,DESAI D H	ENGL 1	DESAI D H	2	16	2		25
English	ENGL 1,BONAR H S	ENGL 1	BONAR H S	7	11	3		25
English	ENGL 1,STIRLING M S	ENGL 1	STIRLING M S	2	2	2	1	26
English	ENGL 1,MEIR N K	ENGL 1	MEIR N K	7	3	3		17
English	ENGL 1,BONAR H S	ENGL 1	BONAR H S	6	9	2		25
English	ENGL 1,TOBENKIN L E	ENGL 1	TOBENKIN L E	10	3	1		23
English	ENGL 1,KAUFFMAN S R	ENGL 1	KAUFFMAN S R	25	9	1		45
English	ENGL 1,PADILLA M R	ENGL 1	PADILLA M R	7	10	2		27
English	ENGL 1,HERBERT S	ENGL 1	HERBERT S	4	13	10		38
English	ENGL 1,GILDNER B J 	ENGL 1	GILDNER B J 	7	9	2	7	25
English	ENGL 1,DRISCOLL L V	ENGL 1	DRISCOLL L V	12	11	7		35
English	ENGL 1,IRELAND S P	ENGL 1	IRELAND S P	9	16	3		30
English	ENGL 1,BLACKWELL N	ENGL 1	BLACKWELL N	11	10	2		34
English	ENGL 1,CAGGIANO S E	ENGL 1	CAGGIANO S E	4	11	4		27
English	ENGL 1,FONSECA M L	ENGL 1	FONSECA M L	2	3	3		26
English	ENGL 1,MATTESSICH S N	ENGL 1	MATTESSICH S N	7	5	13		36
English	ENGL 1,MENTON K T	ENGL 1	MENTON K T	1	8	16		34
English	ENGL 1,PAIK‐SCHOENBERG J	ENGL 1	PAIK‐SCHOENBERG J	4	5	3		32
English	ENGL 1,MOTOIKE K J	ENGL 1	MOTOIKE K J	5	7	6		26
English	ENGL 1,STIRLING M S 	ENGL 1	STIRLING M S 	5	6	2	5	21
English	ENGL 1,ARIEFF D E	ENGL 1	ARIEFF D E	5	3	4		23
English	ENGL 1,NELSON LAUNA A	ENGL 1	NELSON LAUNA A	6	4	5		24
English	ENGL 1,VISHWANADHA H	ENGL 1	VISHWANADHA H	2		4		35
English	ENGL 1,ZEHR D M	ENGL 1	ZEHR D M	4	2	7	1	25
English	ENGL 1,KARRON R	ENGL 1	KARRON R	5	13	3		27
English	ENGL 1,GRIFFY W J	ENGL 1	GRIFFY W J	6	12	2		27
English	ENGL 1,MEIR N K	ENGL 1	MEIR N K	1	9	1		22
English	ENGL 1,CAGGIANO S E	ENGL 1	CAGGIANO S E	1	11	9		26
English	ENGL 1,GOODE S S	ENGL 1	GOODE S S	3	12			20
English	ENGL 1,ARMS E D	ENGL 1	ARMS E D	8	12	5		26
English	ENGL 1,BURAK C D	ENGL 1	BURAK C D	8	10	1		25
English	ENGL 1,MCQUEENEY E P	ENGL 1	MCQUEENEY E P	8		3		24
English	ENGL 1,PADILLA M R	ENGL 1	PADILLA M R	8	9	6		34
English	ENGL 1,LEMON W R	ENGL 1	LEMON W R	7	7	6		27
English	ENGL 1,PACCHIOLI J J	ENGL 1	PACCHIOLI J J	3	7	11		33
English	ENGL 1,OVERALL S J	ENGL 1	OVERALL S J	2	10	4		22
English	ENGL 1,ENGELMANN D S	ENGL 1	ENGELMANN D S	9	5	1		22
English	ENGL 1,MARTINEZ‐GIL C	ENGL 1	MARTINEZ‐GIL C	13	7	2		25
English	ENGL 1,ARMS E D	ENGL 1	ARMS E D	9	10	4		25
English	ENGL 1,KRUSOE J A	ENGL 1	KRUSOE J A	4	10	9		39
English	ENGL 1,PACCHIOLI J J	ENGL 1	PACCHIOLI J J	1	7	5		34
English	ENGL 1,WATTS J W	ENGL 1	WATTS J W	15	6	4		33
English	ENGL 1,MATTESSICH S N	ENGL 1	MATTESSICH S N	14	9	1		34
English	ENGL 1,MENTON K T	ENGL 1	MENTON K T	2	3	10		25
English	ENGL 1,LANE P D	ENGL 1	LANE P D	9	8	3		23
English	ENGL 1,JU S	ENGL 1	JU S	4	6	4		24
English	ENGL 1,WILL L J	ENGL 1	WILL L J	3	11	5		25
English	ENGL 1,ENGELMANN D S	ENGL 1	ENGELMANN D S	10	10	4		34
English	ENGL 1,KRUSOE J A	ENGL 1	KRUSOE J A	2	7	15		39
English	ENGL 1,MURPHY E M	ENGL 1	MURPHY E M	4	7	1		23
English	ENGL 1,DOUCET W J	ENGL 1	DOUCET W J	19	4	6		37
English	ENGL 1,REMMES J	ENGL 1	REMMES J	2	6	5		33
English	ENGL 1,EDELMANN C	ENGL 1	EDELMANN C	7	11	3		24
English	ENGL 1,WILL L J	ENGL 1	WILL L J	9	7	1		25
English	ENGL 1,SIMPSON L E	ENGL 1	SIMPSON L E	3	16	3		31
English	ENGL 1,HANSEN N C	ENGL 1	HANSEN N C	15	3			24
English	ENGL 1,PHILLIPS L K	ENGL 1	PHILLIPS L K	4	10	3		21
English	ENGL 1,MURPHY E M	ENGL 1	MURPHY E M	4	2	1		23
English	ENGL 1,AGHABEGIAN DIANA E	ENGL 1	AGHABEGIAN DIANA E	6	9	1		22
English	ENGL 1,DEL GEORGE D K	ENGL 1	DEL GEORGE D K	7	6	2		20
English	ENGL 1,DEL GEORGE D K	ENGL 1	DEL GEORGE D K	1	3	4		17
English	ENGL 1,CRAMER T R	ENGL 1	CRAMER T R	3	9	1		18
English	ENGL 1,CRAMER T R	ENGL 1	CRAMER T R	6	5	1		18
English	ENGL 1,CRAMER T R	ENGL 1	CRAMER T R	10	6	1		22
English	ENGL 1,REICHLE R E	ENGL 1	REICHLE R E	3	6	4		21
English	ENGL 1,LYNCH J J	ENGL 1	LYNCH J J	6	3	2		19
English	ENGL 1,REICHLE R E	ENGL 1	REICHLE R E	7	7			24
English	ENGL 1,LYNCH J J	ENGL 1	LYNCH J J	7	3	3		21
English	ENGL 1,DEL GEORGE D K	ENGL 1	DEL GEORGE D K	7	3			22
English	ENGL 1,TURNER K E	ENGL 1	TURNER K E	5	4	6		24
English	ENGL 1,RUBIO G H	ENGL 1	RUBIO G H	2	2	4		16
English	ENGL 1,RUBIO G H	ENGL 1	RUBIO G H	1	7	4		15
English	ENGL 1,CARLANDER D P	ENGL 1	CARLANDER D P	3	3	6		25
English	ENGL 1,PHILLIPS L K	ENGL 1	PHILLIPS L K	5	2	3		20
English	ENGL 1,EDELMANN C	ENGL 1	EDELMANN C	5	6	3		21
English	ENGL 1,MINAMI A M	ENGL 1	MINAMI A M	6	6	4		25
English	ENGL 1,EDELMANN C	ENGL 1	EDELMANN C	6	6	2		21
English	ENGL 1,KEMPER D E	ENGL 1	KEMPER D E	5	8	3		26
English	ENGL 1,HALL J E	ENGL 1	HALL J E	9	5	1		24
English	ENGL 2,KARRON R	ENGL 2	KARRON R	9	11	4		30
English	ENGL 2,PAK M	ENGL 2	PAK M	5	14	5		26
English	ENGL 2,MOTOIKE K J	ENGL 2	MOTOIKE K J	6	9	2		24
English	ENGL 2,YOUNG W H	ENGL 2	YOUNG W H	2	6	7		24
English	ENGL 2,ARIEFF D E	ENGL 2	ARIEFF D E	7	11	2		21
English	ENGL 2,CAGGIANO S E	ENGL 2	CAGGIANO S E	4	12	3		26
English	ENGL 2,HERBERT S	ENGL 2	HERBERT S	2	7	13		29
English	ENGL 2,JOHNSON D J	ENGL 2	JOHNSON D J	3	7	8		25
English	ENGL 2,PADILLA M R	ENGL 2	PADILLA M R	4	16	1		26
English	ENGL 2,BONAR H S	ENGL 2	BONAR H S	11	8	5		27
English	ENGL 2,BOSTICK J D	ENGL 2	BOSTICK J D	19	4			24
English	ENGL 2,BOSTICK J D	ENGL 2	BOSTICK J D	3	14	4		27
English	ENGL 2,HANSEN N C	ENGL 2	HANSEN N C	7	9	1		22
English	ENGL 2,DRISCOLL L V	ENGL 2	DRISCOLL L V	22	3			28
English	ENGL 2,GARNICA A M	ENGL 2	GARNICA A M	4	7	4		24
English	ENGL 2,NOLAN‐COFFMAN M P	ENGL 2	NOLAN‐COFFMAN M P	8	6	3		23
English	ENGL 2,IRELAND S P	ENGL 2	IRELAND S P	9	21	1		33
English	ENGL 2,TYSON T L	ENGL 2	TYSON T L	3	9	2		21
English	ENGL 2,ESPINOSA A A	ENGL 2	ESPINOSA A A	2	9	8		24
English	ENGL 2,PADILLA E	ENGL 2	PADILLA E	3	11	8		26
English	ENGL 2,BRIGSTOCKE J W	ENGL 2	BRIGSTOCKE J W	2	13	7		29
English	ENGL 2,WATTS J W	ENGL 2	WATTS J W	8	16	2		29
English	ENGL 2,PAK M	ENGL 2	PAK M	9	12	3		26
English	ENGL 2,FONSECA M L	ENGL 2	FONSECA M L	4	2	7		25
English	ENGL 2,MOTOIKE K J	ENGL 2	MOTOIKE K J	11	6	7		27
English	ENGL 2,STEIN J A	ENGL 2	STEIN J A	5	6	6		22
English	ENGL 2,HERBERT S	ENGL 2	HERBERT S	6	8	5		24
English	ENGL 2,PADILLA E	ENGL 2	PADILLA E	9	4	6		24
English	ENGL 2,ANDERSON E	ENGL 2	ANDERSON E	12	7	4		26
English	ENGL 2,JOHNSON D J	ENGL 2	JOHNSON D J	6	8	7		25
English	ENGL 2,BRIGSTOCKE J W	ENGL 2	BRIGSTOCKE J W	6	10	3		26
English	ENGL 2,STEIN J A	ENGL 2	STEIN J A	9	5	6		24
English	ENGL 2,JU S	ENGL 2	JU S	7	9	1		23
English	ENGL 2,MARTINEZ‐GIL C	ENGL 2	MARTINEZ‐GIL C	13	8	5		29
English	ENGL 2,GILDNER B J	ENGL 2	GILDNER B J	2	9	7		23
English	ENGL 2,MEIR N K	ENGL 2	MEIR N K	6	3	4		22
English	ENGL 2,KAPLAN M A	ENGL 2	KAPLAN M A	9	10	4		24
English	ENGL 2,MARTINEZ‐GIL C	ENGL 2	MARTINEZ‐GIL C	13	9	4		31
English	ENGL 2,DESAI D H	ENGL 2	DESAI D H	11	11	1		27
English	ENGL 2,YOUNG W H	ENGL 2	YOUNG W H	1	7	5		23
English	ENGL 2,HAMADA M J	ENGL 2	HAMADA M J	12	8	5		31
English	ENGL 2,GARNICA A M	ENGL 2	GARNICA A M	1	5	6		29
English	ENGL 2,JU S	ENGL 2	JU S	11	5	3		26
English	ENGL 2,DOUCET W J	ENGL 2	DOUCET W J	23	10	5		48
English	ENGL 2,OBA R K	ENGL 2	OBA R K	5	9	3		25
English	ENGL 2,WATTS J W	ENGL 2	WATTS J W	10	15	2		29
English	ENGL 2,LANDAU D M E	ENGL 2	LANDAU D M E	1	6	3		22
English	ENGL 2,ESPINOSA A A	ENGL 2	ESPINOSA A A	3	7	9		24
English	ENGL 2,BURAK C D	ENGL 2	BURAK C D	12	6	3		23
English	ENGL 2,POSSEMATO F	ENGL 2	POSSEMATO F	27	1			28
English	ENGL 2,CRAMER T R	ENGL 2	CRAMER T R	17	5	1		24
English	ENGL 2,ZEHR D M	ENGL 2	ZEHR D M	7	12	5		28
English	ENGL 2,MEYER E E	ENGL 2	MEYER E E	10	11	2		28
English	ENGL 2,GOODE S S	ENGL 2	GOODE S S	7	16	2		25
English	ENGL 2,OBA R K	ENGL 2	OBA R K	8	7	2		23
English	ENGL 2,KEMPER D E	ENGL 2	KEMPER D E	9	11	6		27
English	ENGL 2,SIMPSON L E	ENGL 2	SIMPSON L E	4	13	5		24
English	ENGL 2,HANSEN N C	ENGL 2	HANSEN N C	10	10			27
English	ENGL 2,YOUNG R U	ENGL 2	YOUNG R U	10	11	3		26
English	ENGL 2,FREDRICK J A	ENGL 2	FREDRICK J A	8	3	2		20
English	ENGL 2,DEL GEORGE D K	ENGL 2	DEL GEORGE D K	10	12	2		26
English	ENGL 2,CRAMER T R	ENGL 2	CRAMER T R	2	11	6		25
English	ENGL 2,MATTESSICH S N	ENGL 2	MATTESSICH S N	19	7	3		30
English	ENGL 2,PACCHIOLI J J	ENGL 2	PACCHIOLI J J	2	5	8		22
English	ENGL 2,MEEKS C	ENGL 2	MEEKS C	9	6	1		23
English	ENGL 2,SOSNER J A	ENGL 2	SOSNER J A	10	8			24
English	ENGL 2,LANE P D	ENGL 2	LANE P D	9	11	1		25
English	ENGL 2,KEMPER D E	ENGL 2	KEMPER D E	9	6	3		23
English	ENGL 2,EBERLE B M	ENGL 2	EBERLE B M	6	9	2		27
English	ENGL 2,FREDRICK J A	ENGL 2	FREDRICK J A	3	10	6		22
English	ENGL 2,LANDAU D M E	ENGL 2	LANDAU D M E	1	6	1		19
English	ENGL 2,KAPLAN M A	ENGL 2	KAPLAN M A	8	12	4		27
English	ENGL 2,CONSTANTIN G N	ENGL 2	CONSTANTIN G N	10	10			24
English	ENGL 2,RAJSKI B	ENGL 2	RAJSKI B	15	8			24
English	ENGL 2,AGHABEGIAN DIANA E	ENGL 2	AGHABEGIAN DIANA E	5	3	1		14
English	ENGL 2,REMMES J	ENGL 2	REMMES J	1	5	7		19
English	ENGL 2,JANAKOS L D	ENGL 2	JANAKOS L D	1	3	2		18
English	ENGL 2,LONGO J P	ENGL 2	LONGO J P	5		2		19
English	ENGL 2,JANAKOS L D	ENGL 2	JANAKOS L D	4	5			16
English	ENGL 2,GUSTIN M J	ENGL 2	GUSTIN M J	3	7	5		23
English	ENGL 2,HASSMAN T	ENGL 2	HASSMAN T	11	3	1		25
English	ENGL 2,HASSMAN T	ENGL 2	HASSMAN T	6	4	6		27
English	ENGL 2,HASSMAN T	ENGL 2	HASSMAN T	6	7	2		20
English	ENGL 2,GUSTIN M J	ENGL 2	GUSTIN M J	3	5	3		19
English	ENGL 2,SCHAMP J L	ENGL 2	SCHAMP J L	7	6	3		21
English	ENGL 2,WINKLER K D	ENGL 2	WINKLER K D	7	2	2		14
English	ENGL 2,WINKLER K D	ENGL 2	WINKLER K D	3	9	4		17
English	ENGL 2,OVERALL S J	ENGL 2	OVERALL S J	1	11	3		21
English	ENGL 2,DAVIS C V	ENGL 2	DAVIS C V	6	6	6		23
English	ENGL 2,HERTZ U L 	ENGL 2	HERTZ U L 	5	7	2	8	22
English	ENGL 2,KARRON R	ENGL 2	KARRON R	5	15	6		30
English	ENGL 2,REMMES J	ENGL 2	REMMES J	3	5	1		21
English	ENGL 2,TRUBY D	ENGL 2	TRUBY D	2	11	6		25
English	ENGL 2,LANE P D	ENGL 2	LANE P D	7	12	4		24
English	ENGL 2,CONSTANTIN G N	ENGL 2	CONSTANTIN G N	6	6	2		25
English	ENGL 2,BELL S L	ENGL 2	BELL S L	16	7			25
English	ENGL 2,OVERALL S J	ENGL 2	OVERALL S J	6	6			21
English	ENGL 2,ENGELMANN D S	ENGL 2	ENGELMANN D S	7	11	3		24
English	ENGL 2,HALL J E	ENGL 2	HALL J E	8	14	2		26
English	ENGL 2,KLEIN R E	ENGL 2	KLEIN R E	12	1	5		35
English	ENGL 2,SOSNER J A	ENGL 2	SOSNER J A	6	9	4		26
English	ENGL 3,STERR S D	ENGL 3	STERR S D	14	10	2		33
English	ENGL 3,HUMPHREY T F	ENGL 3	HUMPHREY T F	24				27
English	ENGL 4,ZEHR D M	ENGL 4	ZEHR D M	15	6	4		32
English	ENGL 4,MATTESSICH S N	ENGL 4	MATTESSICH S N	12	2	1		26
English	ENGL 5,DRISCOLL L V	ENGL 5	DRISCOLL L V	30	10	2		45
English	ENGL 5,REMMES J	ENGL 5	REMMES J	5	4	5		22
English	ENGL 6,SIMPSON L E	ENGL 6	SIMPSON L E	12	10	1		32
English	ENGL 6,KAPLAN M A	ENGL 6	KAPLAN M A	8	2	2	1	18
English	ENGL 7,PACCHIOLI J J	ENGL 7	PACCHIOLI J J	5	8	9		25
English	ENGL 8,RAJSKI B	ENGL 8	RAJSKI B	18	10			33
English	ENGL 9,VISHWANADHA H	ENGL 9	VISHWANADHA H	1	2	1		16
English	ENGL 14,ENGELMANN D S	ENGL 14	ENGELMANN D S	10	10	3		29
English	ENGL 15,DINIRO D A	ENGL 15	DINIRO D A	3	14	5		25
English	ENGL 20,BEARDSLEY J D	ENGL 20	BEARDSLEY J D	1	5	13	1	26
English	ENGL 20,MARKARIAN E A	ENGL 20	MARKARIAN E A	6	11	11		33
English	ENGL 20,SANDOVAL A	ENGL 20	SANDOVAL A	1	3	4		24
English	ENGL 20,MARKARIAN E A	ENGL 20	MARKARIAN E A	6	12	4		28
English	ENGL 20,PAIK‐SCHOENBERG J	ENGL 20	PAIK‐SCHOENBERG J	1	3	9		21
English	ENGL 20,BEARDSLEY J D	ENGL 20	BEARDSLEY J D	1	3	13		26
English	ENGL 20,TODD G T	ENGL 20	TODD G T	5	12	4		25
English	ENGL 20,TODD G T	ENGL 20	TODD G T	3	7	7		27
English	ENGL 20,SCHNITZLER A P	ENGL 20	SCHNITZLER A P	2	6	10		24
English	ENGL 20,BEARDSLEY J D 	ENGL 20	BEARDSLEY J D 	17	3	1	4	25
English	ENGL 20,HOTSINPILLER MATTHEW 	ENGL 20	HOTSINPILLER MATTHEW 	3	5	2	9	23
English	ENGL 20,COLTON P M	ENGL 20	COLTON P M	14	3	1		24
English	ENGL 20,DAVISON IV G S	ENGL 20	DAVISON IV G S	1	6	12	4	26
English	ENGL 20,TODD G T	ENGL 20	TODD G T	3	9	8		24
English	ENGL 20,PRITCHARD L A	ENGL 20	PRITCHARD L A	7	7	5		27
English	ENGL 20,MILLER N A	ENGL 20	MILLER N A	4	5	9		25
English	ENGL 20,WEATHERFORD K C	ENGL 20	WEATHERFORD K C	4	2	4		24
English	ENGL 20,PRITCHARD L A	ENGL 20	PRITCHARD L A	2	6	8		21
English	ENGL 20,HOTSINPILLER MATTHEW	ENGL 20	HOTSINPILLER MATTHEW	1	2	9		18
English	ENGL 20,PRITCHARD L A	ENGL 20	PRITCHARD L A	3	6	8		21
English	ENGL 21A,HABEL L W	ENGL 21A	HABEL L W	1	11	5		22
English	ENGL 21A,HELLER G R	ENGL 21A	HELLER G R	2	1	6		24
English	ENGL 21A,CARDENAS T P	ENGL 21A	CARDENAS T P	7	7	2		24
English	ENGL 21A,GARCIA M S	ENGL 21A	GARCIA M S	3	5	4		24
English	ENGL 21A,TRUBY D	ENGL 21A	TRUBY D	1	5	2		25
English	ENGL 21A,CAMPBELL L A	ENGL 21A	CAMPBELL L A	3	14	1		23
English	ENGL 21A,HABEL L W	ENGL 21A	HABEL L W	11		7		24
English	ENGL 21A,BLACKWELL N	ENGL 21A	BLACKWELL N	1	4	4		19
English	ENGL 21A,DEMPSEY A L	ENGL 21A	DEMPSEY A L	7	4	3		25
English	ENGL 21A,CARDENAS T P	ENGL 21A	CARDENAS T P	5	4	3		25
English	ENGL 21A,HELLER G R	ENGL 21A	HELLER G R	3	3	4		24
English	ENGL 21A,POSSEMATO F	ENGL 21A	POSSEMATO F	11	2	1		20
English	ENGL 21A,TYSON T L	ENGL 21A	TYSON T L	1	6	4		22
English	ENGL 21A,CAMPBELL L A	ENGL 21A	CAMPBELL L A	3	12	2		26
English	ENGL 21A,HABEL L W	ENGL 21A	HABEL L W	2	8	9		22
English	ENGL 21A,PADILLA E	ENGL 21A	PADILLA E	5	2	10		31
English	ENGL 21A,FONSECA M L	ENGL 21A	FONSECA M L	1	4	8		34
English	ENGL 21A,WRIGHT N E	ENGL 21A	WRIGHT N E	12		7		25
English	ENGL 21A,LANDAU D M E 	ENGL 21A	LANDAU D M E 	2	3	16	13	34
English	ENGL 21A,DEMPSEY A L	ENGL 21A	DEMPSEY A L	8	5	2		23
English	ENGL 21A,HARTMAN M	ENGL 21A	HARTMAN M	2	9	7		25
English	ENGL 21A,DIXON M J	ENGL 21A	DIXON M J	4	6	1		22
English	ENGL 21A,LEMON W R	ENGL 21A	LEMON W R	1	2	4		24
English	ENGL 21A,CARDENAS T P	ENGL 21A	CARDENAS T P	12	4	2		22
English	ENGL 21A,DEMPSEY A L	ENGL 21A	DEMPSEY A L	10	3	2		25
English	ENGL 21A,SCHNITZLER A P	ENGL 21A	SCHNITZLER A P	2	4	7		24
English	ENGL 21A,DURAN A	ENGL 21A	DURAN A	3	2	1		22
English	ENGL 21A,CARLANDER D P	ENGL 21A	CARLANDER D P	2	7	6		24
English	ENGL 21A,LANDAU D M E	ENGL 21A	LANDAU D M E	4	5	2		30
English	ENGL 21A,BELL S L	ENGL 21A	BELL S L	6	1	5		18
English	ENGL 21A,MEYER E E	ENGL 21A	MEYER E E	6	5	2		22
English	ENGL 21A,WOODRUFF S K	ENGL 21A	WOODRUFF S K	5	4	1		20
English	ENGL 21A,MEYER E E	ENGL 21A	MEYER E E	8	5	6		24
English	ENGL 21A,GARCIA GU	ENGL 21A	GARCIA GU	8	6	1		25
English	ENGL 21A,BELL S L	ENGL 21A	BELL S L	5	3			19
