Santa Monica College - Grade Distribution Spring 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,4220,KANIN J D,7,39,4,,5,,,,,4,,59
,,FILM,11,2261,POIRIER N P,19,5,2,1,,,,2,2,,31
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 13 of 98
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,FILM,FILM,20,2262,MATTHEWS M N,6,8,9,1,,,,,6,,30,
,,,,2263,ROSENTHAL L,29,3,,1,,,,,4,,37,
,,FILM,21,4221,NOLAND G K,6,3,2,7,1,,,,8,,27,
,,,,4222,BIRNBAUM M J,7,7,1,6,,,,,1,,22,
,,FILM,30,2264,DANIELS R,14,5,2,3,,,,1,6,,31,
,,FILM,31,2265,BARTESAGHI S,33,,1,1,,,,,1,,36,
,,,,2266,BARTESAGHI S,30,,,1,,1,,,2,,34,
,,FILM,32,2267,CARRASCO S,28,1,,,,,,,1,,30,
,,FILM,32L,2269,CARRASCO S,28,1,,,,,,,,,29,
,,FILM,33,2270,CARRASCO S,28,1,,,,,,,,,29,
,,FILM,33L,2271,CARRASCO S,28,1,,,,,,,,,29,
,,FILM,40,2272,SMITH C W,6,4,12,3,,,,1,5,,31,
,,,,2273,SMITH C W,5,10,10,2,2,,,,3,,32,
,,FILM,50,2274,PLATT H H,5,5,5,4,,5,,,7,,31,
,JOURN,JOURN,1,2475,STAMBLER L S,14,2,5,3,,,,,2,,26,
,,,,2476,OBSATZ S B,13,3,1,,,,,,3,,20,
,,,,2477,RUBIN S M,9,5,1,5,,,,,3,,23,
,,JOURN,4A,4277,GIGGANS J H,2,1,1,1,,,,,2,,7,
,,JOURN,8,2478,STAMBLER L S,7,6,1,,,,,,8,,22,
,,,,4278,STAMBLER L S,11,2,1,,,,,1,3,,18,
,,JOURN,15,4279,RUBIN S M,7,3,5,1,4,,,,6,,26,
,,JOURN,16,2479,RUBIN S M,7,1,4,2,2,,,,3,,19,
,,JOURN,17,2480,RUBIN S M,4,1,1,,,,,,,,6,
,,,,2481,RUBIN S M,3,1,,,,,,,1,,5,
,,JOURN,21,2482,BURKHART G J,3,3,1,1,1,,,,3,,12,
,,JOURN,22,2483,BURKHART G J,3,1,,,,,,,,,4,
,,JOURN,43,4280,ADELMAN A,3,8,1,,,,,,1,,13,
,,JOURN,90B,2485,RUBIN S M,,,,,,,,1,,,1,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 14 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,MEDIA,MEDIA,1,2730,ROSENBERG V L,16,8,7,,,,,,2,,33,
,,,,2731,SAVAGE T L,12,8,3,2,3,,,,8,,36,
,,,,2732,MOVIUS L,18,14,4,1,1,,,,2,,40,
,,,,2733,RAZ J G,12,11,9,1,,,,,4,,37,
,,,,2734,BREWINGTON R H,5,20,2,3,,3,,,5,,38,
,,,,2735,SAVAGE T L,13,10,3,2,3,,,,6,,37,
,,,,2736,MUNOZ M E,12,10,7,2,2,,,,8,,41,
,,,,2737,MOVIUS L,17,14,7,1,,,,,,,39,
,,,,2738,MITCHELL S V,12,6,12,3,3,,,,4,,40,
,,,,2739,DICKINSON L M,16,11,3,5,,,,,6,,41,
,,,,2740,BREWER S L,22,4,3,,,,,,3,,32,
,,,,2741,BREWER S L,11,8,8,2,2,,,,5,,36,
,,,,2742,MUNOZ M E,10,12,1,2,2,,,,4,,31,
,,,,2743,CHARLES H E,28,7,2,3,3,,,,,,43,
,,,,2744,MATTHEWS M N,9,10,7,3,,,,1,8,,38,
,,,,2745,BREWER S L,26,5,2,1,,,,,1,,35,
,,,,2746,BREWER S L,20,5,,,,,,,2,,27,
,,,,2747,MOVIUS L,22,10,1,,,,,1,3,,37,
,,,,2748,MOVIUS L,25,9,3,2,,,,,1,,40,
,,,,3336,SIMMONS R D,4,4,5,18,1,,,,7,,39,
,,,,3337,SHAW R D,25,12,6,,,1,,,1,,45,
,,,,3338,SAXON L N,13,9,3,1,1,,,,1,,28,
,,,,4358,OBSATZ S B,31,3,1,,,,,,3,,38,
,,,,4359,SIMMONS R D,6,9,5,4,1,,,,6,,31,
,,,,4360,SIMMONS R D,1,7,3,7,,,,,7,,25,
,,,,4361,COLEMAN D,7,7,5,6,,,,,7,,32,
,,MEDIA,2,2749,SCHOFIELD J E,10,6,6,1,8,,,,9,,40,
,,MEDIA,3,2750,MOVIUS L,13,7,2,,,,,,6,,28,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 15 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,MEDIA,MEDIA,10,2751,RAZ J G,15,19,2,2,,,,1,1,,40,
,,,,2752,GOUGIS M J,24,6,4,1,,,,,1,,36,
,,,,2753,GOUGIS M J,18,11,4,2,,,,,3,,38,
,,,,2754,GOUGIS M J,20,9,6,,,,,,2,,37,
,,,,2755,HORWITZ J T,15,5,1,,,,,,1,,22,
,,,,2756,MUNOZ M E,10,14,4,,,,,,4,,32,
,,,,2757,BREWER S L,17,10,6,,,,,,1,,34,
,,,,2758,SCHOFIELD J E,41,5,1,2,,,,,1,,50,
,,,,2759,SCHOFIELD J E,42,7,1,2,,,,,1,1,54,
,,,,2760,COLEMAN D,18,4,1,2,,,,,2,,27,
,,,,2761,GIGGANS J H,13,11,9,2,4,,,1,6,,46,
,,,,2762,CHARLES H E,16,12,4,5,2,,,,3,,42,
,,,,2763,GOLDSTEIN MARTIN M,27,7,2,2,,,,,1,,39,
,,,,2764,KLEIN K R,13,10,1,2,5,,,,,,31,
,,,,2765,MUNOZ M E,8,6,9,11,,,,,6,,40,
,,,,2766,MUNOZ M E,5,7,4,4,9,,,,7,,36,
,,,,2767,PERNISCO N,10,6,8,3,1,,,,6,,34,
,,,,2768,PERNISCO N,11,8,6,2,,,,,9,,36,
,,,,3373,DICKINSON L M,3,6,2,1,2,,,,2,,16,
,,,,4362,MATTHEWS M N,6,10,8,9,,,1,2,3,,39,
,,,,4363,GOLDSTEIN MARTIN M,24,4,1,1,2,,,1,,,33,
,,,,4364,GOLDSTEIN MARTIN M,20,8,2,4,,,1,,4,,39,
,,,,4365,DICKINSON L M,25,7,7,4,2,,,,2,,47,
,,MEDIA,11,2769,BEATON J L,9,5,3,1,15,,1,,6,,40,
,,,,2770,SHAW R D,14,10,5,,,,,,7,,36,
,,MEDIA,12,2771,GIGGANS J H,4,7,6,5,,,,,6,,28,
,,MEDIA,13,2772,BREWINGTON R H,12,7,2,1,,,,,2,,24,
,,,,4366,BREWINGTON R H,8,11,3,2,,,,,8,,32,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 16 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,MEDIA,MEDIA,14,4367,GIGGANS J H,6,4,8,,,,,,,,18,
,,MEDIA,17,4368,CARLUCCI M A,9,,2,,,,,,6,,17,
,,MEDIA,18,4369,ADELMAN A,4,12,2,1,,,,,2,,21,
,,MEDIA,19,3386,SAVAGE T L,6,1,1,9,,,,,9,,26,
,,MEDIA,20,2773,CAPTOR R,9,8,2,,,,,,6,,25,
,,MEDIA,46,2774,FETZER G C,9,9,1,1,1,,,,5,,26,
,,MEDIA,48,2775,SHAW R D,8,1,,1,,,,,7,,17,
,,MEDIA,88A,2776,GRASS N L,3,,,,,,,,,,3,
,,MEDIA,88B,2777,GRASS N L,1,,,,,,,,,,1,
,,MEDIA,90B,2779,GRASS N L,,,,,,,2,,,,2,
,PHOTO,PHOTO,13,3015,BURKHART G J,5,,2,3,,,,,11,,21,
,,PHOTO,14,3016,BURKHART G J,1,1,1,2,,,,,2,,7,
Communicatio,,,,,2588,1575,674,203,316,,23,6,19,653,1,6058,
Computer Scie,ACCTG,ACCTG,35,1051,VALDIVIA O,4,5,1,,,,,,3,,13,
,,,,1052,ZIMMERMAN W L,7,3,,1,,,,1,8,,20,
,,,,1053,ZIMMERMAN W L,8,3,,2,,,,,2,,15,
,CIS,CIS,1,1384,RAHNI M,7,17,3,2,,,,,7,,36,
,,,,1385,RAHNI M,4,15,5,,,,,,10,,34,
,,,,1386,DRAKE M G,14,4,1,3,4,,,,11,,37,
,,,,1387,SCOTT JACQUELINE D,3,10,7,3,11,,,,3,,37,
,,,,1388,SCOTT JACQUELINE D,7,4,3,9,,,,1,7,,31,
,,,,1389,JERRY G S,11,2,3,5,,,,,3,,24,
,,,,1390,ROTHAUPT B L,16,3,,,,,,,3,,22,
,,,,1391,ROTHAUPT B L,14,3,,2,,,,,2,,21,
,,,,1392,ROTHAUPT B L,9,,,1,,,,,3,,13,
,,,,1393,ROTHAUPT B L,17,2,1,2,,,,1,1,,24,
,,,,1394,HURLEY D P,1,7,3,1,1,,,,10,,23,
,,,,1395,HURLEY D P,3,7,3,6,1,,,1,5,,26,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 17 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer Scie,CIS,CIS,1,3364,MARTYN M A,22,2,2,,,,,,5,,31,
,,,,4082,RAHNI M,5,10,5,1,,,,,7,,28,
,,CIS,4,1396,SCOTT JACQUELINE D,3,2,2,8,,,,,11,,26,
,,,,1397,HAMMOND C M,9,1,7,3,6,,,,10,,36,
,,,,1398,JERRY G S,23,5,2,1,1,,,1,2,,35,
,,,,1399,RODRIGUEZ J E,7,3,4,1,5,,,,3,,23,
,,,,1400,EL-KHOURY N R,13,7,4,3,3,,,,6,,36,
,,,,1401,EL-KHOURY N R,12,5,3,5,3,,,1,2,,31,
,,,,1402,ROTHAUPT B L,34,,,,,,,,1,,35,
,,,,1403,JERRY G S,12,6,2,2,,,,,14,,36,
,,,,1404,CANADA S A,22,6,1,,,,,,2,,31,
,,,,1405,CANADA S A,15,7,2,1,5,,,,2,,32,
,,,,1406,JERRY G S,13,6,1,,,,,1,6,,27,
,,,,1407,JERRY G S,15,10,2,3,,,,1,2,,33,
,,,,1408,GROSS D M,11,2,,1,,,,,6,,20,
,,,,1409,GROSS D M,8,6,3,4,,,,,2,,23,
,,,,1410,GROSS D M,7,5,2,2,,,,,6,,22,
,,,,1411,VALDIVIA O,2,2,3,4,,,,,9,,20,
,,,,1412,VALDIVIA O,6,,4,4,,,,,7,,21,
,,,,1413,HAMMOND C M,3,1,3,1,1,,,,14,,23,
,,,,1414,HAMMOND C M,4,,9,1,3,,,,10,,27,
,,,,1415,VAUGHAN DANIEL H,8,6,5,4,,,,,12,,35,
,,,,3365,SIMMONDS A R,6,2,1,1,1,,,1,3,,15,
,,,,4083,CANADA S A,20,6,1,2,,,,,5,,34,
,,,,4084,EL-KHOURY N R,10,3,5,3,,,,,13,,34,
,,CIS,9A,4085,KURTZ K A,2,2,,1,,,,,4,,9,
,,CIS,9B,1416,DARWICHE J,,1,1,,,,,,,,2,
,,CIS,27,1417,COPLEN J S,5,3,2,1,,,,1,,,12,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 18 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer Scie,CIS,CIS,30,1418,BOLANDHEMAT F,9,3,2,1,,,,,5,,20,
,,,,1419,BOLANDHEMAT F,9,7,4,1,1,,,1,5,,28,
,,CIS,32,1420,ROTHAUPT B L,8,,,,,,,,2,,10,
,,CIS,35,1421,VALDIVIA O,2,,,,,,,,2,,4,
,,,,1422,ZIMMERMAN W L,2,1,2,1,2,,,,,,8,
,,,,1423,ZIMMERMAN W L,2,1,2,2,,,,,,,7,
,,CIS,37A,1424,GROSS D M,17,6,,2,,,,,1,,26,
,,CIS,37B,1425,GROSS D M,20,2,1,2,2,,,,2,,29,
,,CIS,50,1426,CLARK G B,12,4,1,2,,,,1,3,,23,
,,,,1427,BOLANDHEMAT F,7,4,3,1,,,,1,8,,24,
,,,,1428,BOLANDHEMAT F,7,2,,2,,,,1,8,,20,
,,CIS,51,1429,CLARK G B,9,1,1,3,,,,,6,,20,
,,,,1430,DARWICHE J,5,2,,1,,,,1,,,9,
,,CIS,54,1431,CHABAN M,13,7,1,2,,,,,4,,27,
,,CIS,57,4087,MONTGOMERY M H,2,9,,,,,,,,,11,
,,CIS,59A,1432,CLARK G B,15,1,,1,,,,,6,,23,
,,CIS,60A,1433,HAMMOND C M,9,3,5,1,,,,,3,,21,
,,,,1434,VALDIVIA O,8,4,2,1,,,,1,6,,22,
,,,,1435,HAMMOND C M,13,2,3,1,1,,1,,5,,26,
,,CIS,60B,1436,VALDIVIA O,7,6,1,3,,,,,4,,21,
,,CIS,70,1437,ST AMANT K,9,,2,,,,1,,7,,19,
,,CIS,88A,1438,BOLANDHEMAT F,2,,,,,,,,,,2,
,CS,CS,3,1656,MARCHAND K A,11,8,10,2,3,,,1,11,,46,
,,,,1657,ROGLER H L,,5,9,4,8,,,,6,,32,
,,,,1658,ROGLER H L,3,6,6,2,2,,,,10,,29,
,,,,1659,ROGLER H L,7,4,6,4,4,,,,10,,35,
,,,,1660,HURLEY D P,12,12,6,3,,,,,9,,42,
,,,,1661,ROGLER H L,7,10,8,4,,,,,4,,33,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 19 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer Scie,CS,CS,3,1662,HURLEY D P,12,9,2,1,,,,,8,,32,
,,,,1663,HURLEY D P,15,6,,,,,,,8,,29,
,,,,1664,HURLEY D P,11,4,,2,,,,,4,,21,
,,,,3366,SUPAT W,16,6,,2,3,,,,2,,29,
,,,,4105,MARCHAND K A,17,7,13,1,2,1,,,8,,49,
,,CS,9A,4106,KURTZ K A,11,2,1,1,,,,1,4,,20,
,,CS,9B,1665,DARWICHE J,5,1,1,,,,,,1,,8,
,,CS,15,1667,DARWICHE J,5,2,2,1,7,,,,11,,28,
,,,,1668,DARWICHE J,3,6,2,1,2,,,,3,,17,
,,,,4107,ROBERTSON SC E,4,4,8,4,,,,,25,,45,
,,CS,17,1669,STAHL H A,20,7,,3,,,,,6,,36,
,,CS,19,1670,DARWICHE J,12,2,1,2,1,,,,3,,21,
,,CS,20A,4108,JUPE E,10,10,3,1,,,,,7,,31,
,,CS,30,1671,DARWICHE J,12,4,1,,,,,1,2,,20,
,,CS,40,4109,MORGAN D B,18,5,4,1,1,,,,4,,33,
,,CS,42,4110,KURTZ K A,17,12,3,3,4,,,,9,,48,
,,CS,50,1672,DEHKHODA A,13,15,10,3,,,,,17,,58,
,,,,4111,DEHKHODA A,14,19,2,3,,,,,11,,49,
,,,,4112,DEHKHODA A,12,14,2,1,3,,1,,9,,42,
,,CS,52,1673,STAHL H A,18,6,4,1,1,1,,,3,,34,
,,,,4113,STAHL H A,17,10,1,3,3,2,,,8,,44,
,,,,4522,JUPE E,9,4,5,3,,,,,8,,29,
,,CS,53A,4114,DEHKHODA A,17,13,,,,,,,1,,31,
,,CS,55,1674,DEHKHODA A,9,14,4,2,4,,,,5,,38,
,,,,4115,DEHKHODA A,22,10,7,1,7,1,,,5,,53,
,,CS,56,1675,DEHKHODA A,28,8,,,,,,,6,,42,
,,CS,60,4116,ROGLER H L,15,9,7,2,4,,,,4,,41,
,,CS,61,4117,ROGLER H L,10,1,1,1,,,,,9,,22,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 20 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer Scie,CS,CS,70,1676,MORGAN D B,12,6,1,3,,,,,7,,29,
,,CS,73,1677,HURLEY D P,6,4,3,1,,,,1,6,,21,
,,CS,80,1678,GEDDES JR J K,19,4,3,4,,,,,4,,34,
,,,,1679,GEDDES JR J K,23,2,,,,,,,7,,32,
,,,,1680,GEDDES JR J K,25,5,1,2,1,,,,2,,36,
,,CS,81,1681,GEDDES JR J K,23,7,1,2,,,,,4,,37,
,,CS,83R,1682,STAHL H A,18,1,1,2,,2,,,13,,37,
,,CS,85,1683,GEDDES JR J K,17,1,1,2,,,,,7,,28,
,,CS,87A,1684,DARWICHE J,20,3,3,3,,,,,3,,32,
,,CS,88A,1685,BOLANDHEMAT F,1,,,,,,,,,,1,
,,CS,88B,1686,BOLANDHEMAT F,2,,,,,,,,,,2,
,,CS,88C,1687,BOLANDHEMAT F,1,,,,,,,,,,1,
,,CS,90A,1688,BOLANDHEMAT F,,,,,,,,,1,,1,
,OFTECH,OFTECH,1,2941,LEIVA C Y,10,3,3,1,3,1,,,6,,27,
,,OFTECH,1A,2942,SAMBRANO R,3,1,4,1,5,,,,5,,19,
,,,,2943,GROSS D M,12,2,2,2,,,,1,1,,20,
,,,,2944,GROSS D M,12,,4,1,1,,,1,2,,21,
,,OFTECH,1B,2945,SAMBRANO R,2,,1,,,,,,,,3,
,,,,2946,GROSS D M,2,1,,1,,,,,1,,5,
,,,,2947,GROSS D M,3,1,2,1,,,,,,,7,
,,OFTECH,1C,2948,SAMBRANO R,,,1,,,,,,,,1,
,,,,2949,GROSS D M,1,,,,,,,,2,,3,
,,,,2950,GROSS D M,3,,1,,,,,,1,,5,
,,OFTECH,5,2951,MANTABE P,8,7,7,2,,,,1,5,,30,
,,OFTECH,9,2952,SAMBRANO R,2,1,1,,,,,,,,4,
,,,,2953,GROSS D M,,,,1,,,,,,,1,
,,,,2954,GROSS D M,1,,,,,,,,1,,2,
,,OFTECH 10,,2955,SAMBRANO R,11,1,,9,,,,,5,,26,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 21 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer Scie,OFTECH,OFTECH 20,,2956,MANTABE P,13,7,2,2,,,,,2,,26,
,,OFTECH 21,,2957,LEIVA C Y,10,7,2,,5,,,2,4,,30,
,,OFTECH 22,,3307,LEIVA C Y,6,4,1,2,4,,,1,6,,24,
,,OFTECH 23,,2958,WILLIAMSON TE D,16,1,2,,3,,,,4,,26,
,,OFTECH 26,,2959,WILLIAMSON TE D,14,2,1,,1,,,,1,,19,
,,OFTECH 27,,4402,RODRIGUEZ B S,2,2,5,,,,,,3,,12,
,,OFTECH 30,,2960,HANA B T,3,6,2,1,,,,1,3,,16,
,,OFTECH 31,,2961,HANA B T,,5,3,,1,,,1,7,,17,
Computer Scie,,,,,1322,598,314,95,274,,8,3,28,673,,3315,
Cosmetology,COSM,COSM,10A,1499,VAUGHN C L,5,8,7,3,2,,,,5,,30,
,,,,1500,VAUGHN C L,10,9,2,2,1,,,,6,,30,
,,COSM,10B,1501,VAUGHN C L,9,2,7,1,2,,,,9,,30,
,,,,1502,VAUGHN C L,6,7,3,1,2,,,,8,,27,
,,COSM,11A,1503,LEDONNE H,,5,13,3,7,,,,8,,36,
,,,,1504,LEDONNE H,,8,10,2,,,,,9,,29,
,,COSM,11B,1505,PERRET D M,4,10,4,1,3,,,,10,,32,
,,,,1506,PERRET D M,5,7,6,2,5,,,,2,,27,
,,COSM,11C,1507,ASSADI J,4,10,10,,,,,,7,,31,
,,,,1508,ASSADI J,6,5,4,,4,,,,7,,26,
,,COSM,11D,1509,MOISAN A V,17,,,,2,,,,9,,28,
,,,,1510,MOISAN A V,4,7,,,,,,,9,,20,
,,COSM,11E,1511,YOUNG C P,5,6,7,2,5,,,,6,,31,
,,,,1512,YOUNG C P,,5,6,11,,,,,3,,25,
,,COSM,16,1513,PERRET D M,8,7,2,,7,,,,3,,27,
,,,,1514,PERRET D M,3,4,7,,5,,,,2,,21,
,,COSM,18,1515,LIM J Y,10,3,2,1,,,,,4,,20,
,,,,1516,LIM J Y,14,8,1,,,,,,2,,25,
,,COSM,20,1517,IJAMES S V,22,13,4,1,,,,,3,,43,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 22 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Cosmetology,COSM,COSM,20,1518,IJAMES S V,15,11,4,2,,,,,5,,37,
,,COSM,21A,1519,MOISAN A V,12,,,,,,,,2,,14,
,,,,1520,MOISAN A V,14,,,4,,,,,7,,25,
,,COSM,21B,1521,FIGUEROA I M,13,7,2,3,,,,,,,25,
,,COSM,21C,1524,PERRET D M,5,16,2,2,2,,,,,,27,
,,COSM,21D,1525,HARRISON H L,14,4,1,,,,,,8,,27,
,,COSM,21E,1527,YOUNG C P,3,4,3,,,,,,3,,13,
,,COSM,26,1528,FIGUEROA I M,5,7,14,1,,,,,5,,32,
,,,,1529,FIGUEROA I M,5,3,2,2,,,,,7,,19,
,,COSM,28A,1530,LEDONNE H,13,16,5,1,,,,,2,,37,
,,,,1531,LEDONNE H,7,6,7,5,,,,,2,,27,
,,COSM,28B,1532,LIM J Y,17,4,2,,,,,,3,,26,
,,,,1533,LIM J Y,13,9,3,1,,,,,2,,28,
,,COSM,30,1534,IJAMES S V,15,15,3,1,2,,,,5,,41,
,,,,1535,IJAMES S V,7,3,2,5,,,,,3,,20,
,,COSM,31A,1536,ROGERS JR J,8,7,,1,,,,,1,,17,
,,,,1537,ROGERS JR J,10,2,,2,,,,,2,,16,
,,COSM,31B,1538,ASSADI J,9,7,2,1,,,,,3,,22,
,,COSM,31C,3407,ASSADI J,4,8,,,,,,,,,12,
,,COSM,31E,1541,YOUNG C P,6,3,1,1,,,,,,,11,
,,COSM,36,1542,CEBALLOS B A,11,9,2,2,,,,,1,,25,
,,COSM,38,1543,LIM J Y,14,6,,,,,,,2,,22,
,,,,1544,LIM J Y,10,4,2,,,,,,2,,18,
,,COSM,40,1546,DICAMILLO N,9,7,1,2,,,,,2,,21,
,,COSM,42,1548,ROGERS JR J,10,5,,2,,,,,4,,21,
,,COSM,48,1549,KEPLER J M,3,4,2,2,,,,,10,,21,
,,,,1550,KEPLER J M,18,2,,1,,,,,2,,23,
,,COSM,48B,1551,LEDONNE H,3,10,1,,,,,,5,,19,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 23 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Cosmetology,COSM,COSM,48B,1552,LEDONNE H,4,19,3,1,,,,,1,,28,
,,COSM,50A,1553,MOISAN A V,10,5,2,1,,,,,,,18,
,,,,1554,MOISAN A V,2,5,,4,,,,,1,,12,
,,COSM,50B,1555,CEBALLOS B A,5,4,3,4,,,,,,,16,
,,,,1556,CEBALLOS B A,8,5,2,1,1,,,,4,,21,
,,COSM,50C,1557,DICAMILLO N,9,3,1,3,,,,,,,16,
,,,,1558,DICAMILLO N,6,5,,4,,,,,4,,19,
,,COSM,64,1559,LEDONNE H,7,13,2,2,2,,,,4,,30,
,,,,1560,LEDONNE H,1,7,4,5,,,,,14,,31,
,,COSM,88A,1562,ROGERS JR J,,,,,,,,1,,,1,
,,COSM,95A,1563,MOISAN A V,,,,,,,,42,4,,46,
,,COSM,95B,1564,ROGERS JR J,,,,,,,,26,4,,30,
,,COSM,95C,1565,FELIX F,,,,,,,,30,2,,32,
,,COSM,95D,1566,FIGUEROA I M,,,,,,,,20,3,,23,
Cosmetology T,,,,,457,,369,172,35,114,,,119,241,,1507,
Counseling,COUNS,COUNS,1,1567,CARRILLO-SARR S,,,,,,,7,24,13,,44,
,,,,1568,JACKSON A E,,,,,,,13,26,1,,40,
,,COUNS,11,1569,SUEKAWA L,,,,,,,11,22,2,,35,
,,,,1570,NGOV S R,,,,,,,9,24,3,,36,
,,,,1571,MIRANDA M L,,,,,,,9,27,,,36,
,,,,1572,TRUONG L,,,,,,,15,13,2,,30,
,,,,1573,HERNANDEZ MA,,,,,,,10,23,2,,35,
,,,,1574,KLINEMAN M S,,,,,,,4,36,1,,41,
,,,,1575,HERRSCHAFT A C,,,,,,,10,26,3,,39,
,,,,1576,THOMPSON C,,,,,,,3,24,2,,29,
,,,,1577,HOLMES C K,,,,,,,3,29,3,,35,
,,,,1578,WANG A C,,,,,,,7,26,3,,36,
,,COUNS,12,1579,MARSDEN A L,12,2,2,1,3,,,,15,,35,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 24 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,12,1580,MARSDEN A L,18,1,1,3,,,,,3,,26,
,,,,1581,GARCIA C J,16,4,2,3,4,,,,9,,38,
,,,,1582,GARCIA C J,20,4,2,2,,,,2,1,,31,
,,,,1583,NELLA M C,12,6,5,1,3,,1,,6,,34,
,,,,1584,NELLA M C,12,6,3,1,1,,,1,10,,34,
,,,,1585,BANKS D D,22,5,2,3,1,,,1,1,,35,
,,,,1586,BANKS D D,12,3,3,1,9,,,,1,,29,
,,,,1587,GAUSMAN J M,20,8,1,2,,,,,4,,35,
,,,,1588,GAUSMAN J M,27,1,2,2,,1,,1,1,,35,
,,,,3319,DAVY K L,32,,1,1,1,,,,1,,36,
,,,,4101,NINH K,18,2,1,4,,,,,1,,26,
,,,,4503,DAVY K L,19,,,2,,,,,3,,24,
,,COUNS,15,1591,DAVY K L,30,1,1,1,,,,,2,,35,
,,,,4502,DAVY K L,19,2,3,1,,,,,,,25,
,,COUNS,20,1593,GALINDO O A,2,4,2,8,,,,,11,,27,
,,,,1594,GALINDO O A,8,6,1,3,,,,,13,,31,
,,,,1595,CARRILLO-SARR S,4,1,4,3,2,,,,9,,23,
,,,,1596,GALINDO O A,9,2,1,1,11,,,,10,,34,
,,,,1597,GALINDO O A,6,1,6,2,10,,,,14,,39,
,,,,1598,GONZALEZ B M,2,5,2,1,9,1,1,,3,,24,
,,,,1599,FINCH L A,18,4,1,2,,,,,5,,30,
,,,,1600,STEWART S,15,4,2,2,3,,,1,14,,41,
,,,,1602,VALLEJO O,5,3,2,5,,,,,19,,34,
,,,,1603,NUNEZ-MASON R E,11,2,2,6,,,,,16,,37,
,,,,1605,TREJO A D,11,6,7,2,2,,,,8,,36,
,,,,1606,COOPER D J,13,8,4,1,2,,,,4,,32,
,,,,1607,LEWIS M L,,5,6,3,6,1,,1,10,,32,
,,,,1608,TREJO A D,18,6,3,2,,,,,6,,35,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 25 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Counseling,COUNS,COUNS,20,1609,AKINS RAVELING D,4,5,2,8,,,,,10,,29,
,,,,1610,JACKSON A E,7,9,5,1,3,,,,6,,31,
,,,,1611,TREJO A D,10,10,2,1,5,,,,7,,35,
,,,,1612,COOPER D J,19,5,2,2,2,,,,2,,32,
,,,,1613,LEWIS M L,2,3,2,9,,,,,13,,29,
,,,,1614,VALENTINE D,6,2,1,7,,3,,,8,,27,
,,,,1615,COOPER D J,17,8,2,2,2,,,,2,,33,
,,,,1616,HANSON N J,8,7,6,1,3,,,,5,,30,
,,,,1617,HACKETT C D,11,2,5,3,6,2,,,8,,37,
,,,,1618,JACKSON A E,11,8,5,1,4,,,,6,,35,
,,,,1619,VALENTINE D,5,3,1,5,,3,,,5,,22,
,,,,1620,DAHLENBURG T,7,5,3,1,1,,,,4,,21,
,,,,1621,JACKSON A E,8,2,1,1,9,,,,5,,26,
,,,,1622,CARRILLO-SARR S,10,6,3,3,3,,,,9,,34,
,,,,1623,TILLEY ROSILYNN E,,3,8,2,4,,,,9,,26,
,,,,1624,ROBINSON J L,4,7,2,2,,,,,14,,29,
,,,,1625,HALL T T,9,9,2,1,,,,,6,,27,
,,,,1626,FELIX J,8,4,3,7,,,,,2,,24,
