Santa Monica College - Grade Distribution Fall 2013,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,JOURN,16,2514,RUBIN S M,12,6,2,,1,,,,,4,25,
,,JOURN,17,2515,RUBIN S M,,,,,1,,,,,,1,
,,,,2516,RUBIN S M,4,,,,,,,,,,4,
,,JOURN,21,2517,BURKHART G J,2,3,1,,,,,,,5,11,
,,JOURN,22,2518,BURKHART G J,1,1,1,,1,,,,,1,5,
,,JOURN,43,4293,ADELMAN A,5,6,2,,1,,,,,3,17,
,MEDIA,MEDIA,1,2774,ROSENBERG V L,14,15,8,,,,,,1,1,39,
,,,,2775,MOVIUS L,16,13,7,2,2,,,,,3,43,
,,,,2776,CHARLES H E,12,9,6,3,1,,,,,7,38,
,,,,2777,MOVIUS L,17,8,11,1,2,,,,,3,42,
,,,,2778,MUNOZ M E,11,17,1,1,1,,,,,3,34,
,,,,2779,BREWINGTON R H,17,8,2,,5,,,,,2,34,
,,,,2780,DICKINSON L M,13,9,10,2,3,,,,,4,41,
,,,,2781,LANGE J G,15,13,4,1,1,,,,,2,36,
,,,,2782,BREWER S L,21,9,2,,3,,,,,1,36,
,,,,2783,BREWER S L,13,7,4,5,1,,,,,3,33,
,,,,2784,MITCHELL S V,7,6,14,6,1,,,,,5,39,
,,,,2785,MUNOZ M E,17,11,7,1,,,,,,9,45,
,,,,2786,LANGE J G,19,11,4,1,1,,,,,3,39,
,,,,2787,MUNOZ M E,11,9,10,4,1,,,,,8,43,
,,,,2788,SIMMONS R D,14,4,7,11,1,,,,,6,43,
,,,,2789,SCHOFIELD J E,28,8,4,1,1,,,,1,1,44,
,,,,2790,BREWER S L,26,5,4,,,,,,,1,36,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 12 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,MEDIA,MEDIA,1,2791,BREWER S L,22,8,4,,,,,,,2,36,
,,,,4370,SIMMONS R D,8,9,9,7,1,,,,,5,39,
,,,,4371,SAVAGE T L,28,7,1,,3,,,,,3,42,
,,MEDIA,10,2792,MOVIUS L,20,7,6,3,2,,,,,5,43,
,,,,2793,GOUGIS M J,28,5,1,,1,,,,,1,36,
,,,,2794,GOUGIS M J,18,9,3,,8,,,,,1,39,
,,,,2795,MOVIUS L,10,3,18,1,1,,,,,4,37,
,,,,2796,GOUGIS M J,23,6,2,,2,,1,,,,34,
,,,,2797,CHARLES H E,24,12,4,5,,,,,,2,47,
,,,,2798,MOVIUS L,20,11,6,3,,,,,,1,41,
,,,,2799,HORWITZ J T,17,6,,,,,,,,,23,
,,,,2800,SCHOFIELD J E,26,15,4,,,,,,,,45,
,,,,2801,SCHOFIELD J E,26,10,4,2,3,,,,,2,47,
,,,,2802,HORWITZ J T,14,8,3,,1,,,,,3,29,
,,,,2803,COLEMAN D,30,4,2,,4,,,,1,3,44,
,,,,2804,BREWER S L,14,9,3,1,,,,,,2,29,
,,,,2805,DICKINSON L M,12,7,3,4,7,,,,,5,38,
,,,,2806,GOLDSTEIN MARTIN M,35,4,4,,,,,,,,43,
,,,,2807,MUNOZ M E,11,9,6,,3,,,,,8,37,
,,,,2808,MUNOZ M E,5,10,8,2,1,,,,,10,36,
,,,,2809,PERNISCO N,18,5,3,1,,,,,,10,37,
,,,,4372,OBSATZ S B,29,2,1,,,,,,,2,34,
,,,,4373,GOLDSTEIN MARTIN M,20,7,1,,3,,,,,2,33,
,,,,4374,GIGGANS J H,9,11,5,,2,,,,,3,30,
,,,,4375,GOLDSTEIN MARTIN M,27,3,2,1,6,,,,,1,40,
,,,,4376,SHARMA SU,6,16,4,1,4,,,,1,3,35,
,,,,4507,DICKINSON L M,4,3,3,3,3,,,2,,4,22,
,,MEDIA,11,2810,DAWSON F R,10,12,1,2,,,2,,,8,35,
,,,,4377,SHAW R D,12,1,5,2,,,,,,6,26,
,,MEDIA,12,2811,GIGGANS J H,13,7,6,2,2,,,,,5,35,
,,MEDIA,13,2812,BREWINGTON R H,26,1,1,,3,,1,,,1,33,
,,,,4378,BREWINGTON R H,18,1,1,1,3,,1,,1,5,31,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 13 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,MEDIA,MEDIA,14,4379,GIGGANS J H,7,4,2,,1,,,,,3,17,
,,MEDIA,16,4380,CARLUCCI M A,17,4,2,1,,,,,,9,33,
,,MEDIA,18,4381,ADELMAN A,2,6,3,,,,,,,1,12,
,,MEDIA,19,2813,BEATON J L,9,5,5,,2,,,,,4,25,
,,MEDIA,20,2814,CAPTOR R,10,7,1,,,,3,,,5,26,
,,MEDIA,46,2815,FETZER G C,25,8,,,1,,,,,3,37,
,,MEDIA,48,2816,SHAW R D,13,3,2,,,,,,,4,22,
,,MEDIA,88,2817,GRASS HEMMERT N L,6,2,,,,,,,,,8,
,,MEDIA,88,2818,GRASS HEMMERT N L,1,,,,,,,,,,1,
,,MEDIA,90,2819,DAWSON F R,,,,,,,4,,2,,6,
,,,,3406,BARTESAGHI S,,,,,,,,,14,,14,
,PHOTO,PHOTO,1,3071,BURKHART G J,8,2,,1,3,,,,,6,20,
,,PHOTO,1,3072,BURKHART G J,5,1,,2,,,,,,3,11,
Cosmetology,COSM,COSM,10,1471,VAUGHN C L,11,9,7,2,1,,,,,,30,
,,,,1472,VAUGHN C L,16,3,6,1,1,,,,,3,30,
,,COSM,11,1473,LEDONNE H,,9,12,3,2,,,,,4,30,
,,,,1474,LEDONNE H,1,5,15,2,,,,,,14,37,
,,COSM,11,3360,PERRET D M,3,8,9,1,2,,,,,3,26,
,,,,3361,PERRET D M,2,3,12,1,7,,,,,6,31,
,,COSM,11,1477,ASSADI J,3,6,8,,10,,,,,5,32,
,,,,1478,ASSADI J,2,8,9,,4,,,,,8,31,
,,COSM,11,1479,MOISAN A V,13,6,2,,,,,,,14,35,
,,,,1480,MOISAN A V,16,1,1,,1,,,,,13,32,
,,COSM,14,1481,YOUNG C P,3,8,7,3,2,,,,,3,26,
,,,,1482,YOUNG C P,4,5,2,,2,,,,,16,29,
,,COSM,14,1483,YOUNG C P,5,4,4,2,3,,,,,8,26,
,,,,1484,YOUNG C P,3,3,7,1,4,,,,,19,37,
,,COSM,16,1485,MOISAN A V,11,11,2,,2,,,,,12,38,
,,,,1486,MOISAN A V,20,,,,,,,,,13,33,
,,COSM,18,1487,LIM J Y,19,3,1,,,,,,,2,25,
,,,,1488,LIM J Y,9,5,7,1,,,,,,7,29,
,,,,3400,MANUEL S M,6,8,4,,3,,,,,5,26,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 14 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,20,1489,IJAMES S V,12,16,3,1,1,,,,,5,38,
,,,,1490,IJAMES S V,12,7,4,,2,,,,,12,37,
,,COSM,21,1491,MOISAN A V,17,,,,1,,,,,2,20,
,,,,1492,MOISAN A V,19,,,,5,,,,,1,25,
,,COSM,21,1493,FELIX F,14,9,,2,1,,,,,,26,
,,,,1494,FELIX F,15,,,1,1,,,,,11,28,
,,COSM,21,1495,PERRET D M,8,14,6,,2,,,,,,30,
,,,,1496,PERRET D M,5,6,2,,4,,,,,5,22,
,,COSM,21,1497,MOISAN A V,9,5,2,,,,,,,3,19,
,,,,1498,MOISAN A V,17,,2,,,,,,,8,27,
,,COSM,24,3362,WILLIAMS DONNIE,7,5,2,,1,,,,,3,18,
,,,,3363,WILLIAMS DONNIE,2,7,2,,2,,,,,5,18,
,,COSM,26,1501,FIGUEROA I M,9,10,3,,,,,,,9,31,
,,,,1502,FIGUEROA I M,3,9,5,2,,,,,,13,32,
,,COSM,28,1503,LEDONNE H,4,14,6,1,1,,,,,1,27,
,,,,1504,LEDONNE H,9,8,5,,2,,,,,2,26,
,,COSM,28,1505,LIM J Y,19,8,,,,,,,,1,28,
,,,,1506,LIM J Y,19,4,3,,,,,,,4,30,
,,COSM,29,1507,FELIX F,,,,,,,,11,20,4,35,
,,,,1508,FELIX F,,,,,,,,9,13,3,25,
,,COSM,30,1509,IJAMES S V,14,8,4,,1,,,,,2,29,
,,,,1510,IJAMES S V,11,13,2,3,3,,,,,3,35,
,,COSM,31,1512,ROGERS JR J,13,1,1,,7,,,,,3,25,
,,COSM,31,1513,PERRET D M,4,4,7,,1,,,,,3,19,
,,,,1514,PERRET D M,3,7,5,,,,,,,2,17,
,,COSM,31,1515,ASSADI J,4,9,3,,2,,,,,2,20,
,,,,1516,ASSADI J,5,7,3,,5,,,,,8,28,
,,COSM,36,1517,FIGUEROA I M,7,12,3,,,,,,,5,27,
,,,,1518,FIGUEROA I M,7,3,8,2,,,,,,2,22,
,,COSM,38,1519,LIM J Y,12,13,4,,,,,,,,29,
,,,,1520,LIM J Y,12,6,4,,,,,,,4,26,
,,COSM,39,1521,CEBALLOS B A,,,,,,,,,36,3,39,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 15 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,39,3419,ROGERS JR J,,,,,,,,4,10,,14,
,,COSM,40,1522,DICAMILLO N,6,4,3,1,5,,,,,3,22,
,,,,1523,DICAMILLO N,6,3,,,9,,,,,2,20,
,,COSM,41,1524,ASSADI J,7,8,5,,,,,,,2,22,
,,,,1525,ASSADI J,4,7,3,,3,,,,,1,18,
,,COSM,42,1527,ROGERS JR J,16,1,3,,4,,,,,3,27,
,,COSM,46,1528,NUNLEY R M,4,4,8,,,,,,,,16,
,,,,1529,NUNLEY R M,8,2,2,,5,,,,,9,26,
,,COSM,48,1530,KEPLER J M,10,3,3,3,,,,,,,19,
,,,,1531,KEPLER J M,16,4,1,,,,,,,6,27,
,,COSM,48,1532,LEDONNE H,6,17,3,,,,,,,,26,
,,,,1533,LEDONNE H,3,12,4,1,1,,,,,6,27,
,,COSM,49,1534,ROGERS JR J,,,,,,,,13,18,1,32,
,,COSM,50,1536,MOISAN A V,4,10,,,8,,,,,1,23,
,,COSM,50,1537,CEBALLOS B A,9,2,4,,8,,,,,2,25,
,,,,1538,CEBALLOS B A,15,7,2,,2,,,,,3,29,
,,COSM,50,1539,DICAMILLO N,2,12,,,8,,,,,2,24,
,,,,1540,DICAMILLO N,3,8,,,6,,,,,2,19,
,,COSM,59,1541,MYERS A M,,,,,,,,6,11,,17,
,,COSM,64,1542,LEDONNE H,6,9,4,1,3,,,,,4,27,
,,,,1543,LEDONNE H,4,11,4,4,1,,,,,10,34,
,,COSM,88,1547,ROGERS JR J,,,,,,,,,2,1,3,
Counseling,COUNS,COUNS,1,1548,JACKSON A E,,,,,,,,12,25,6,43,
,,,,1549,CANELA M,,,,,,,,11,31,17,59,
,,COUNS,1,1550,SUEKAWA L,,,,,,,,4,32,1,37,
,,,,1551,DAHAN M,,,,,,,,5,29,2,36,
,,,,1552,NUNAG A N,,,,,,,,9,31,2,42,
,,,,1553,OCAMPO A C,,,,,,,,11,33,2,46,
,,,,1554,THOMPSON C,,,,,,,,3,29,1,33,
,,,,1555,FINCH L A,,,,,,,,3,42,1,46,
,,,,1556,HERNANDEZ MA,,,,,,,,11,22,5,38,
,,,,1557,NGOV S R,,,,,,,,9,30,,39,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 16 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,1,1558,FINLEY S F,,,,,,,,6,36,2,44,
,,,,1559,FINLEY S F,,,,,,,,4,36,,40,
,,,,1560,KLINEMAN M S,,,,,,,,5,25,2,32,
,,,,1561,MIRANDA M L,,,,,,,,7,29,3,39,
,,,,1562,TRUONG L,,,,,,,,15,21,,36,
,,COUNS,1,1563,MORRIS M R,15,4,1,,6,,,,,4,30,
,,,,1564,MORRIS M R,14,3,4,,2,,,,,14,37,
,,,,1567,GRUEN D L,11,5,2,1,1,,,,,6,26,
,,,,1568,GRUEN D L,9,6,2,,1,,,,,18,36,
,,,,1569,NELLA M C,19,10,1,1,1,,,,,6,38,
,,,,1570,COHN-SCHNEIDER R,14,5,2,,2,,,,,8,31,
,,,,1571,COHN-SCHNEIDER R,14,4,3,,1,,,,,4,26,
,,,,1572,GAUSMAN J M,26,3,,,3,,,,1,2,35,
,,,,1573,GAUSMAN J M,24,7,,,5,,,,,6,42,
,,,,4111,HARRIS J E,16,4,3,,2,,,,,1,26,
,,,,4112,HARRIS J E,13,4,2,2,10,,,1,1,2,35,
,,COUNS,1,1577,NELLA M C,13,3,2,1,2,,,,,18,39,
,,COUNS,2,1578,GALINDO O A,6,4,2,,12,,,,,9,33,
,,,,1579,GALINDO O A,6,4,4,2,2,,,,,17,35,
,,,,1580,GALINDO O A,18,6,3,,2,,,,,9,38,
,,,,1581,VALENTINE D,15,10,3,,6,,,,,5,39,
,,,,1582,STEWART S,10,7,7,3,3,,,,,6,36,
,,,,1583,JIMENEZ P W,9,5,6,3,2,,,,,3,28,
,,,,1584,GONZALEZ B M,10,6,6,2,8,,,,,4,36,
,,,,1585,GALINDO O A,23,6,3,,4,,,1,,4,41,
,,,,1586,BACCUS C C,3,4,3,4,,,,,,9,23,
,,,,1587,CANELA M,13,6,2,1,3,,,,,5,30,
,,,,1588,FINCH L A,28,5,2,2,1,,,,,4,42,
,,,,1589,LEWIS M L,13,4,6,1,3,,4,,,6,37,
,,,,1590,LEWIS M L,10,5,5,1,5,,2,,,8,36,
,,,,1591,BARAJAS B,10,4,8,2,9,,,,,14,47,
,,,,1592,CANELA M,13,5,3,2,7,,,,,4,34,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 17 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,2,1593,NUNEZ-MASON R E,15,5,1,2,3,,,,,10,36,
,,,,1594,STEWART S,18,4,7,2,6,,,,,3,40,
,,,,1595,VALLEJO O,9,6,2,7,2,,,,,9,35,
,,,,1596,MONTES DE VEGAS A,5,6,5,3,6,,,,,3,28,
,,,,1597,GONZALEZ B M,12,12,5,5,5,,,,,2,41,
,,,,1598,TREJO A D,13,11,4,,1,,,,,5,34,
,,,,1599,VALENTINE D,18,6,1,,3,,,,,4,32,
,,,,1600,COOPER D J,22,5,2,1,2,,,,,3,35,
,,,,1601,NIEVES O,5,9,12,1,9,,,,,3,39,
,,,,1602,FINCH L A,25,10,3,,,,,,,5,43,
,,,,1603,CARRILLO-SARR S,12,14,5,1,4,,,,,5,41,
,,,,1604,MARTINEZ D M,7,8,1,6,,,,,,2,24,
,,,,1605,AKINS RAVELING D,4,6,5,4,9,,,,,10,38,
,,,,1606,HACKETT C D,6,13,21,3,3,,,,,4,50,
,,,,1607,VALENTINE D,21,7,,,4,,,,,4,36,
,,,,1608,COOPER D J,31,2,,,,,,,,4,37,
,,,,1609,TREJO A D,7,6,8,4,6,,,,,2,33,
,,,,1610,COOPER D J,17,5,6,2,2,,,,,1,33,
,,,,1611,LEWIS M L,9,5,4,2,9,,2,,,2,33,
,,,,1612,MAIORANO S M,11,9,5,,2,,,,,3,30,
,,,,1613,CARRILLO-SARR S,15,8,3,6,5,,,1,,2,40,
,,,,1614,HANSON N J,17,8,2,2,,,,,,12,41,
,,,,1615,AKINS RAVELING D,5,8,7,4,8,,,,,3,35,
,,,,1616,SEIDEN J,15,10,3,4,1,,,,,3,36,
,,,,1617,TREJO A D,19,5,8,1,1,,,,,3,37,
,,,,1618,JACKSON A E,13,11,7,4,5,,,,,4,44,
,,,,1619,DAHLENBURG T,10,1,12,4,,,,,,7,34,
,,,,1620,CARRILLO-SARR S,10,5,6,3,5,,,,,5,34,
,,,,1621,JACKSON A E,14,10,11,1,1,,,,,3,40,
,,,,1622,FINLEY S F,19,4,2,3,3,,,,,,31,
,,,,1623,ADKINS L B,16,7,5,2,3,,,,,2,35,
,,,,1624,DAHLENBURG T,4,8,6,2,4,,,,,8,32,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 18 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,2,1625,CASILLAS V,12,3,8,2,2,,,,,7,34,
,,,,1626,PRADO R E,12,10,3,1,4,,,,,1,31,
,,,,1627,PRADO R E,13,8,6,6,2,,,,,8,43,
,,,,1628,SIMMONS B,8,4,6,,2,,,,,2,22,
,,,,1629,SEIDEN J,17,4,1,1,3,,,,,1,27,
,,,,1630,SEIDEN J,12,9,,,4,,,,,1,26,
,,,,1631,SEIDEN J,10,5,1,1,4,,,,,3,24,
,,,,1632,HALL T T,13,2,,1,3,,,,,8,27,
,,,,1633,HALL T T,14,3,4,1,2,,,,,2,26,
,,,,1634,NAKAO P O,9,4,3,2,2,,,,,2,22,
,,,,1635,NAKAO P O,11,2,2,2,5,,,,,5,27,
,,,,4113,JACKSON A E,7,7,8,1,2,,,,,1,26,
,,,,4114,ROBINSON J L,13,6,4,2,4,,,,,1,30,
,,,,4115,DAHLENBURG T,13,4,6,3,4,,,,,3,33,
,,,,4116,NJOKU R,3,6,6,1,8,,,,,6,30,
,,,,4117,MARTIN-TUNGPALA N K,4,2,1,4,10,,,,,5,26,
,,,,4118,ADKINS L B,6,4,4,1,4,,,,,10,29,
,,,,4119,MARTIN-TUNGPALA N K,2,5,1,,9,,,,,10,27,
,,,,4120,STEWART S,20,2,4,4,2,,,,,2,34,
,,,,4121,MARTIN-TUNGPALA N K,3,4,2,1,10,,,,,4,24,
,,,,4122,ADKINS L B,8,3,3,2,12,,,,,6,34,
,,COUNS,8,1656,SEIDEN J,1,,,,,,,,,,1,
,,COUNS,8,1657,SEIDEN J,1,,,,,,,,,,1,
,,COUNS,8,1658,SEIDEN J,3,,1,,,,,,,,4,
,,COUNS,9,1659,ROTHMAN V J,,,,,,,,1,18,,19,
,,COUNS,9,1660,ROTHMAN V J,,,,,,,,2,12,1,15,
,,COUNS,9,1661,ROTHMAN V J,,,,,,,,2,21,,23,
,,COUNS,9,1662,ROTHMAN V J,,,,,,,,1,2,,3,
CSIS,ACCTG,ACCTG,35,1048,VALDIVIA O,8,5,,,1,,,,,1,15,
,,,,1049,ZIMMERMAN W L,8,4,1,1,,,,,,3,17,
,,,,1050,ZIMMERMAN W L,4,2,2,,,,,,,3,11,
,CIS,CIS,1,1363,RAHNI M,5,15,5,2,1,,,,,4,32,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 19 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,1,1364,RAHNI M,4,24,3,,,,,,,5,36,
,,,,1365,SCOTT JACQUELINE D,4,6,4,4,9,,,,,6,33,
,,,,1366,RAHNI M,7,22,2,2,,,,,,4,37,
,,,,1367,RODRIGUEZ J E,8,5,3,3,7,,,,,,26,
,,,,1368,HURLEY D P,1,6,2,2,2,,,,,11,24,
,,,,1369,HURLEY D P,3,6,8,2,,,,,,2,21,
,,,,1370,HAMMOND C M,3,4,1,,2,,,,,12,22,
,,,,1371,HAMMOND C M,4,4,4,4,1,,,,1,8,26,
,,,,1372,HAMMOND C M,5,3,3,4,,,,,,11,26,
,,,,4086,KURTZ K A,7,9,5,1,2,,1,,,4,29,
,,CIS,4,1373,MARTYN M A,19,9,2,,,,,,,3,33,
,,,,1374,SCOTT JACQUELINE D,1,6,2,1,11,,,,,5,26,
,,,,1375,EL-KHOURY N R,11,12,2,,2,,,,,5,32,
,,,,1376,JERRY G S,20,10,1,,1,,,,,4,36,
,,,,1377,HAMMOND C M,16,4,6,,,,,,,6,32,
,,,,1378,EL-KHOURY N R,14,7,5,,3,,,,,5,34,
,,,,1379,EL-KHOURY N R,10,11,6,5,3,,,1,,9,45,
,,,,1380,RODRIGUEZ J E,14,3,3,2,10,,,,,1,33,
,,,,1381,ROTHAUPT B L,30,1,1,,,,,,,3,35,
,,,,1382,SON L B,16,8,3,1,2,,,,,3,33,
,,,,1383,JERRY G S,16,1,7,,2,,,,,9,35,
,,,,1385,SCOTT JACQUELINE D,10,7,4,1,5,,,,,1,28,
,,,,1386,CANADA S A,28,3,,,2,,,,,2,35,
,,,,1388,JERRY G S,16,4,4,,1,,,,,2,27,
,,,,1389,JERRY G S,10,2,2,1,2,,,,,6,23,
,,,,1390,ROTHAUPT B L,15,2,2,,2,,,,,1,22,
,,,,1391,ROTHAUPT B L,15,1,,,1,,,,,3,20,
,,,,1392,ROTHAUPT B L,10,3,1,,2,,,,,1,17,
,,,,1394,GROSS D M,7,2,4,1,1,,,,,3,18,
,,,,1395,GROSS D M,7,4,1,1,2,,,,,7,22,
,,,,1396,PINTO M M,9,7,2,,1,,,,,6,25,
,,,,3354,GROSS D M,7,3,2,,3,,,,,9,24,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 20 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,4,4087,CANADA S A,17,6,2,1,1,,,,,6,33,
,,,,4088,SIMMONDS A R,18,6,2,2,1,,,,,5,34,
,,CIS,9A,1397,DARWICHE J,3,1,,,1,,,,,1,6,
,,CIS,30,1398,VALDIVIA O,6,8,2,3,4,,,,,2,25,
,,,,1399,BOLANDHEMAT F,12,7,2,2,1,,,,1,7,32,
,,CIS,32,1400,ROTHAUPT B L,15,,1,,,,,,,,16,
,,CIS,35,1401,VALDIVIA O,4,1,1,,1,,,,,,7,
,,,,1402,ZIMMERMAN W L,7,3,,,2,,,,,1,13,
,,,,1403,ZIMMERMAN W L,4,1,,,,,,,1,4,10,
,,CIS,37A,1404,GROSS D M,18,5,1,,1,,,,,1,26,
,,CIS,37B,1405,GROSS D M,10,4,2,,2,,,,,2,20,
,,CIS,40,1406,VALDIVIA O,7,5,4,,3,,,,,1,20,
,,CIS,50,1407,CLARK G B,6,2,3,1,2,,,1,,4,19,
,,,,1408,BOLANDHEMAT F,10,4,1,,2,,,,,3,20,
,,,,1409,BOLANDHEMAT F,7,6,3,3,5,,,,,4,28,
,,CIS,51,1410,CLARK G B,10,,,,4,,,,,7,21,
,,,,1411,DARWICHE J,4,5,,,4,,,,,4,17,
,,,,1412,CLARK G B,5,,2,,5,,,,,5,17,
,,CIS,54,1413,CHABAN M,14,2,4,,,,,,,7,27,
,,CIS,55,1414,CHABAN M,11,1,1,,,,,,,3,16,
,,CIS,59A,1415,JERRY G S,16,4,,1,,,,,,3,24,
,,,,4091,ST AMANT K,6,2,,,,,,,,5,13,
,,CIS,59B,3398,ST AMANT K,4,1,2,1,,,,1,,3,12,
,,CIS,60A,1416,HAMMOND C M,17,4,,,2,,,,,2,25,
,,,,4093,MICHELSON G S,19,2,1,,,,1,,,6,29,
,,CIS,62A,3399,BOLANDHEMAT F,4,3,1,2,6,,,1,,16,33,
,,CIS,64,1417,VALDIVIA O,6,3,3,,1,,,,,5,18,
,,CIS,67,4095,CHABAN M,8,,2,,1,,,,2,2,15,
,,CIS,88A,1418,BOLANDHEMAT F,2,,,,,,,,,,2,
,CS,CS,3,1663,MARCHAND K A,7,9,6,,7,,1,,,5,35,
,,,,1664,ROGLER H L,1,9,12,1,6,,,,,6,35,
,,,,1665,ROGLER H L,9,8,12,5,4,,,,,1,39,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 21 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CS,CS,3,1666,ROGLER H L,5,9,7,4,5,,,,,4,34,
,,,,1667,HURLEY D P,10,14,10,3,5,,,,1,9,52,
,,,,1668,ROGLER H L,6,6,11,6,1,,,,,4,34,
,,,,1669,HURLEY D P,10,9,1,1,3,,,,,14,38,
,,,,1670,HURLEY D P,12,6,1,3,,,,,,2,24,
,,,,1671,HURLEY D P,17,6,3,1,,,,,,3,30,
,,,,4123,KURTZ K A,18,10,5,2,1,,,,,7,43,
,,CS,8,1672,DARWICHE J,9,,,,1,,,,1,1,12,
,,CS,9A,1673,DARWICHE J,7,3,1,,1,,,,,3,15,
,,CS,15,1675,DARWICHE J,5,5,4,1,2,,,,,12,29,
,,,,1676,DARWICHE J,6,5,2,2,5,,,,,8,28,
,,,,4124,ROBERTSON SC E,6,8,3,,1,,,,,19,37,
,,CS,17,1677,STAHL H A,17,5,3,,4,,,,,8,37,
,,CS,19,1678,DARWICHE J,6,2,4,1,5,,,,,7,25,
,,CS,20A,4506,STAHL H A,20,2,4,1,5,,1,,,4,37,
,,CS,20B,4125,JUPE E,12,8,5,1,1,,,,,11,38,
,,CS,30,1679,DARWICHE J,15,2,3,,,,,,,5,25,
,,CS,32,4126,OLSEN A B,9,1,,,,,,,,10,20,
,,CS,41,4127,MORGAN D B,11,7,,2,2,,,,,4,26,
,,CS,42,4128,KURTZ K A,17,7,3,3,3,,,,,10,43,
,,CS,50,1680,DEHKHODA A,26,12,8,,2,,1,,,7,56,
,,,,4129,DEHKHODA A,21,14,8,,,,,,,8,51,
,,,,4130,DEHKHODA A,16,12,3,,1,,,,1,6,39,
,,CS,52,1681,STAHL H A,16,6,3,5,3,,1,,,4,38,
,,,,4131,ROBERTSON SC E,17,5,2,1,4,,,,,12,41,
,,CS,53A,4132,DEHKHODA A,21,5,,,2,,,,,6,34,
,,CS,53B,4133,DEHKHODA A,11,2,,,2,,,,,1,16,
,,CS,55,1682,DEHKHODA A,21,16,4,,1,,,,1,6,49,
,,CS,56,1683,DEHKHODA A,32,3,1,1,,,,,,4,41,
,,CS,60,4134,ROGLER H L,11,5,1,2,3,,,,,5,27,
,,CS,61,4135,ROGLER H L,5,3,,,4,,,,1,2,15,
,,CS,65,4136,ROGLER H L,4,2,2,1,3,,,,,2,14,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 22 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CS,CS,70,1684,MORGAN D B,10,3,1,,2,,,,,8,24,
,,CS,73,1685,HURLEY D P,17,3,2,1,,,,,,2,25,
,,CS,78,4138,MORGAN D B,7,2,2,,4,,,,,3,18,
,,CS,80,1686,GEDDES JR J K,19,3,3,,2,,,,,2,29,
,,,,1687,GEDDES JR J K,26,1,,,2,,,,,4,33,
,,CS,81,1688,GEDDES JR J K,22,3,2,1,10,,,,,3,41,
,,CS,85,1689,GEDDES JR J K,25,4,,,5,,,,1,2,37,
,,CS,86,4139,GEDDES JR J K,15,1,1,,2,,,,,3,22,
,,CS,88A,1690,BOLANDHEMAT F,2,,,,,,,,,,2,
,,CS,90A,1693,BOLANDHEMAT F,,,,,,,,,1,1,2,
,OFTECH,OFTECH,1,3000,LEIVA C Y,11,4,5,2,5,,1,,,2,30,
,,OFTECH,1,3001,RODRIGUEZ J E,5,3,8,,1,,,,,,17,
,,,,3002,MCKAY J H,12,,,2,1,,,,,4,19,
,,,,3003,GROSS D M,11,1,,1,4,,,,,4,21,
,,OFTECH,1,3004,RODRIGUEZ J E,3,1,2,,1,,,,,,7,
,,,,3005,MCKAY J H,1,,,,,,,,,2,3,
,,,,3006,GROSS D M,2,,,,1,,,,,1,4,
,,OFTECH,1,3007,RODRIGUEZ J E,2,1,,,1,,,,,,4,
,,,,3008,MCKAY J H,2,,,,,,,,,1,3,
,,,,3009,GROSS D M,,,1,,,,,,,,1,
