Santa Monica College - Grade Distribution Spring 2013,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
,,,,2599,GOLDSTEIN MARTIN M,31,8,3,,,1,,,,43,
,,,,2600,SCHOFIELD J E,26,16,1,2,3,,,,1,49,
,,,,2601,PERNISCO N,18,9,4,2,,,,1,5,39,
,,,,2602,MUNOZ M E,12,10,10,2,,,,1,6,41,
,,,,2603,MUNOZ M E,12,10,3,2,2,1,,,8,38,
,,,,3137,COLEMAN D,13,17,7,1,6,,,,2,46,
,,,,4334,GOLDSTEIN MARTIN M,26,3,,1,,,,,2,32,
,,,,4335,SHARMA SU,5,8,7,1,8,,1,1,7,38,
,,,,4336,GOLDSTEIN MARTIN M,23,9,,,,1,,,,33,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 14 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,MEDIA,MEDIA,10,4337,COLEMAN D,13,8,,1,10,,,,6,38,
,,MEDIA,11,2604,DAWSON F R,8,13,5,,2,1,,,3,32,
,,,,2605,SHAW R D,8,8,3,1,5,,,,9,34,
,,MEDIA,12,2606,GIGGANS J H,16,2,10,,2,,,,8,38,
,,MEDIA,13,2607,BREWINGTON R H,20,3,4,2,1,,,,6,36,
,,,,4338,BREWINGTON R H,12,6,1,,2,2,,,10,33,
,,MEDIA,14,4339,GIGGANS J H,7,5,5,,,,,,4,21,
,,MEDIA,17,4340,CARLUCCI M A,8,5,1,,,,,,9,23,
,,,,4341,CARLUCCI M A,9,2,1,,8,,,,6,26,
,,MEDIA,18,4342,ADELMAN A,7,7,1,,2,,,1,,18,
,,MEDIA,19,2608,BEATON J L,10,3,1,1,7,,,,4,26,
,,MEDIA,20,4343,CAPTOR R,12,2,,,,,,,5,19,
,,MEDIA,46,2609,FETZER G C,18,1,,2,8,,,,4,33,
,,MEDIA,48,2610,SMITH J C,11,6,,2,,,,,3,22,
,,MEDIA,88,3196,GRASS HEMMERT N L,1,,,,,,,,,1,
,,MEDIA,88,3197,GRASS HEMMERT N L,1,,,,,,,,,1,
,,,,3206,GRASS HEMMERT N L,1,,,,,,,,,1,
,PHOTO,PHOTO,1,2831,BURKHART G J,4,4,4,1,1,,,1,6,21,
,,PHOTO,1,2832,BURKHART G J,2,,3,1,,,,,5,11,
Cosmetology,COSM,COSM,10,1441,VAUGHN C L,10,12,5,1,1,,,,3,32,
,,,,1442,VAUGHN C L,13,6,4,,1,,,,3,27,
,,COSM,11,1443,LEDONNE H,3,9,12,2,2,,,,2,30,
,,,,1444,LEDONNE H,2,8,4,3,7,,,,5,29,
,,COSM,11,1445,PERRET D M,7,6,4,1,3,,,,3,24,
,,,,1446,PERRET D M,3,7,4,2,5,,,,8,29,
,,COSM,11,3081,ASSADI J,3,8,11,3,1,,,,4,30,
,,,,3083,ASSADI J,1,7,10,4,3,,,,6,31,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 15 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,11,1449,MOISAN A V,15,11,,,,,,,9,35,
,,,,1450,MOISAN A V,11,6,1,1,,,,,11,30,
,,COSM,14,1451,YOUNG C P,8,10,7,2,,,,,6,33,
,,,,1452,YOUNG C P,6,4,6,3,,,,,10,29,
,,COSM,14,1453,YOUNG C P,6,10,5,2,,,,,4,27,
,,,,1454,YOUNG C P,5,2,2,5,,,,,7,21,
,,COSM,16,1455,MOISAN A V,14,10,4,2,,,,,4,34,
,,,,1456,MOISAN A V,8,5,7,1,,,,,1,22,
,,COSM,18,1457,LIM J Y,13,4,2,3,,,,,9,31,
,,,,1458,LIM J Y,14,7,4,,,,,,2,27,
,,COSM,20,1459,IJAMES S V,24,7,1,3,,,,,5,40,
,,,,1460,IJAMES S V,11,20,3,7,,,,,2,43,
,,COSM,21,1461,MOISAN A V,19,,,,,,,,2,21,
,,,,1462,MOISAN A V,13,3,,,,,,,9,25,
,,COSM,21,1464,FELIX F,21,5,2,2,,,,,4,34,
,,COSM,21,1465,PERRET D M,7,8,2,1,,,,,4,22,
,,,,1466,PERRET D M,6,10,6,4,,,,,1,27,
,,COSM,21,1467,MOISAN A V,11,7,4,1,,,,,8,31,
,,,,1468,MOISAN A V,14,8,,1,,,,,8,31,
,,COSM,24,1469,MYERS A M,10,10,2,1,1,,,,3,27,
,,,,1470,MYERS A M,13,10,2,1,,,,,2,28,
,,COSM,26,1471,FIGUEROA I M,8,9,6,2,1,,,,5,31,
,,,,1472,FIGUEROA I M,8,10,8,2,,,,,6,34,
,,COSM,28,1473,LEDONNE H,5,15,6,1,,,,,4,31,
,,,,1474,LEDONNE H,5,15,9,1,4,,,,,34,
,,COSM,28,1475,LIM J Y,14,4,6,1,,,,,,25,
,,,,1476,LIM J Y,9,9,7,,,,,,1,26,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 16 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,29,1477,FIGUEROA I M,,,,,,,8,21,6,35,
,,,,1478,FIGUEROA I M,,,,,,,10,25,2,37,
,,COSM,30,1479,IJAMES S V,27,6,1,2,1,,,,1,38,
,,,,1480,IJAMES S V,11,13,9,,,,,,2,35,
,,COSM,31,1481,ROGERS JR J,16,4,,2,,,,,5,27,
,,,,1482,ROGERS JR J,11,5,3,3,,,,,4,26,
,,COSM,31,1483,PERRET D M,8,6,9,,,,,,10,33,
,,,,1484,PERRET D M,4,4,3,2,,,,,3,16,
,,COSM,31,3082,ASSADI J,6,7,2,1,,,,,3,19,
,,,,3084,ASSADI J,5,8,7,,,,,,3,23,
,,COSM,36,1487,FIGUEROA I M,4,7,5,1,,,,,9,26,
,,,,1488,FIGUEROA I M,6,11,3,3,,,,,5,28,
,,COSM,38,1489,LIM J Y,13,5,3,,,,,,5,26,
,,,,1490,LIM J Y,7,12,2,1,,,,,1,23,
,,COSM,39,1491,ROGERS JR J,,,,,,,38,,3,41,
,,,,1492,ROGERS JR J,,,,,,,13,29,1,43,
,,COSM,40,1493,DICAMILLO N,4,12,2,5,,,,,3,26,
,,,,1494,DICAMILLO N,11,9,3,5,,,,,1,29,
,,COSM,41,1495,ASSADI J,7,8,1,3,,,,,1,20,
,,,,1496,ASSADI J,7,13,1,1,,,,,7,29,
,,COSM,42,1497,ROGERS JR J,16,5,,1,,,,,4,26,
,,,,1498,ROGERS JR J,19,6,2,2,,,,,4,33,
,,COSM,46,1499,NUNLEY R M,6,5,3,,,,,,2,16,
,,,,1500,NUNLEY R M,4,2,2,1,2,,,,3,14,
,,COSM,48,1501,KEPLER J M,15,5,2,,,,,,1,23,
,,,,1502,KEPLER J M,14,4,1,1,,,,,7,27,
,,COSM,48,1503,LEDONNE H,5,8,4,1,2,,,,4,24,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 17 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,48,1504,LEDONNE H,10,12,6,4,,,,,1,33,
,,COSM,49,1505,WILLIAMS DONNIE,,,,,,,11,18,2,31,
,,,,1506,WILLIAMS DONNIE,,,,,,,9,15,,24,
,,COSM,50,1507,MOISAN A V,2,9,,9,,,,,6,26,
,,,,1508,MOISAN A V,5,12,,6,,,,,7,30,
,,COSM,50,1509,CEBALLOS B A,8,9,,,,,,,4,21,
,,,,3070,CEBALLOS B A,13,5,4,2,,,,,9,33,
,,COSM,50,1510,DICAMILLO N,3,11,1,3,,,,,1,19,
,,,,1511,DICAMILLO N,4,7,,3,,,,,1,15,
,,COSM,59,1512,YOUNG C P,,,,,,,3,7,,10,
,,,,1513,PERRET D M,,,,,,,5,13,2,20,
,,COSM,64,1514,LEDONNE H,5,7,8,3,3,,,,13,39,
,,,,1515,LEDONNE H,7,10,4,1,2,,,,10,34,
,,COSM,75,1516,ROGERS JR J,,,,,,,,6,2,8,
,,,,1517,ROGERS JR J,,,,,,,3,1,1,5,
,,COSM,75,1518,ROGERS JR J,,,,,,,,5,,5,
,,,,1519,ROGERS JR J,,,,,,,1,7,,8,
,,COSM,75,1520,ROGERS JR J,,,,,,,,7,2,9,
,,COSM,75,1521,ROGERS JR J,,,,,,,3,1,,4,
,,COSM,88,1522,ROGERS JR J,,,,,,,1,4,,5,
,,,,1523,ROGERS JR J,,,,,,,1,1,,2,
Counseling,COUNS,COUNS,1,1524,CARRILLO‐SARR S,,,,,,,9,20,15,44,
,,,,1525,JACKSON A E,,,,,,,7,21,19,47,
,,COUNS,1,1526,SUEKAWA L,,,,,,,4,26,1,31,
,,,,1527,DAHAN M,,,,,,,13,25,1,39,
,,,,1528,NUNAG A N,,,,,,,10,30,1,41,
,,,,1529,THOMPSON C,,,,,,,8,33,4,45,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 18 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,1,1530,FINCH L A,,,,,,,44,,2,46,
,,,,1531,THOMPSON C,,,,,,,5,35,2,42,
,,,,1532,NGOV S R,,,,,,,13,33,,46,
,,,,1533,MIRANDA M L,,,,,,,4,33,5,42,
,,,,1534,HERNANDEZ MA,,,,,,,9,24,3,36,
,,,,1535,TRUONG L,,,,,,,17,20,4,41,
,,,,3153,ADKINS L B,,,,,,,3,18,8,29,
,,,,3154,ADKINS L B,,,,,,,4,12,10,26,
,,,,3166,OCAMPO A C,,,,,,,5,35,3,43,
,,COUNS,1,1536,COHN‐SCHNEIDER R,27,1,2,1,2,,,,7,40,
,,,,1537,COHN‐SCHNEIDER R,18,8,2,3,,,,,4,35,
,,,,1538,NELLA M C,20,8,,3,,,,,4,35,
,,,,1539,NELLA M C,16,3,1,1,2,,,,15,38,
,,,,1540,GAUSMAN J M,27,2,2,5,,,,,4,40,
,,,,1541,GAUSMAN J M,11,8,7,6,,,1,1,7,41,
,,,,4098,MANESS J I,16,5,,5,,,,2,2,30,
,,,,4099,MANESS J I,19,5,,5,,,,,12,41,
,,COUNS,2,1544,STEWART S,16,2,3,,,,,,4,25,
,,,,1545,GALINDO O A,16,6,4,1,4,,,1,14,46,
,,,,1546,GALINDO O A,15,5,4,2,3,,1,,11,41,
,,,,1547,FINCH L A,17,7,3,2,,,,,10,39,
,,,,1548,JACKSON A E,9,6,7,1,9,,,,7,39,
,,,,1549,LEWIS M L,12,2,3,7,7,,,,6,37,
,,,,1550,MONTES DE VEGAS A,3,4,8,4,2,,,,6,27,
,,,,1551,NUNEZ‐MASON R E,13,4,4,2,3,,,,6,32,
,,,,1552,GALINDO O A,9,13,3,6,,,,,14,45,
,,,,1553,COOPER D J,18,5,7,2,5,,,,1,38,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 19 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,2,1554,AKINS RAVELING D,4,8,5,5,12,,,,5,39,
,,,,1555,DAHLENBURG T,21,4,4,,1,,,,5,35,
,,,,1556,FOX M P,9,3,4,1,4,,,,1,22,
,,,,1557,HACKETT C D,11,12,7,2,7,,,,8,47,
,,,,1558,COOPER D J,22,6,2,,4,,,,5,39,
,,,,1559,TREJO A D,12,9,6,1,1,,,,8,37,
,,,,1560,CARRILLO‐SARR S,9,12,6,1,4,,1,,5,38,
,,,,1561,HANSON N J,12,10,4,3,2,,,,6,37,
,,,,1562,AKINS RAVELING D,,7,3,5,10,,,,7,32,
,,,,1563,DOWD T Y,4,4,3,3,2,,,,14,30,
,,,,1564,MAIORANO S M,6,9,7,2,1,,,,5,30,
,,,,1565,NIEVES O,15,6,4,1,5,,,,4,35,
,,,,1566,SOTELO I Y,13,13,5,2,2,,,,3,38,
,,,,1567,HALL T T,15,3,,2,7,,,2,3,32,
,,,,1568,SEIDEN J,18,3,2,,4,,,,7,34,
,,,,1569,HALL T T,10,1,1,2,7,,,,12,33,
,,,,1570,SEIDEN J,13,4,7,1,,,,,7,32,
,,,,1571,SEIDEN J,15,6,3,2,3,,,1,6,36,
,,,,1572,NAKAO P O,16,1,3,1,2,,,1,4,28,
,,,,1573,NAKAO P O,7,2,4,2,3,,,,8,26,
,,,,3077,LEWIS M L,14,2,7,1,12,,,,4,40,
,,,,3078,BARAJAS B,12,8,5,3,4,1,,,6,39,
,,,,3079,VALENTINE D,10,7,4,1,6,,,,11,39,
,,,,4100,ROBINSON J L,9,2,11,,,,,,7,29,
,,,,4101,GALINDO O A,16,3,1,,4,,,,8,32,
,,,,4102,NJOKU R,9,5,4,,2,,,,9,29,
,,,,4463,MARTIN‐TUNGPALA N K,5,4,1,3,7,,,,3,23,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 20 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,8,1593,SEIDEN J,1,,,,,,,,,1,
,,COUNS,8,1596,SEIDEN J,8,,,,,,,,1,9,
,,COUNS,9,1597,ROTHMAN V J,,,,,,,2,19,2,23,
,,COUNS,9,1598,ROTHMAN V J,,,,,,,3,9,1,13,
,,COUNS,9,1599,ROTHMAN V J,,,,,,,5,19,,24,
,,COUNS,9,1600,ROTHMAN V J,,,,,,,4,7,,11,
CSIS,ACCTG,ACCTG,35,1044,VALDIVIA O,5,8,3,,,,,,1,17,
,,,,1045,ZIMMERMAN W L,6,3,4,3,,,,,,16,
,,,,1046,ZIMMERMAN W L,6,4,4,,,1,,,4,19,
,CIS,CIS,1,1346,RAHNI M,3,17,4,1,,,,,11,36,
,,,,1347,RAHNI M,8,21,5,1,,,,1,5,41,
,,,,1348,SCOTT JACQUELINE D,10,4,2,2,6,,,,11,35,
,,,,1349,SCOTT JACQUELINE D,8,10,2,2,4,,,,11,37,
,,,,1350,HURLEY D P,5,5,6,2,,,,,9,27,
,,,,1351,HAMMOND C M,11,5,2,2,1,,,,4,25,
,,,,1352,HAMMOND C M,9,,6,3,2,,,,2,22,
,,,,1353,HURLEY D P,4,4,7,1,,,,,9,25,
,,,,1354,HURLEY D P,2,7,4,2,2,,,,9,26,
,,,,1355,VALDIVIA O,10,2,2,1,2,,,,8,25,
,,,,4076,SIMMONDS A R,9,8,2,3,,,,2,2,26,
,,CIS,4,1356,SCOTT JACQUELINE D,4,9,3,2,7,,,,11,36,
,,,,1357,EL‐KHOURY N R,19,8,4,3,,,,,5,39,
,,,,1358,JERRY G S,24,6,2,1,2,,,,3,38,
,,,,1359,EL‐KHOURY N R,11,7,5,1,2,,,,9,35,
,,,,1360,EL‐KHOURY N R,19,14,4,5,,,,1,1,44,
,,,,1361,ROTHAUPT B L,32,4,1,,,,,,2,39,
,,,,1362,SON L B,18,5,5,1,4,,,1,3,37,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 21 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,4,1363,JERRY G S,24,7,1,3,,,,,2,37,
,,,,1364,CANADA S A,19,6,2,1,2,,,,2,32,
,,,,1365,JERRY G S,13,6,2,1,1,,,,4,27,
,,,,1366,JERRY G S,11,4,2,5,,,,,1,23,
,,,,1367,ROTHAUPT B L,17,3,,1,,,,,,21,
,,,,1368,ROTHAUPT B L,13,3,2,3,,,,,,21,
,,,,1369,ROTHAUPT B L,9,4,1,3,,,,,,17,
,,,,1370,GROSS D M,7,6,3,2,,,,1,2,21,
,,,,1371,GROSS D M,9,3,2,,,,,,2,16,
,,,,1372,GROSS D M,5,2,1,1,4,,,,8,21,
,,,,1373,PINTO M M,12,2,5,4,,,,,1,24,
,,,,3111,CANADA S A,21,4,4,1,,,,,3,33,
,,,,4077,CANADA S A,20,4,4,3,,,,,3,34,
,,,,4078,HAMMOND C M,11,3,5,1,1,,,,7,28,
,,CIS,9A,4079,KURTZ K A,3,3,1,,,,,,1,8,
,,CIS,9B,1374,DARWICHE J,4,2,2,,,,,,6,14,
,,CIS,30,1375,BOLANDHEMAT F,13,5,3,2,3,,,2,6,34,
,,CIS,32,1376,ROTHAUPT B L,13,1,1,3,,,,,1,19,
,,CIS,35,1377,VALDIVIA O,3,,,,,,,,3,6,
,,,,1378,ZIMMERMAN W L,,3,,2,,,,,1,6,
,,,,1379,ZIMMERMAN W L,,4,2,2,,,,,1,9,
,,CIS,37A,1380,GROSS D M,18,2,,2,,,,,2,24,
,,CIS,37B,1381,GROSS D M,15,3,2,2,1,,,,5,28,
,,CIS,50,1382,CLARK G B,7,6,3,1,2,,,,5,24,
,,,,1383,BOLANDHEMAT F,11,3,3,1,,,,,10,28,
,,CIS,51,1384,CLARK G B,10,2,2,5,,,,,6,25,
,,,,1385,DARWICHE J,9,5,2,3,4,,,,2,25,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 22 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,54,1386,CHABAN M,16,2,2,1,2,,,,7,30,
,,CIS,59A,1387,JERRY G S,18,1,2,,3,,,,4,28,
,,CIS,60A,1388,CLARK G B,11,3,2,,3,,,,3,22,
,,,,1389,VALDIVIA O,12,2,,,2,,,1,3,20,
,,CIS,60B,1390,VALDIVIA O,11,3,,2,2,,,,2,20,
,,CIS,62A,1391,BOLANDHEMAT F,7,2,,,,,,,6,15,
,,CIS,62B,1392,BOLANDHEMAT F,6,,,3,1,,,,3,13,
,,CIS,67,4081,CHABAN M,17,7,1,1,1,,,,5,32,
,,CIS,70,4082,ST AMANT K,4,3,,,1,,,2,6,16,
,,CIS,88A,1393,BOLANDHEMAT F,5,,,,,,,,,5,
,CS,CS,3,1601,MARCHAND K A,19,13,6,2,2,1,,,2,45,
,,,,1602,ROGLER H L,8,10,6,4,4,1,,,5,38,
,,,,1603,ROGLER H L,2,6,7,5,4,,,,13,37,
,,,,1604,ROGLER H L,11,6,9,3,1,,,,3,33,
,,,,1605,ROGLER H L,5,6,7,7,3,,,,5,33,
,,,,1606,HURLEY D P,21,5,9,,1,,,,5,41,
,,,,1607,HURLEY D P,18,4,4,1,4,,,1,6,38,
,,,,3112,MARCHAND K A,10,9,10,,4,1,,1,4,39,
,,,,4103,HURLEY D P,16,5,11,1,2,,,,16,51,
,,CS,9A,4104,KURTZ K A,10,6,2,1,1,,,,5,25,
,,CS,9B,1608,DARWICHE J,11,,,2,,,,,2,15,
,,CS,15,1609,DARWICHE J,4,,4,2,11,,,,9,30,
,,,,1610,HURLEY D P,10,5,5,2,1,,,,14,37,
,,,,4106,ROBERTSON SC E,6,4,2,2,1,,,,20,35,
,,CS,17,1611,STAHL H A,21,7,2,,2,,,1,9,42,
,,CS,19,1612,DARWICHE J,7,3,,,2,,,,16,28,
,,CS,20A,4107,STAHL H A,21,8,3,,2,,,,8,42,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 23 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
CSIS,CS,CS,30,1613,DARWICHE J,12,2,1,1,,,,,4,20,
,,CS,37,1614,OLSEN A B,10,2,,3,,,,1,3,19,
,,CS,42,4108,KURTZ K A,21,10,2,4,,,,,10,47,
,,CS,50,1615,DEHKHODA A,31,8,2,2,,1,,,8,52,
,,,,4109,DEHKHODA A,13,12,6,2,6,1,,,10,50,
,,,,4110,DEHKHODA A,19,12,5,,,,,,3,39,
,,CS,52,4111,STAHL H A,28,10,3,2,1,,,,6,50,
,,CS,53A,4112,DEHKHODA A,14,5,,5,,,,,4,28,
,,CS,53B,4113,DEHKHODA A,9,10,,1,,,,1,2,23,
,,CS,55,1616,DEHKHODA A,26,14,5,1,,,,,7,53,
,,,,4114,CHAPETON‐LAMAS N,16,5,4,1,3,,,,11,40,
,,CS,56,1617,DEHKHODA A,26,10,,2,,1,,,2,41,
,,CS,60,4115,ROGLER H L,11,6,7,1,1,,,,2,28,
,,CS,61,4116,ROGLER H L,11,1,4,,,,,,8,24,
,,CS,65,4117,ROGLER H L,9,6,1,1,,,,1,5,23,
,,CS,70,4118,MORGAN D B,14,4,1,1,,,,,13,33,
,,CS,80,1618,GEDDES JR J K,25,2,1,1,,,,,7,36,
,,,,1619,GEDDES JR J K,26,2,1,1,,,,,7,37,
,,CS,81,1620,GEDDES JR J K,27,3,,3,,,,1,5,39,
,,CS,85,1621,GEDDES JR J K,19,3,,3,,,,,9,34,
,,CS,86,4119,GEDDES JR J K,14,3,1,3,,,,1,1,23,
,,CS,88C,1624,BOLANDHEMAT F,1,,,,,,,,,1,
,,CS,90C,1626,BOLANDHEMAT F,1,,,1,,,,,,2,
,OFTECH,OFTECH,1,2759,LEIVA C Y,11,4,4,2,4,,,,1,26,
,,OFTECH,1,2760,GROSS D M,8,2,2,5,,,,,2,19,
,,,,2761,GROSS D M,11,1,1,1,3,,,,6,23,
,,,,2762,GROSS D M,11,2,2,2,,,2,,2,21,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 24 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
CSIS,OFTECH,OFTECH,1,4374,LEIVA C Y,7,5,1,,9,,,,3,25,
,,OFTECH,1,2763,GROSS D M,4,,,,,,1,,1,6,
,,,,2764,GROSS D M,2,1,1,,1,,,,1,6,
,,,,2765,GROSS D M,4,1,,,1,,,,,6,
,,,,4375,LEIVA C Y,2,,,,,,,,1,3,
,,OFTECH,1,2766,GROSS D M,1,,,,1,,,,1,3,
,,,,2768,GROSS D M,,,,,1,,,,2,3,
,,,,2769,GROSS D M,,,,1,1,,,,2,4,
,,,,4376,LEIVA C Y,1,,,,,,,,2,3,
,,OFTECH,5,2770,MANTABE P,9,4,7,3,3,,,1,2,29,
,,OFTECH,9,2771,GROSS D M,2,,1,,,,,,1,4,
,,,,2772,GROSS D M,1,1,1,,,,,,1,4,
,,,,2773,GROSS D M,1,,,,,,,,,1,
,,,,4377,LEIVA C Y,4,,,,1,,,,,5,
,,OFTECH 1,,3068,LEIVA C Y,4,7,2,2,6,,,1,8,30,
,,OFTECH 2,,2774,MANTABE P,15,3,3,1,4,,,,4,30,
,,OFTECH 2,,2775,WILLIAMSON TE D,19,1,2,,2,,1,,2,27,
,,OFTECH 2,,2776,WILLIAMSON TE D,12,,10,,1,,,,5,28,
,,OFTECH 2,,4379,RODRIGUEZ B S,12,2,1,,4,4,,,7,30,
,,OFTECH 2,,2777,WILLIAMSON TE D,14,,,4,,,,,2,20,
Dance,DANCE,DANCE,2,1627,GONZALEZ G,34,2,2,4,1,,,,1,44,
,,,,1628,DOUGLAS JUDITH G,74,27,4,4,12,,,1,9,131,
,,DANCE,5,1629,DOUGLAS JUDITH G,33,43,23,5,13,,,,10,127,
,,,,1630,LEE J Y,12,11,20,9,12,,,1,13,78,
,,,,1631,TOMASIC M T,7,8,3,4,6,,,,11,39,
,,DANCE,1,1632,JEAN C A,16,5,1,,3,,,,8,33,
,,,,1633,JORDAN A N,6,1,3,1,5,,,2,7,25,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 25 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Dance,DANCE,DANCE,1,1634,LEITNER D,9,2,1,4,,,,1,6,23,
,,DANCE,1,1635,LETTERY J P,11,5,4,4,,,,,9,33,
,,DANCE,2,1636,JESSWEIN J N,12,,,2,,,,1,1,16,
,,,,1637,CANELLIAS L M,15,9,1,6,,,,,4,35,
,,DANCE,2,1638,SUSILOWATI S,6,4,2,1,,,,,6,19,
,,DANCE,2,1639,RAMIREZ R V,4,4,3,1,1,,,,2,15,
,,DANCE,2,1640,RAMIREZ R V,6,2,2,,,,,,,10,
,,DANCE,2,1641,ANDRADE A E,12,3,2,2,,,,,6,25,
,,DANCE,2,1642,JORDAN A N,10,7,8,3,5,,,,7,40,
,,DANCE,2,1643,YUDIN L K,22,1,4,1,1,,,,4,33,
,,DANCE,3,1644,RICHARDS C R,4,5,,9,,,,,8,26,
,,,,1645,TOMASIC M T,11,2,2,2,3,,1,,11,32,
,,,,1646,TOMASIC M T,15,4,5,4,,,1,,10,39,
,,,,1647,MOLNAR CY A,12,3,2,1,6,,,,4,28,
,,,,1648,DOUGLAS JUDITH G,11,5,2,6,10,,,1,6,41,
,,,,4120,MOLNAR CY A,8,3,2,7,,,,1,4,25,
,,DANCE,3,1649,RICHARDS C R,8,6,,2,,,,,9,25,
,,,,1650,TOMASIC M T,9,9,3,2,2,,,,8,33,
,,,,4121,JEAN C A,16,8,1,1,,,,,4,30,
,,DANCE,3,1651,TOMASIC M T,4,5,1,1,2,,,,5,18,
,,,,4122,MOLNAR CY A,9,4,1,1,,,,,5,20,
,,DANCE,3,1652,RICHARDS C R,8,9,,2,,,1,,3,23,
,,DANCE,4,1653,BENDER M M,14,2,,2,,,,,7,25,
,,,,1654,AYBAY OWENS S,5,5,1,1,,,,,4,16,
,,,,1655,MCDONALD K E,12,5,2,1,,,,,2,22,
,,,,1656,AYBAY OWENS S,9,4,1,,,,,,4,18,
,,,,4123,WOLIN‐TUPAS R L,13,1,,,,,,1,5,20,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 26 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Dance,DANCE,DANCE,4,1657,AYBAY OWENS S,10,2,,3,,,,,5,20,
,,,,1658,JEAN C A,20,3,3,2,1,,,,4,33,
,,,,1659,JORDAN A N,5,3,,2,,,,,4,14,
,,DANCE,4,1660,GREENE S M,14,2,1,3,,,,,1,21,
,,DANCE,4,1661,MCDONALD K E,10,7,5,1,2,,,1,2,28,
,,DANCE,5,1662,WOLIN‐TUPAS R L,19,9,1,,,,,,2,31,
,,DANCE,5,4124,RAMIREZ R V,18,11,5,2,,,,1,4,41,
,,DANCE,6,4125,WOLIN‐TUPAS R L,10,,1,,,,,,2,13,
,,DANCE,6,4126,WOLIN‐TUPAS R L,6,,,,,,,,2,8,
,,DANCE,7,1663,LEE J Y,32,,1,1,,,,,5,39,
,,,,1664,SUSILOWATI S,44,,1,,,,,1,5,51,
,,DANCE,8,1665,DOUGLAS JUDITH G,3,,,,,,,,,3,
,,,,1666,LEE J Y,,,,,,,,,1,1,
,,DANCE,8,1667,DOUGLAS JUDITH G,2,3,2,,,,,,,7,
,,,,1668,LEE J Y,,,,,,,,,1,1,
Design Tech.,ET,ET,2,2096,KEESHEN J F,17,16,5,,,,,,6,44,
,,,,4185,KEESHEN J F,9,13,12,,,,,,12,46,
,,ET,11,4186,JAVELOSA D A,12,7,2,1,2,,,,3,27,
,,ET,13,2097,JAVELOSA D A,11,10,1,1,1,,,,5,29,
,,ET,15,2098,HUSSAIN W,3,3,2,7,,,,,5,20,
,,ET,18,2099,DAVIS J A,6,13,1,,,,,,3,23,
,,,,2100,KLAUTKY E K,3,6,5,,,,,,8,22,
,,ET,19A,2101,KEESHEN J F,10,7,5,1,,,,,4,27,
,,,,4187,KEESHEN J F,6,6,6,,,,,,4,22,
,,ET,19B,2102,DAVIS J A,3,4,2,,,,,,5,14,
,,ET,20,2103,KEESHEN J F,7,4,3,3,,,,,2,19,
,,ET,24,2104,FRIA C T,3,5,6,2,,,,,7,23,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 27 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Design Tech.,ET,ET,24,4188,FRIA C T,7,8,2,3,,,,,5,25,
