Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
,,,,4468,HOWARD D B,18,16,1,,1,,,,1,37,
,,,,4469,PRESTON B L,27,8,1,1,1,,,,,38,
,,SPEECH,2,3084,WHIDDEN A R,11,11,7,,4,,,,1,34,
,,SPEECH,3,3085,MCNAMARA C V,8,10,5,,5,,,,6,34,
,,SPEECH,4,3086,KRAUT D S,14,9,2,,,,,,5,30,
,,SPEECH,5,3087,KRAUT D S,22,7,2,,,,,,1,32,
,,,,3088,OGATA D K,54,2,7,1,3,1,,,1,69,
,,,,3089,HOWARD B,11,11,4,7,,,,,1,34,
,,,,3090,KRAUT D S,20,9,2,,,,,,3,34,
,,,,3091,OGATA D K,60,7,2,,1,4,,,1,75,
,,,,3092,SMITH H A,7,4,7,2,1,1,,,5,27,
,,,,3093,SMITH H A,5,8,6,1,1,,,,5,26,
,,,,3094,WALKER D A,20,5,1,1,2,,,,3,32,
,,,,3095,BROWN N A,13,14,3,,,,,,3,33,
,,,,3096,BROWN N A,9,12,4,,2,,,,3,30,
,,,,3161,SMITH H A,6,9,7,3,,,,,6,31,
,,,,4470,BERGSTROM L M,7,17,5,,1,,,,1,31,
,,SPEECH,6,3097,GRASS HEMMERT N L,12,17,2,,,,,,3,34,
,,,,3098,MEGA M A,7,16,5,2,2,,,,2,34,
,,,,4471,KAIMIKAUA C I,21,4,2,,2,,,,1,30,
,,SPEECH,7,3099,GRASS HEMMERT N L,13,7,5,2,1,2,,,1,31,
,,,,3100,GRASS HEMMERT N L,7,9,1,5,3,,,,1,26,
,,,,3101,GRASS HEMMERT N L,8,8,1,2,5,,,,3,27,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 13 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Communicat,SPEECH,SPEECH,7,4472,KAIMIKAUA C I,16,5,2,2,,1,,,5,31,
,,SPEECH 1,,3102,BROWN N A,18,4,1,,,,,,3,26,
,,,,3103,SMITH H A,7,6,7,1,,1,,,5,27,
,,,,3104,SMITH H A,3,6,4,3,,1,,,10,27,
,,,,3105,BROWN N A,11,6,5,,,,,,5,27,
,,SPEECH 2,,3106,REGINA M A,9,,,,,2,,,2,13,
Cosmetology,COSM,COSM,10,1452,VAUGHN C L,4,5,9,2,1,1,,,9,31,
,,,,1453,VAUGHN C L,14,6,6,1,,4,,,13,44,
,,COSM,11,1454,LEDONNE H,2,12,14,1,,3,,,5,37,
,,,,1455,LEDONNE H,10,,6,,13,,,,4,33,
,,COSM,11,1456,FELIX F,27,,,2,,1,,,5,35,
,,,,1457,FELIX F,10,1,5,2,,,,,1,19,
,,COSM,11,1458,ASSADI J,7,3,19,2,,1,,,2,34,
,,,,1459,ASSADI J,1,7,6,6,,1,,,9,30,
,,COSM,11,1460,MOISAN A V,18,5,1,,,3,,,3,30,
,,,,1461,MOISAN A V,16,1,2,3,,,,,13,35,
,,COSM,14,1462,PERRET D M,8,6,5,2,1,4,,,5,31,
,,,,1463,PERRET D M,12,2,3,1,,5,,,10,33,
,,COSM,14,1464,PERRET D M,12,4,3,,,3,,,11,33,
,,,,1465,PERRET D M,4,2,4,1,,3,,,11,25,
,,COSM,16,1466,MOISAN A V,18,3,4,,,2,,,4,31,
,,,,1467,MOISAN A V,5,11,3,3,,,,,3,25,
,,COSM,18,1468,LIM J Y,12,7,3,1,,,,,5,28,
,,,,1469,LIM J Y,16,5,1,,,1,,,3,26,
,,COSM,20,1470,IJAMES S V,12,6,1,,1,2,,,10,32,
,,,,1471,IJAMES S V,6,7,11,1,,2,,,7,34,
,,COSM,21,1472,MOISAN A V,24,3,,,,,,,1,28,
,,,,1473,MOISAN A V,22,3,,1,,,,,2,28,
,,COSM,21,1474,MYERS A M,10,6,5,,1,4,,,4,30,
,,,,1475,MYERS A M,12,7,5,,,3,,,2,29,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 14 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Cosmetology,COSM,COSM,21,1476,MANUEL S M,9,5,2,1,2,,,,9,28,
,,,,1477,MANUEL S M,10,8,4,2,1,,,,4,29,
,,COSM,21,1478,MOISAN A V,7,12,4,,1,,,,2,26,
,,,,1479,MOISAN A V,11,4,,1,,,,,11,27,
,,COSM,24,1480,WILLIAMS DONNIE,4,8,4,1,2,2,,,3,24,
,,,,1481,WILLIAMS DONNIE,8,4,2,,2,,,,2,18,
,,COSM,26,1482,FIGUEROA I M,3,11,7,2,2,,,,7,32,
,,,,1483,FIGUEROA I M,2,14,4,1,,,,,11,32,
,,COSM,28,1484,LEDONNE H,6,10,5,1,4,,,,2,28,
,,,,1485,LEDONNE H,9,17,7,,5,,,,1,39,
,,COSM,28,1486,LIM J Y,11,12,2,,,,,,,25,
,,,,1487,LIM J Y,19,8,3,,,,,,,30,
,,COSM,29,1488,PERRET D M,,,,,,,10,29,1,40,
,,,,1489,PERRET D M,,,,,,,3,31,9,43,
,,COSM,30,1490,IJAMES S V,17,5,2,2,1,,,,8,35,
,,,,1491,IJAMES S V,15,18,1,,4,,,,5,43,
,,COSM,31,1492,ROGERS JR J,13,7,5,,2,,,,3,30,
,,,,1493,ROGERS JR J,9,7,2,,1,,,,8,27,
,,COSM,31,1494,ASSADI J,10,12,3,,1,,,,3,29,
,,,,1495,ASSADI J,10,9,1,1,,,,,7,28,
,,COSM,31,1496,ASSADI J,6,7,4,1,,,,,5,23,
,,,,1497,ASSADI J,2,12,12,,,,,,2,28,
,,COSM,36,1498,FIGUEROA I M,1,5,2,1,1,1,,,6,17,
,,,,1499,FIGUEROA I M,4,7,7,2,1,,,,8,29,
,,COSM,38,1500,LIM J Y,10,5,6,1,,,,,,22,
,,,,1501,LIM J Y,14,9,4,1,,,,,3,31,
,,COSM,39,1502,YOUNG C P,,,,,,,8,17,1,26,
,,,,1503,KEPLER J M,,,,,,,12,19,5,36,
,,COSM,40,1504,DICAMILLO N,9,8,4,,1,,,,2,24,
,,,,1505,DICAMILLO N,14,3,2,,,,,,5,24,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 15 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Cosmetology,COSM,COSM,41,1506,PERRET D M,8,5,1,1,1,,,,2,18,
,,,,1507,PERRET D M,7,4,8,1,3,,,,3,26,
,,COSM,42,1508,ROGERS JR J,11,9,1,,4,,,,2,27,
,,,,1509,ROGERS JR J,5,12,3,,1,,,,5,26,
,,COSM,48,1510,KEPLER J M,5,6,1,2,,,,,12,26,
,,,,1511,KEPLER J M,17,4,2,2,1,,,,3,29,
,,COSM,48,1512,LEDONNE H,7,7,1,,1,,,,11,27,
,,,,1513,LEDONNE H,6,20,3,1,4,,,,1,35,
,,COSM,49,1514,HARRISON H L,,,,,,,1,23,3,27,
,,,,1515,HARRISON H L,,,,,,,8,19,2,29,
,,COSM,50,1516,MOISAN A V,10,6,,,2,,,,5,23,
,,,,1517,MOISAN A V,5,6,,,3,,,,4,18,
,,COSM,50,1518,CEBALLOS B A,8,9,,,,,,,8,25,
,,,,1519,CEBALLOS B A,8,6,,,5,,,,9,28,
,,COSM,50,1520,DICAMILLO N,2,10,,,3,,,,1,16,
,,,,1521,DICAMILLO N,2,5,,,6,,,,4,17,
,,COSM,59,1522,ROGERS JR J,,,,,,,,4,2,6,
,,,,1523,ROGERS JR J,,,,,,,2,5,3,10,
,,COSM,64,1524,LEDONNE H,7,13,6,1,4,,,,3,34,
,,,,1525,LEDONNE H,3,15,6,2,6,,,,10,42,
,,COSM,71,1526,DICAMILLO N,9,1,,,3,,,,1,14,
,,COSM,72,3220,DICAMILLO N,,,,,,,,,1,1,
,,COSM,75,1528,LEDONNE H,,,,,,,,8,,8,
,,,,1529,LEDONNE H,,,,,,,2,,1,3,
,,COSM,75,1530,LEDONNE H,,,,,,,1,4,1,6,
,,,,1531,LEDONNE H,,,,,,,,8,1,9,
,,COSM,75,1532,LEDONNE H,,,,,,,1,2,,3,
,,COSM,75,1533,LEDONNE H,,,,,,,,5,,5,
,,COSM,88,1534,LEDONNE H,,,,,,,,3,,3,
,,,,1535,LEDONNE H,,,,,,,,,1,1,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 16 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Counseling,COUNS,COUNS,1,1536,NUNEZ-MASON R E,,,,,,,11,15,20,46,
,,,,1537,CARRILLO-SARR S,,,,,,,19,21,12,52,
,,COUNS,1,1538,SUEKAWA L,,,,,,,6,31,1,38,
,,,,1539,DAHAN M,,,,1,,,4,29,5,39,
,,,,1540,HERNANDEZ MA,,,,1,,,4,34,1,40,
,,,,1541,THOMPSON C,,,,,,,9,31,2,42,
,,,,1542,OCAMPO A C,,,,,,,7,36,2,45,
,,,,1543,FINCH L A,,,,,,,2,32,4,38,
,,,,1544,NGOV S R,,,,1,,,2,35,,38,
,,,,1545,NUNAG A N,,,,,,,7,34,1,42,
,,,,1546,MIRANDA M L,,,,,,,3,32,11,46,
,,,,1547,TRUONG L,,,,,,,14,21,,35,
,,,,1548,THOMPSON C,,,,,,,5,33,,38,
,,,,3169,ADKINS L B,,,,,,,7,21,1,29,
,,,,3170,ADKINS L B,,,,,,,5,23,,28,
,,COUNS,1,1549,COHN-SCHNEIDER R,14,7,1,4,1,4,,1,6,38,
,,,,1550,BACCUS C C,14,3,8,2,1,,,,2,30,
,,,,1551,COHN-SCHNEIDER R,23,4,1,,2,,,,3,33,
,,,,1552,GAUSMAN J M,24,5,,,2,,,,5,36,
,,,,1553,GAUSMAN J M,16,4,2,,7,,,,6,35,
,,,,3172,GAUSMAN J M,12,4,,,,,,,,16,
,,,,3175,BACCUS C C,9,4,2,,1,,,,3,19,
,,,,3176,DAVY K L,5,4,,,9,,,,8,26,
,,,,4097,MANESS J I,23,1,,,4,,,,2,30,
,,,,4098,MANESS J I,16,1,2,,3,,,,11,33,
,,COUNS,1,1557,NELLA M C,9,3,2,3,4,,1,,16,38,
,,,,3158,NELLA M C,8,7,,,,,,,5,20,
,,COUNS,2,1558,STEWART S,15,7,1,1,1,1,,,,26,
,,,,1559,GALINDO O A,15,2,4,2,8,,1,,10,42,
,,,,1560,GALINDO O A,14,8,4,2,4,,,,7,39,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 17 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Counseling,COUNS,COUNS,2,1561,MCCOOL N A,8,4,2,2,5,,,,8,29,
,,,,1562,FOX M P,12,6,6,5,6,,,,1,36,
,,,,1563,LEWIS M L,8,5,3,4,6,,,,14,40,
,,,,1564,BARAJAS B,21,6,3,2,11,2,,1,4,50,
,,,,1565,CARRILLO-SARR S,9,5,5,3,8,,,,6,36,
,,,,1566,GALINDO O A,15,6,1,,10,,,,8,40,
,,,,1567,COOPER D J,15,9,3,2,3,,,,6,38,
,,,,1568,ROBINSON T R,9,10,8,2,10,,,,6,45,
,,,,1569,AKINS RAVELING D,1,4,7,6,18,,,,8,44,
,,,,1570,GALINDO O A,19,5,3,,6,,,,6,39,
,,,,1571,ZUNIGA D,11,8,4,3,5,,,,9,40,
,,,,1572,TREJO A D,10,10,10,,3,,,,5,38,
,,,,1573,COOPER D J,18,3,1,5,3,,,,5,35,
,,,,1574,LEWIS M L,5,8,3,2,7,,,,8,33,
,,,,1575,DAHLENBURG T,14,5,7,2,7,,,,4,39,
,,,,1576,HACKETT C D,10,4,15,3,5,1,,,8,46,
,,,,1577,HANSON N J,18,6,4,3,3,,,,3,37,
,,,,1578,VALENTINE D,14,8,5,,1,,,,9,37,
,,,,1579,MAIORANO S M,16,3,5,,2,,,,8,34,
,,,,1580,DOWD T Y,3,3,6,5,7,,,,7,31,
,,,,1581,TILLEY ROSILYNN E,5,5,6,3,5,,,,8,32,
,,,,1583,HALL T T,10,6,4,1,5,,,,3,29,
,,,,1584,SEIDEN J,18,3,4,2,6,,,,,33,
,,,,1585,HALL T T,12,2,3,1,4,,,,8,30,
,,,,1586,SEIDEN J,12,2,3,2,6,,,,4,29,
,,,,1587,NAKAO P O,10,4,3,,2,,,,9,28,
,,,,1588,SEIDEN J,14,7,,,4,,,,7,32,
,,,,1589,NAKAO P O,12,6,2,,3,,,,6,29,
,,,,4099,SIMMONS B,11,10,3,1,1,4,,,9,39,
,,,,4492,MARTIN-TUNGPALA N K,3,7,2,4,10,,,,3,29,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 18 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Counseling,COUNS,COUNS,8,1610,SEIDEN J,1,,,,,,,,,1,
,,,,3168,CUTLER E J,,,,,,1,,,,1,
,,COUNS,8,1612,SEIDEN J,1,,,,,,,,,1,
,,COUNS,8,1613,HANSON N J,2,,,,,,,,,2,
,,,,1615,SEIDEN J,7,,,1,,,,,,8,
,,COUNS,9,1616,ROTHMAN V J,,,,,,,1,18,2,21,
,,COUNS,9,1617,ROTHMAN V J,,,,,,,1,23,,24,
,,COUNS,9,1618,ROTHMAN V J,,,,,,,5,11,,16,
,,COUNS,9,1619,ROTHMAN V J,,,,,,,6,5,,11,
CSIS,ACCTG,ACCTG,35,1046,VALDIVIA O,12,4,,,1,,,,2,19,
,,,,1047,ZIMMERMAN W L,13,7,,,4,,,,2,26,
,,,,1048,ZIMMERMAN W L,10,6,2,,2,,1,,3,24,
,CIS,CIS,1,1368,RAHNI M,8,11,7,1,2,,,,3,32,
,,,,1369,RAHNI M,3,17,7,,,,,,7,34,
,,,,1370,SCOTT JACQUELINE D,10,6,2,2,11,,,1,5,37,
,,,,1371,SCOTT JACQUELINE D,10,8,6,1,8,,,,2,35,
,,,,1372,HURLEY D P,3,6,3,,2,,,,13,27,
,,,,1373,HAMMOND C M,9,1,4,1,2,,,1,5,23,
,,,,1374,HAMMOND C M,12,3,2,,4,,,1,3,25,
,,,,1375,HURLEY D P,8,7,3,1,,,1,,4,24,
,,,,1376,HURLEY D P,2,9,5,,5,,,,4,25,
,,,,1377,RAHNI M,9,5,2,2,3,,,1,6,28,
,,,,4084,KURTZ K A,8,8,6,1,6,,,,1,30,
,,CIS,4,1378,SCOTT JACQUELINE D,7,7,1,1,8,,1,,4,29,
,,,,1379,EL-KHOURY N R,22,4,5,1,2,,,,3,37,
,,,,1380,JERRY G S,19,6,3,2,4,,,,3,37,
,,,,1381,EL-KHOURY N R,13,9,3,1,2,,,1,5,34,
,,,,1382,EL-KHOURY N R,10,6,3,4,2,9,,,6,40,
,,,,1383,ROTHAUPT B L,22,4,,,1,,,,3,30,
,,,,1384,PAKBAZ M,8,17,4,1,2,,,1,3,36,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 19 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
CSIS,CIS,CIS,4,1385,CANADA S A,21,5,1,,,,1,2,2,32,
,,,,1386,JERRY G S,11,3,3,,1,,,,8,26,
,,,,1387,JERRY G S,16,3,2,,1,,,,3,25,
,,,,1388,ROTHAUPT B L,20,2,,,1,,,,2,25,
,,,,1389,ROTHAUPT B L,12,3,2,1,3,,,,3,24,
,,,,1390,ROTHAUPT B L,12,3,1,,3,,,,6,25,
,,,,1391,HAMMOND C M,15,4,2,,4,,,,1,26,
,,,,1392,VALDIVIA O,11,5,2,,,,,,5,23,
,,,,1393,HAMMOND C M,10,1,7,3,4,,,1,2,28,
,,,,4085,CANADA S A,18,3,5,1,1,,,,4,32,
,,,,4086,HAMMOND C M,19,2,4,,10,,1,,1,37,
,,CIS,9A,4087,KURTZ K A,2,2,3,,2,,,,,9,
,,CIS,9B,1394,DARWICHE J,2,1,,,4,,,,,7,
,,CIS,30,1395,VALDIVIA O,5,5,1,,7,,,,5,23,
,,,,1396,BOLANDHEMAT F,9,5,2,1,3,,,1,7,28,
,,CIS,32,1397,ROTHAUPT B L,10,4,1,1,2,,,,2,20,
,,CIS,35,1398,VALDIVIA O,3,2,2,,2,,,1,2,12,
,,,,1399,ZIMMERMAN W L,1,,,,2,,,,2,5,
,,,,1400,ZIMMERMAN W L,1,2,,,2,,,,1,6,
,,CIS,37A,1401,GROSS D M,14,7,2,1,1,1,,1,2,29,
,,CIS,37B,1402,GROSS D M,13,5,4,1,,,,,1,24,
,,CIS,39,1403,GROSS D M,16,7,,,1,,,,1,25,
,,CIS,50,1404,CLARK G B,12,2,2,,4,,,,4,24,
,,,,1405,BOLANDHEMAT F,17,6,3,2,2,,,,1,31,
,,CIS,51,1406,CLARK G B,11,2,2,,3,,,,4,22,
,,,,1407,DARWICHE J,12,3,1,1,8,,,1,1,27,
,,CIS,54,1408,CHABAN M,20,2,2,,3,1,,,2,30,
,,CIS,57,4089,CHABAN M,12,8,2,1,,,,,5,28,
,,CIS,59A,1409,JERRY G S,8,3,1,1,5,,,2,3,23,
,,,,1410,JERRY G S,12,7,1,,3,,,,8,31,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 20 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
CSIS,CIS,CIS,60A,1411,CLARK G B,12,2,2,,5,,,,1,22,
,,,,1412,VALDIVIA O,10,7,2,,1,,1,2,1,24,
,,,,1413,HAMMOND C M,19,1,2,,4,,,1,2,29,
,,CIS,60B,1414,VALDIVIA O,16,,,,,,,,6,22,
,,CIS,62A,1415,BOLANDHEMAT F,8,5,1,,3,,,,5,22,
,,CIS,62B,1416,BOLANDHEMAT F,7,4,1,,,,,,3,15,
,,CIS,88A,1417,BOLANDHEMAT F,9,,,,,,,,1,10,
,CS,CS,3,1620,ROGLER H L,9,5,10,7,4,,,,3,38,
,,,,1621,PAKBAZ M,8,7,9,1,5,,,,4,34,
,,,,1622,ROGLER H L,12,9,4,1,1,4,,,7,38,
,,,,1623,PAKBAZ M,5,8,7,2,7,,,,4,33,
,,,,1624,ROGLER H L,7,9,5,6,1,,,,4,32,
,,,,1625,ROGLER H L,12,10,4,3,2,,1,,6,38,
,,,,1626,HURLEY D P,14,7,7,1,1,,,,9,39,
,,,,1627,HURLEY D P,19,5,5,,4,,,,2,35,
,,,,1628,HURLEY D P,16,5,3,,4,,,,6,34,
,,,,4100,MARCHAND K A,13,17,11,,3,,,1,9,54,
,,CS,8,1629,DARWICHE J,7,2,2,1,5,,,,1,18,
,,CS,9A,4101,KURTZ K A,13,1,5,1,2,,,1,2,25,
,,CS,9B,1630,DARWICHE J,9,2,,,1,,,,1,13,
,,CS,15,1632,BROWN N W,16,2,5,,7,,,,8,38,
,,,,1633,OLSEN A B,12,2,3,3,10,,,,4,34,
,,,,4102,HURLEY D P,6,3,5,3,3,,,,15,35,
,,CS,19,1634,DARWICHE J,7,2,1,,9,,1,,6,26,
,,CS,20A,4103,STAHL H A,19,5,2,1,1,,,,7,35,
,,CS,30,3156,DARWICHE J,8,4,2,2,4,,,,6,26,
,,CS,37,1635,OLSEN A B,15,,,,1,,1,1,3,21,
,,CS,40,4104,MORGAN D B,11,8,3,,6,1,,,4,33,
,,CS,42,4105,DEHKHODA A,24,10,3,1,2,1,,,11,52,
,,CS,50,1636,DEHKHODA A,21,13,1,1,1,4,,,10,51,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 21 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
CSIS,CS,CS,50,4106,DEHKHODA A,17,14,6,2,2,,,,7,48,
,,,,4107,DEHKHODA A,10,11,5,1,2,,,,6,35,
,,CS,52,4108,BROWN N W,35,3,6,,5,,,,6,55,
,,CS,53A,4109,DEHKHODA A,19,9,,2,,,,,7,37,
,,CS,55,1637,DEHKHODA A,12,14,9,1,4,1,,,4,45,
,,CS,56,1638,DEHKHODA A,21,19,,2,1,2,,,2,47,
,,CS,60,4110,ROGLER H L,16,6,3,1,,,,,5,31,
,,CS,61,4111,ROGLER H L,10,3,1,1,3,,,1,10,29,
,,CS,70,4112,MORGAN D B,16,2,1,1,3,1,,,8,32,
,,CS,73,1639,STAHL H A,25,1,,,5,,,,5,36,
,,CS,80,1640,GEDDES JR J K,22,1,4,,6,,,,1,34,
,,,,1641,GEDDES JR J K,25,,1,,10,,,1,3,40,
,,CS,81,1642,GEDDES JR J K,34,1,,,1,,,1,1,38,
,,CS,85,1643,GEDDES JR J K,26,1,1,,4,,,,7,39,
,,CS,86,4113,GEDDES JR J K,19,1,3,2,2,,,,9,36,
,,CS,88B,1646,BOLANDHEMAT F,3,,,,,,,,,3,
,,CS,88C,1647,BOLANDHEMAT F,1,,,,,,,,,1,
,,CS,90A,1648,BOLANDHEMAT F,,,,,,,,1,,1,
,OFTECH,OFTECH,1,2776,LEIVA C Y,12,7,3,2,4,,,,1,29,
,,OFTECH,1,2777,GROSS D M,12,4,1,2,,,,,3,22,
,,,,2778,GROSS D M,10,,2,,1,1,,,2,16,
,,,,2779,GROSS D M,12,1,1,,,1,,,3,18,
,,,,2780,GROSS D M,9,1,1,,,,,,5,16,
,,,,4392,LEIVA C Y,8,2,1,,1,,,,6,18,
,,OFTECH,1,2781,GROSS D M,2,,1,1,,,,,,4,
,,,,2782,GROSS D M,,1,2,,1,,,,,4,
,,,,2783,GROSS D M,1,2,,,,,,,4,7,
,,,,2784,GROSS D M,2,,,,1,,,,,3,
,,,,4393,LEIVA C Y,,2,,,,,,,3,5,
,,OFTECH,1,2785,GROSS D M,,1,,,,,,,1,2,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 22 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
CSIS,OFTECH,OFTECH,1,2786,GROSS D M,3,,,,1,,,,1,5,
,,,,2787,GROSS D M,,1,,,1,,,,,2,
,,,,2788,GROSS D M,2,,,,,,,,1,3,
,,,,4394,LEIVA C Y,,,,,,,,,4,4,
,,OFTECH,5,2789,MANTABE P,5,10,5,,3,,,,8,31,
,,OFTECH,9,2790,GROSS D M,2,1,,,,,,,,3,
,,,,2791,GROSS D M,2,,2,,2,,,,1,7,
,,,,2792,GROSS D M,,,,,,,,,1,1,
,,,,2793,GROSS D M,,,,,,,,,1,1,
,,,,4395,LEIVA C Y,4,,,,1,,,,2,7,
,,OFTECH 2,,2794,MANTABE P,17,7,2,1,1,,,,,28,
,,OFTECH 2,,4396,LEIVA C Y,13,3,2,,2,,,,2,22,
,,OFTECH 2,,4397,WILLIAMSON TE D,14,9,4,2,1,,,,1,31,
,,OFTECH 2,,2795,WILLIAMSON TE D,25,,1,3,2,,,,2,33,
,,OFTECH 2,,2796,WILLIAMSON TE D,16,1,,4,8,,,,6,35,
,,OFTECH 2,,4398,RODRIGUEZ B S,,6,1,1,4,,,,13,25,
,,OFTECH 3,,4399,HANA B T,3,2,2,,2,,,,7,16,
Dance,DANCE,DANCE,2,1650,GONZALEZ G,28,7,2,2,7,,,,3,49,
,,,,1651,DOUGLAS JUDITH G,61,35,14,3,9,,,1,7,130,
,,,,1652,GONZALEZ G,33,6,6,1,4,,,,1,51,
,,DANCE,5,1653,DOUGLAS JUDITH G,79,26,7,3,12,,,,5,132,
,,,,1654,LEE J Y,9,12,18,17,8,,,,8,72,
,,,,1655,DOUGLAS JUDITH G,7,16,4,7,14,,,,3,51,
,,DANCE,7,1656,SCHREINER G,9,12,1,3,1,,,,7,33,
,,DANCE,1,1657,OWENS W M,19,4,1,,3,,,,2,29,
,,,,1658,OWENS W M,17,2,,1,,,,,,20,
,,DANCE,1,1659,LEITNER D,16,,,2,7,,,1,2,28,
,,,,1660,OWENS W M,12,5,3,1,2,,,1,7,31,
,,DANCE,1,1661,LETTERY J P,17,,1,2,2,2,,1,8,33,
,,DANCE,2,3166,IYENGAR M S,6,2,,,5,,,,8,21,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 23 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Dance,DANCE,DANCE,2,4114,CANELLIAS L M,9,1,1,,4,,,3,7,25,
,,DANCE,2,1663,CEBALLOS BE A,15,1,1,1,1,1,,,6,26,
,,DANCE,2,1664,RAMIREZ R V,9,2,11,1,5,,,,2,30,
,,DANCE,2,1665,RAMIREZ R V,3,1,,,1,,,,1,6,
,,DANCE,2,1666,ANDRADE A E,11,3,2,,1,,,1,6,24,
,,DANCE,2,1667,JORDAN A N,12,11,2,2,5,,,1,10,43,
,,DANCE,2,1668,YUDIN L K,23,5,1,1,7,,,,4,41,
,,,,4115,YUDIN L K,16,,2,1,2,,,,5,26,
,,DANCE,2,1669,JESSWEIN J N,13,3,3,,2,,,1,4,26,
,,DANCE,3,1670,RICHARDS C R,22,3,,,3,,,,3,31,
,,,,1671,WALKER C Y,13,4,,,2,,,1,5,25,
,,,,1672,JEAN C A,12,6,6,3,3,,,,7,37,
,,,,1673,MOLNAR CY A,15,4,3,,4,,,,7,33,
,,,,4116,JEAN C A,20,3,2,,2,,,,8,35,
,,DANCE,3,1674,RICHARDS C R,12,6,1,,2,,,,8,29,
,,,,1675,MOLNAR CY A,19,8,1,,6,,,,3,37,
,,,,1676,JEAN C A,10,1,3,,1,,,,2,17,
,,DANCE,3,1677,LEE J Y,11,4,1,3,,,,1,6,26,
,,,,4117,MOLNAR CY A,13,1,,,6,,,,5,25,
,,DANCE,3,1678,RICHARDS C R,18,2,1,,5,,,,6,32,
,,DANCE,4,1679,BENDER M M,8,2,5,,3,,,,4,22,
,,,,1680,LEITNER D,14,3,1,,4,,,1,2,25,
,,,,1681,MCDONALD K E,13,1,2,,,,,,6,22,
,,,,4118,WOLIN-TUPAS R L,12,1,3,,1,,,1,5,23,
,,DANCE,4,1682,AYBAY OWENS S,5,5,3,2,3,,,1,8,27,
,,,,1683,JORDAN A N,13,9,3,5,8,,,,6,44,
,,,,1684,JORDAN A N,5,2,1,,3,,1,,4,16,
,,DANCE,4,1685,MCDONALD K E,13,12,3,1,1,,,,3,33,
,,DANCE,4,1686,GREENE S M,7,2,3,4,3,,,,2,21,
,,DANCE,5,1687,LEE J Y,21,3,4,,,,,,5,33,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 24 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Dance,DANCE,DANCE,5,1688,LEE J Y,28,,,2,1,,,,16,47,
,,DANCE,5,4119,SUSILOWATI S,27,12,3,1,,,,,1,44,
,,DANCE,5,1689,RAMIREZ R V,44,5,,,4,,,,5,58,
,,DANCE,6,4120,WOLIN-TUPAS R L,9,1,,,,,,,2,12,
,,DANCE,6,4121,WOLIN-TUPAS R L,7,2,,,,,,,,9,
,,DANCE,8,1690,DOUGLAS JUDITH G,7,2,,,,,,,,9,
,,,,1691,LEE J Y,4,,,,,,,,,4,
,,DANCE,8,1692,DOUGLAS JUDITH G,4,3,,,,,,,,7,
,,,,1693,LEE J Y,2,,,,,,,,,2,
,,DANCE,9,1694,DOUGLAS JUDITH G,,,,,,,1,1,,2,
,,,,1695,LEE J Y,,,,,,,,1,,1,
Design Tech.,ET,ET,2,2125,KEESHEN J F,19,5,6,3,,,,,9,42,
,,,,4196,KEESHEN J F,23,3,5,5,,,,,8,44,
,,ET,11,4198,ABODE JR P J,6,2,,1,2,,,,4,15,
,,ET,13,2126,JAVELOSA D A,12,7,2,1,,,,,5,27,
,,ET,15,2127,HUSSAIN W,3,1,1,,9,,,,5,19,
,,,,2128,HUSSAIN W,5,,1,,5,,,,5,16,
