Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,1494,OGATA D K,35,10,1,,3,,3,,,1,,53
,,,1501,JAMES M L,11,10,9,,4,,,,,3,,37
,,COM ST 36,1506,BROCCARD D,5,14,6,2,7,,,,,2,,36
,,COM ST 37,1510,PICARELLI R R,8,4,2,1,7,,,,,2,,24
,,,4106,PICARELLI R R,6,6,3,1,5,,,,,8,,29
,,,1508,MENJIVAR M I,19,8,2,1,1,,,,,1,,32
,,,,,,,,,,,,,,Page 15 of 119,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,COM ST,COM ST 37,1507,SADEGHI-TABRIZI F,5,9,5,1,4,,,,,8,,32
,,,1509,SHAFFER J M,5,12,5,4,3,,1,,,3,,33
,FILM,FILM,1,3573,CRUM J,3,1,2,1,1,,,1,1,,10
,,,2386,LAFFEY S A,8,15,9,3,2,,,,,4,,41
,,,4228,BOLUS M P,17,7,4,3,2,,,,,3,,36
,,,3482,LEECH M R,16,10,6,,2,,,,,1,,35
,,,2388,HUNT S E,14,6,3,1,1,,,,,6,,31
,,,2387,FLOOD S W,33,37,10,,4,,,,,10,,94
,,,4521,EVANS J P,24,,,,1,,1,,,5,,31
,,FILM,2,2389,KANIN J D,8,18,1,2,,1,,1,9,,40
,,,2390,KANIN J D,11,20,1,2,,,,,1,3,,38
,,FILM,5,2391,KANIN J D,14,18,1,2,,1,,,3,,39
,,FILM,6,2392,HUNT S E,9,7,3,3,2,,,,7,,31
,,FILM,7,4229,CARRASCO S,12,21,3,1,,,,,2,,39
,,FILM,8,4231,KANIN J D,15,14,3,,,,,1,1,,34
,,,4230,ROSENBERG V L,7,11,1,2,3,,,,,4,,28
,,FILM,9,4232,CARRASCO S,22,,,,,,,,5,,27
,,,2393,LAFFEY S A,11,10,3,1,1,,,,,5,,31
,,FILM,11,2394,POIRIER N P,54,4,6,2,,1,,2,9,,78
,,FILM,20,2395,BIRNBAUM M J,11,7,9,1,5,,,,1,,34
,,,2396,MATTHEWS M N,11,7,4,3,1,,,,,5,,31
,,,4511,ROSENTHAL L,23,4,3,,,,,,,3,,33
,,FILM,21,4233,NOLAND G K,7,3,3,5,,,,,5,,23
,,,4234,BIRNBAUM M J,6,8,,,2,,,,,10,,26
,,,,,,,,,,,,,,Page 16 of 119,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,FILM,FILM,30,2397,DANIELS R,21,3,1,1,,,,,2,,28,
,,FILM,31,2399,BARTESAGHI S,18,9,4,,,1,,,1,,33,
,,,,2398,BARTESAGHI S,20,5,2,,,2,,,4,,33,
,,FILM,32,2400,CARRASCO S,32,,,,,,,,,,32,
,,FILM,32L,2401,CARRASCO S,31,1,,,,,,,,,32,
,,FILM,33,2402,CARRASCO S,18,2,,,,,,,3,,23,
,,FILM,33L,2403,CARRASCO S,18,1,,1,,,,,3,,23,
,,FILM,40,2404,SMITH C W,12,14,2,2,,,,,6,,36,
,,,,2405,SMITH C W,9,10,8,3,3,,,,1,,34,
,,FILM,50,2406,PLATT H H,5,4,2,1,4,1,,1,5,,23,
,,FILM,90B,2407,BARTESAGHI S,,,,,,,,5,1,,6,
,JOURN,JOURN,1,2601,RUBIN S M,7,1,3,,,,,,7,,18,
,,,,2598,STAMBLER L S,9,1,6,2,1,,,,1,,20,
,,,,2599,OBSATZ S B,20,4,,1,,,,,1,,26,
,,,,2600,RUBIN S M,3,1,2,6,,,,,4,,16,
,,JOURN,4A,4281,GIGGANS J H,2,1,3,2,4,,,,,,12,
,,JOURN,8,2602,STAMBLER L S,7,6,3,5,,,,1,2,,24,
,,,,4282,STAMBLER L S,7,1,1,,,,,,5,,14,
,,JOURN,15,4283,RUBIN S M,5,2,2,3,3,,,,4,,19,
,,JOURN,16,2603,RUBIN S M,7,9,4,1,4,,,,4,,29,
,,JOURN,17,2604,RUBIN S M,2,,,,,,,,,,2,
,,,,2605,RUBIN S M,2,,,,,,,,,,2,
,,JOURN,21,2606,BURKHART G J,1,1,,2,,,,,1,,5,
,,JOURN,22,2607,BURKHART G J,3,,,,,,,,1,,4,
,,,,,,,,,,,,,,Page 17 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,JOURN,JOURN,43,4284,ADELMAN A,4,10,,2,,,,,,,16,
,MEDIA,MEDIA,1,3554,CONLEY T,12,8,1,,,,,,1,,22,
,,,,2892,MOVIUS L,17,4,9,4,,,,,2,,36,
,,,,4361,SIMMONS R D,2,10,4,9,1,,,,5,,31,
,,,,3483,MOVIUS L,22,4,6,1,1,,,,1,,35,
,,,,2891,MOVIUS L,25,10,2,1,,,,,1,,39,
,,,,3540,SAXON L N,20,5,,,,,,,4,,29,
,,,,3542,RAZ J G,24,2,2,1,1,,,,1,,31,
,,,,3578,SIMMONS R D,3,10,6,5,1,,,,5,,30,
,,,,4520,COLEMAN D,8,8,2,4,,,,1,7,,30,
,,,,4358,OBSATZ S B,36,4,2,1,,,,,,,43,
,,,,4359,DICKINSON L M,11,6,5,2,4,,,,1,,29,
,,,,4362,SIMMONS R D,10,8,8,9,1,,1,,4,,41,
,,,,2890,BREWER S L,16,4,4,1,,,,,3,,28,
,,,,2878,RAZ J G,16,15,3,2,2,,,,2,,40,
,,,,2875,ROSENBERG V L,15,9,5,1,,,,,4,,34,
,,,,2888,CHARLES H E,7,11,7,10,1,,,,1,,37,
,,,,2887,DAVISON P R,10,12,3,2,,,,,2,,29,
,,,,2886,MATTHEWS M N,8,15,10,2,,,,,3,,38,
,,,,2885,BREWER S L,26,4,2,1,,,,,1,,34,
,,,,2884,CHICAS H K,5,14,6,3,,,,,3,,31,
,,,,2883,BREWER S L,15,6,4,2,3,,,,8,,38,
,,,,2882,MOVIUS L,11,11,6,3,,,,,3,,34,
,,,,2881,MITCHELL S V,12,14,7,7,1,,,,5,,46,
,,,,,,,,,,,,,,Page 18 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,MEDIA,MEDIA,1,2879,MOVIUS L,20,13,1,1,2,,,,1,,38,
,,,,2877,CHEN A H,8,13,6,1,3,,,,6,,37,
,,,,2876,MATTHEWS M N,12,5,12,2,,,,,5,,36,
,,,,2889,BREWER S L,23,4,,,,,,,1,,28,
,,,,2880,BREWINGTON R H,12,13,5,4,3,1,,,1,,39,
,,MEDIA,2,2893,SCHOFIELD J E,7,6,8,2,5,,,,2,,30,
,,MEDIA,3,2894,MOVIUS L,16,10,4,,1,1,,1,1,,34,
,,MEDIA,10,4364,DICKINSON L M,13,5,1,2,,,,1,7,,29,
,,,,4363,GOLDSTEIN MARTIN M,14,6,2,,4,,,,4,,30,
,,,,3567,DICKINSON L M,17,2,4,2,,,,,4,,29,
,,,,2912,PERNISCO N,19,,1,,4,,,,8,,32,
,,,,2911,PERNISCO N,22,,3,,1,,,1,8,,35,
,,,,2910,MUNOZ M E,7,6,3,2,6,,,,2,,26,
,,,,2901,HORWITZ J T,18,1,1,,,,,,,,20,
,,,,2909,MUNOZ M E,8,5,3,2,4,,,,8,,30,
,,,,4365,GOLDSTEIN MARTIN M,27,2,5,1,1,,,,1,,37,
,,,,2907,GOLDSTEIN MARTIN M,27,5,2,1,2,,,,5,,42,
,,,,2906,BREWER S L,20,6,2,1,5,,,,1,,35,
,,,,2896,GOUGIS M J,14,8,5,,,,,5,2,,34,
,,,,2903,SCHOFIELD J E,32,7,1,,2,,,,4,,46,
,,,,2895,RAZ J G,12,17,8,1,4,,,,,,42,
,,,,2897,GOUGIS M J,20,7,2,2,2,,,,2,,35,
,,,,2898,DAVISON P R,11,9,5,1,2,,,,2,,30,
,,,,2899,GOUGIS M J,16,11,4,1,,,,2,1,,35,
,,,,,,,,,,,,,,Page 19 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,MEDIA,MEDIA,10,2900,GIGGANS J H,17,11,15,1,1,,,1,2,,48,
,,,,2902,SCHOFIELD J E,15,10,7,3,7,1,,,4,,47,
,,,,2904,COLEMAN D,8,4,2,1,8,,,,1,,24,
,,,,2905,CHARLES H E,15,9,3,5,3,,,,2,,37,
,,MEDIA,11,2914,SHAW R D,5,10,6,1,,2,,,5,,29,
,,,,2915,SHAW R D,6,3,4,1,,5,,,7,,26,
,,MEDIA,12,2916,GIGGANS J H,10,3,6,,6,,,,6,,31,
,,MEDIA,13,2917,BREWINGTON R H,13,6,4,,2,,,,6,,31,
,,,,4366,BREWINGTON R H,7,3,5,2,3,4,,,6,,30,
,,MEDIA,14,4367,GIGGANS J H,5,5,2,,,,,,2,,14,
,,MEDIA,16,4368,CARLUCCI M A,9,1,1,,,,,,5,,16,
,,MEDIA,18,4369,ADELMAN A,3,10,,1,,,,,1,,15,
,,MEDIA,19,2918,SHAW R D,10,,,,,4,,,6,,20,
,,MEDIA,20,2919,SHAW R D,11,5,2,,2,2,,,7,,29,
,,,,3556,EVANS J P,11,,,,,1,,,2,,14,
,,,,3583,CAPTOR R,6,4,1,,,,,,9,,20,
,,,,4494,DE GUTTADAURO L R,13,7,3,,,,,,,,23,
,,MEDIA,46,2920,FETZER G C,13,4,3,3,1,,,,8,,32,
,,MEDIA,48,2921,SHAW R D,6,4,,,,3,,1,4,,18,
,,MEDIA,88A,2922,MUNOZ M E,2,,,,,,,,,,2,
,,MEDIA,88B,2923,MUNOZ M E,1,,,,,,,,,,1,
,,MEDIA,90B,2924,FETZER G C,,,,,,,,1,,,1,
,PHOTO,PHOTO,13,3176,BURKHART G J,8,,,,3,,,1,9,,21,
,,PHOTO,14,3177,BURKHART G J,3,,,,,,,,,,3,
,,,,,,,,,,,,,,Page 20 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,ACCTG,ACCTG,35,1055,ZIMMERMAN W L,7,3,1,1,,,,1,8,,21,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,,,3499,VALDIVIA O,8,2,1,1,,,,1,3,,16,
,,,,1053,VALDIVIA O,8,3,3,1,,,,1,1,,17,
,,,,1054,ZIMMERMAN W L,13,3,4,1,,,,,4,,25,
,CIS,CIS,1,1393,ROTHAUPT B L,9,3,2,2,,,,,1,,17,
,,,,3609,CLARK G B,7,1,,10,,,,1,11,,30,
,,,,1392,ROTHAUPT B L,15,3,2,,,,,,,,20,
,,,,1391,ROTHAUPT B L,10,5,2,1,2,,,,1,,21,
,,,,1390,ROTHAUPT B L,16,4,,1,,,,,2,,23,
,,,,1389,ROTHAUPT B L,16,7,1,2,,,,1,1,,28,
,,,,1387,MARTYN M A,22,5,2,,,,,,2,,31,
,,,,1386,SCOTT JACQUELINE D,6,,5,2,5,,,,4,,22,
,,,,1385,EL-KHOURY N R,9,8,3,3,5,,,,5,,33,
,,,,1384,SCOTT JACQUELINE D,5,2,5,1,6,,,,11,,30,
,,,,1383,RAHNI M,3,18,2,2,1,,,1,8,,35,
,,,,1382,RAHNI M,3,20,2,2,,,,,7,,34,
,,,,1388,JERRY G S,9,4,1,2,,,,,3,,19,
,,,,4088,KURTZ K A,4,6,14,2,2,,,,1,,29,
,,CIS,4,1417,CANADA S A,18,4,1,3,,,,,5,,31,
,,,,1408,JERRY G S,14,6,3,,,,,3,3,,29,
,,,,1409,JERRY G S,13,3,1,2,,,,,6,,25,
,,,,1410,GROSS D M,13,4,1,4,,,,,4,,26,
,,,,1411,GROSS D M,9,1,3,1,3,,,,3,,20,
,,,,,,,,,,,,,,Page 21 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,CIS,CIS,4,1412,GROSS D M,4,1,1,1,,,,,5,,12,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,,,1413,HAMMOND C M,2,1,4,,,,,,15,,22,
,,,,1414,HAMMOND C M,4,5,4,2,2,,,,6,,23,
,,,,1418,VAUGHAN DANIEL H,11,2,5,1,4,,1,,4,,28,
,,,,4089,CANADA S A,24,2,1,,,,,,4,,31,
,,,,1407,SIMMONDS A R,11,10,,3,,,,,3,,27,
,,,,4090,SIMMONDS A R,13,8,1,4,7,,,,5,,38,
,,,,1396,HAMMOND C M,11,3,9,4,,,,,6,,33,
,,,,3608,RAHNI M,4,3,3,2,2,,,1,6,,21,
,,,,1406,CANADA S A,18,6,5,1,3,,,,1,,34,
,,,,1395,SCOTT JACQUELINE D,5,1,5,5,,,,,4,,20,
,,,,1397,JERRY G S,21,6,,1,,,,1,4,,33,
,,,,1398,RODRIGUEZ J E,11,9,2,1,6,,,,5,,34,
,,,,1399,EL-KHOURY N R,15,7,6,3,2,,,,4,,37,
,,,,1401,ROTHAUPT B L,31,2,,,,,,,3,,36,
,,,,1402,DRAKE M G,12,3,1,2,3,,,,4,,25,
,,,,1394,DELIA R M,2,4,1,1,1,,,,7,,16,
,,,,1403,JERRY G S,24,2,2,1,,,,,6,,35,
,,,,1404,DRAKE M G,7,2,1,1,5,,,,3,,19,
,,,,1405,RODRIGUEZ J E,2,,1,1,8,,1,,5,,18,
,,,,1400,EL-KHOURY N R,17,3,6,9,,,,1,10,,46,
,,CIS,9A,1419,DARWICHE J,5,2,1,,,,,,1,,9,
,,CIS,30,1420,BOLANDHEMAT F,8,1,2,1,,,,,5,,17,
,,,,,,,,,,,,,,Page 22 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,CIS,CIS,30,1421,BOLANDHEMAT F,9,6,2,5,,,,,6,,28,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,CIS,32,1422,ROTHAUPT B L,13,1,1,1,,,,,1,,17,
,,CIS,35,1423,VALDIVIA O,3,1,2,,,,,,2,,8,
,,,,1424,ZIMMERMAN W L,1,,1,1,,,,,1,,4,
,,,,1425,ZIMMERMAN W L,1,,,1,,,,,2,,4,
,,,,3500,VALDIVIA O,2,2,1,,,,,,1,,6,
,,CIS,37A,1426,GROSS D M,19,7,1,1,,,,,1,,29,
,,CIS,37B,1427,GROSS D M,13,6,4,1,2,,,,2,,28,
,,CIS,40,1428,VALDIVIA O,5,5,3,1,,,,,8,,22,
,,CIS,50,1429,CLARK G B,6,2,1,6,,,,,3,,18,
,,,,1430,BOLANDHEMAT F,5,6,4,,,,,1,6,,22,
,,,,1431,MONTGOMERY M H,4,3,1,2,,,,1,7,,18,
,,CIS,51,1432,CLARK G B,7,2,2,4,,,,,9,,24,
,,,,1433,DARWICHE J,4,3,2,,,,,1,1,,11,
,,CIS,54,1435,CHABAN M,6,3,1,1,5,,,,4,,20,
,,CIS,55,1436,CHABAN M,5,6,4,1,2,,,,3,,21,
,,CIS,59A,1437,VAUGHAN DANIEL H,7,9,2,,,,1,,6,,25,
,,CIS,59B,1438,ST AMANT K,5,1,2,1,,1,,,6,,16,
,,CIS,60A,1439,HAMMOND C M,9,4,4,,,,,,5,,22,
,,,,1440,HAMMOND C M,18,3,2,1,,,1,,4,,29,
,,CIS,64,1441,VALDIVIA O,6,5,4,2,,,,1,1,,19,
,,CIS,67,1442,ST AMANT K,10,5,1,2,,1,2,,10,,31,
,,CIS,70,1443,ST AMANT K,8,6,1,1,,,,,8,,24,
,,,,,,,,,,,,,,Page 23 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,CS,CS,3,1704,HURLEY D P,18,8,,1,,,,1,8,,36,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,,,1696,ROGLER H L,1,7,9,7,6,,,,5,,35,
,,,,3570,MARCHAND K A,9,3,5,2,1,,,,5,,25,
,,,,4123,MARCHAND K A,22,7,5,2,3,,,,2,,41,
,,,,3541,MARCHAND K A,19,8,5,1,,,,,2,,35,
,,,,3538,MORGAN D B,11,4,2,1,,,,,3,,21,
,,,,3536,FARRE-TORRENTS R,3,5,2,2,3,,,,2,,17,
,,,,1702,HURLEY D P,18,9,1,,,,,1,8,,37,
,,,,1701,HURLEY D P,17,2,2,1,,,,,7,,29,
,,,,1700,ROGLER H L,5,11,4,3,2,,,,8,,33,
,,,,1699,HURLEY D P,18,13,5,5,1,,,,6,,48,
,,,,1697,ROGLER H L,5,7,14,4,2,,,,7,,39,
,,,,1698,ROGLER H L,11,9,5,3,1,,,,10,,39,
,,,,1703,HURLEY D P,17,4,1,,,,,,8,,30,
,,CS,8,1705,DARWICHE J,5,3,2,1,3,,,,2,,16,
,,CS,9A,1706,DARWICHE J,3,6,,1,,,,,3,,13,
,,CS,15,1709,DARWICHE J,9,3,1,2,,,,,6,,21,
,,,,4124,ROBERTSON SC E,5,4,9,,,,,,17,,35,
,,,,1708,DARWICHE J,9,5,3,2,,,,,10,,29,
,,CS,17,1710,STAHL H A,18,5,4,1,4,,,,7,,39,
,,CS,19,1711,DARWICHE J,4,1,2,2,,,,,5,,14,
,,CS,20A,4125,JUPE E,8,8,5,1,,,,,2,,24,
,,CS,20B,4126,JUPE E,9,13,7,3,1,,,,5,,38,
,,,,,,,,,,,,,,Page 24 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,CS,CS,30,1712,DARWICHE J,16,7,2,3,,,,,3,,31,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,CS,32,3606,ROBERTSON SC E,5,1,,,,,,,5,,11,
,,CS,41,4128,MORGAN D B,6,1,,2,,,,,2,,11,
,,CS,42,4129,KURTZ K A,14,10,2,1,3,1,,,9,,40,
,,CS,50,1713,DEHKHODA A,21,9,3,2,10,,,,8,,53,
,,,,1714,HURLEY D P,16,14,3,,,,,,6,,39,
,,,,4130,DEHKHODA A,14,15,9,2,3,,,,8,,51,
,,,,4131,DEHKHODA A,12,15,9,5,3,,1,,6,,51,
,,CS,52,1715,STAHL H A,13,13,5,1,4,,,,4,,40,
,,,,1716,ROBERTSON SC E,13,6,4,2,,,,,10,,35,
,,,,4132,STAHL H A,22,8,2,1,2,,,,6,,41,
,,CS,53A,4133,DEHKHODA A,13,7,1,1,,,,,4,,26,
,,CS,55,1717,DEHKHODA A,7,21,8,4,,,,,5,,45,
,,,,4134,DEHKHODA A,14,11,6,2,2,,,,12,,47,
,,CS,56,1718,DEHKHODA A,28,7,3,2,,,,,8,,48,
,,CS,60,4135,ROGLER H L,11,6,5,3,4,,,,11,,40,
,,CS,65,4136,ROGLER H L,6,3,2,2,2,,,,3,,18,
,,CS,70,4137,MORGAN D B,6,11,2,4,,,,,3,,26,
,,CS,73,1719,HURLEY D P,3,5,5,3,2,,,,5,,23,
,,CS,80,1720,GEDDES JR J K,15,2,3,,,,,,4,,24,
,,,,1721,GEDDES JR J K,20,4,1,2,,,,,2,,29,
,,,,1722,GEDDES JR J K,19,6,2,,,,,,3,,30,
,,CS,81,1723,GEDDES JR J K,25,1,1,5,,,,,6,,38,
,,,,,,,,,,,,,,Page 25 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,CS,CS,81,3460,GEDDES JR J K,18,1,,3,,,,,4,,26,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,CS,83R,1724,STAHL H A,10,1,2,3,,,,,4,,20,
,,CS,85,1725,SENO V T,8,4,2,2,3,,1,,8,,28,
,,CS,88A,1726,BOLANDHEMAT F,1,,,,,,,,,,1,
,,CS,88B,1727,BOLANDHEMAT F,1,,,,,,,,,,1,
,OFTECH,OFTECH,1,3103,LEIVA C Y,5,2,5,1,4,,,1,6,,24,
,,OFTECH,1A,3105,GROSS D M,11,1,1,3,,1,,,1,,18,
,,,,3106,GROSS D M,7,2,1,2,,,,1,2,,15,
,,,,4396,LEIVA C Y,6,2,1,1,3,,,,4,,17,
,,,,3104,SIMMONDS A R,7,2,2,,,,,,4,,15,
,,OFTECH,1B,3107,SIMMONDS A R,5,1,,,,,,,,,6,
,,,,3108,GROSS D M,,1,,,,,,,4,,5,
,,,,3109,GROSS D M,3,,,2,,,,,,,5,
,,,,4397,LEIVA C Y,1,,,1,,,,,2,,4,
,,OFTECH,1C,4398,LEIVA C Y,,2,,,,,,,1,,3,
,,,,3112,GROSS D M,,,,,,,,,2,,2,
,,,,3111,GROSS D M,2,,,,,,,,,,2,
,,,,3110,SIMMONDS A R,1,1,,,,,,,1,,3,
,,OFTECH,5,3113,MANTABE P,10,4,7,5,,,,,5,,31,
,,OFTECH,9,3114,SIMMONDS A R,1,2,,,,,,,,,3,
,,,,3115,GROSS D M,1,,,,,,,,,,1,
,,,,3116,GROSS D M,2,,,1,,,,1,,,4,
,,,,4399,LEIVA C Y,4,,,1,,,,,2,,7,
,,,,,,,,,,,,,,Page 26 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Computer,OFTECH,OFTECH 10,,3117,LEIVA C Y,11,2,4,3,3,,,,1,,24,
Science and,,,,,,,,,,,,,,,,,
Information,,,,,,,,,,,,,,,,,
Systems,,,,,,,,,,,,,,,,,
,,OFTECH 20,,3118,MANTABE P,11,5,2,2,2,,,1,3,,26,
,,OFTECH 23,,3119,WILLIAMSON TE D,13,1,1,1,,,,,3,,19,
,,OFTECH 24,,3120,WILLIAMSON TE D,15,6,2,2,1,,,,,,26,
,,OFTECH 30,,3122,HANA B T,1,3,1,,2,,,,6,,13,
Cosmetology,COSM,COSM,10A,1512,VAUGHN C L,2,7,4,1,2,,,,7,,23,
,,,,3506,DICAMILLO N,28,,2,,,,,,1,,31,
,,,,3614,FELIX F,16,3,1,3,1,,,,8,,32,
,,,,1511,VAUGHN C L,9,6,5,2,,,,,7,,29,
,,COSM,10B,1513,VAUGHN C L,6,5,3,5,6,,,,4,,29,
,,,,1514,VAUGHN C L,6,4,6,3,1,,,,17,,37,
,,,,3507,IJAMES S V,9,8,4,,1,,,,3,,25,
,,COSM,11A,3508,ROGERS JR J,15,3,2,,,,,,7,,27,
,,,,1515,LEDONNE H,4,4,7,1,3,,,,7,,26,
,,,,1516,LEDONNE H,,8,6,,4,,,,10,,28,
,,COSM,11B,3509,IJAMES S V,11,4,,,1,,,,12,,28,
,,,,1518,PERRET D M,4,5,7,2,5,,,,10,,33,
,,,,1517,PERRET D M,5,6,5,2,3,,,,5,,26,
,,COSM,11C,1519,ASSADI J,7,7,6,,4,,,,3,,27,
,,,,1520,ASSADI J,4,3,8,,5,,,,5,,25,
,,COSM,11D,1521,MOISAN A V,26,,,,,,,,1,,27,
,,,,1522,MOISAN A V,16,,,,,,,,14,,30,
,,COSM,11E,1523,YOUNG C P,6,11,,,4,,,,3,,24,
,,,,,,,,,,,,,,Page 27 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Cosmetology,COSM,COSM,11E,1524,YOUNG C P,3,4,2,2,,,,,15,,26,
,,COSM,16,1526,ESTRADA FIGUERO I M,3,9,2,3,,,,,6,,23,
,,,,1525,ESTRADA FIGUERO I M,11,3,1,3,,,,,12,,30,
,,COSM,18,3613,NUNLEY R M,15,5,,1,,,,,1,,22,
,,,,3529,CEBALLOS B A,11,2,3,1,,,,,3,,20,
,,,,1527,LIM J Y,15,2,3,,,,,,8,,28,
,,,,1528,LIM J Y,8,6,3,1,,,,,7,,25,
,,COSM,20,1529,ESTRADA FIGUERO I M,14,6,1,3,,,,,7,,31,
,,,,1530,IJAMES S V,11,7,1,2,,,,,6,,27,
,,,,3557,CEBALLOS B A,16,2,,1,,,,,9,,28,
,,COSM,21A,1531,MOISAN A V,17,,,,,,,,,,17,
,,,,1532,MOISAN A V,16,,,1,,,,,8,,25,
,,COSM,21B,1534,ESTRADA FIGUERO I M,10,2,,1,,,,,6,,19,
,,,,1533,MYERS A M,8,5,6,2,,,,,2,,23,
,,COSM,21C,1536,PERRET D M,5,6,3,4,,,,,4,,22,
,,,,1535,PERRET D M,6,9,3,1,,,,,1,,20,
,,COSM,21D,1537,CEBALLOS B A,9,3,,1,,,,,,,13,
,,,,1538,MYERS A M,8,4,6,1,,,,,5,,24,
,,COSM,21E,1539,YOUNG C P,4,4,4,1,,,,,2,,15,
,,,,1540,YOUNG C P,5,5,5,1,1,,,,3,,20,
,,COSM,26,1541,MANUEL S M,8,7,2,1,,,,,7,,25,
,,,,1542,NUNLEY R M,3,5,2,1,1,,,,4,,16,
,,COSM,28A,1543,LEDONNE H,3,16,7,1,,,,,2,,29,
,,,,,,,,,,,,,,Page 28 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Cosmetology,COSM,COSM,28A,1544,LEDONNE H,7,11,7,1,,,,,4,,30,
,,COSM,28B,1545,LIM J Y,12,8,1,1,,,,,3,,25,
,,,,1546,LIM J Y,13,5,1,,,,,,5,,24,
,,COSM,30,1548,IJAMES S V,10,6,2,1,5,,,,8,,32,
,,,,3559,CEBALLOS B A,8,,,,,,,,3,,11,
,,,,1547,IJAMES S V,5,17,5,3,,,,,4,,34,
,,COSM,31A,1549,ROGERS JR J,14,9,,1,,,,,2,,26,
,,COSM,31B,1551,ASSADI J,6,10,2,1,1,,,,1,,21,
,,COSM,31C,1552,ASSADI J,7,9,3,1,1,,,,2,,23,
,,COSM,31E,1553,FELIX F,17,3,,,,,,,7,,27,
,,COSM,36,1554,ESTRADA FIGUERO I M,7,7,4,2,2,,,,3,,25,
,,,,1555,ESTRADA FIGUERO I M,5,8,3,1,,,,,11,,28,
,,COSM,38,1556,LIM J Y,10,9,3,,,,,,1,,23,
,,,,1557,LIM J Y,5,13,3,1,,,,,6,,28,
,,COSM,40,1558,DICAMILLO N,17,7,,2,,,,,2,,28,
,,COSM,42,1560,ROGERS JR J,20,12,2,1,,,,,7,,42,
,,COSM,46,1561,FELIX F,17,1,2,2,,,,,3,,25,
,,COSM,48,1562,KEPLER J M,5,2,,1,,,,,2,,10,
,,,,1563,KEPLER J M,7,9,3,1,,,,,4,,24,
,,COSM,48B,1564,LEDONNE H,7,9,2,1,,,,,1,,20,
,,,,1565,LEDONNE H,9,11,1,2,,,,,2,,25,
,,COSM,50A,1567,MOISAN A V,7,6,,2,,,,,1,,16,
,,COSM,50B,1568,CEBALLOS B A,6,4,3,1,,,,,7,,21,
,,COSM,50C,3505,DICAMILLO N,8,9,,5,,,,,4,,26,
,,,,,,,,,,,,,,Page 29 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Cosmetology,COSM,COSM,64,1572,LEDONNE H,9,8,4,1,1,,,,11,,34,
,,,,1571,LEDONNE H,5,12,5,4,2,,,,8,,36,
,,COSM,95A,1575,PERRET D M,,,,,,,6,33,8,,47,
,,COSM,95B,1576,ROGERS JR J,,,,,,,8,28,5,,41,
,,COSM,95C,1577,LEDONNE H,,,,,,,,27,2,,29,
,,COSM,95D,1578,MOISAN A V,,,,,,,,21,2,,23,
Counseling,COUNS,COUNS,1,1579,FINLEY S F,,,,,,,5,18,1,,24,
,,,,1580,QUINTANILLA J V,,,,,,,8,28,20,,56,
