Santa Monica College - Grade Distribution Fall 2012,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,,,2729,MUNOZ M E,20,11,6,,,,,,1,4,42,
,,,,2730,MITCHELL S V,18,6,4,,1,,,,,2,31,
,,,,2731,COLEMAN D,17,11,3,,,,,,,3,34,
,,,,2732,MITCHELL S V,13,7,6,1,3,,,,,1,31,
,,,,2733,BREWER S L,15,7,5,4,2,,,,,2,35,
,,,,2734,MUNOZ M E,12,18,3,3,,,1,,,2,39,
,,,,2735,BREWER S L,17,8,4,,2,,,,,4,35,
,,,,2736,MUNOZ M E,20,10,1,1,1,,,,,1,34,
,,,,2737,CARLUCCI M A,14,5,6,1,8,,,,,3,37,
,,,,2738,BREWER S L,20,6,2,,1,,,,,1,30,
,,,,2739,BREWER S L,19,6,4,,2,,,,,3,34,
,,,,4354,CARLUCCI M A,16,13,4,4,5,,,,,2,44,
,,,,4355,SIMMONS R D,5,9,10,9,,,,,1,3,37,
,,,,4356,SIMMONS R D,6,10,7,5,,,,,,8,36,
,,MEDIA,2,2740,DAWSON F R,16,6,3,2,,,1,,,3,31,
,,MEDIA,10,2741,COLEMAN D,15,7,5,2,4,,,,,3,36,
,,,,2742,GOUGIS M J,27,4,,2,,,,,1,3,37,
,,,,2743,GOUGIS M J,17,9,,2,6,,,,,1,35,
,,,,2744,CHARLES H E,14,19,5,5,,,,,1,1,45,
,,,,2745,HORWITZ J T,14,12,5,,3,,,,,6,40,
,,,,2746,GIGGANS J H,24,13,2,1,3,,,,2,5,50,
,,,,2747,HORWITZ J T,17,2,,,,,,,,1,20,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 12 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,MEDIA,MEDIA,10,2748,SCHOFIELD J E,26,4,4,1,,,,,,2,37,
,,,,2749,SCHOFIELD J E,23,8,5,2,7,,,,1,5,51,
,,,,2750,GOUGIS M J,22,6,1,2,3,,,,,1,35,
,,,,2751,OBSATZ S B,34,3,,,3,,,,,2,42,
,,,,2752,BREWER S L,12,8,1,1,2,,,,,2,26,
,,,,2753,GOLDSTEIN MARTIN M,36,2,,,,,1,,,1,40,
,,,,2754,CHARLES H E,18,12,3,3,1,,,,,5,42,
,,,,2755,SCHOFIELD J E,24,13,3,2,1,,,,,,43,
,,,,2756,MUNOZ M E,14,3,6,1,5,,,,,8,37,
,,,,2757,MUNOZ M E,7,7,1,2,3,,,,,16,36,
,,,,2758,PERNISCO N,17,2,6,,2,,,,,4,31,
,,,,4357,GOLDSTEIN MARTIN M,25,5,,,2,,,,,,32,
,,,,4358,GOLDSTEIN MARTIN M,30,8,2,,1,,,,,,41,
,,,,4359,MARTINEZ L C,31,1,,,4,,,,,3,39,
,,MEDIA,11,2759,DAWSON F R,12,14,6,2,1,,,,,3,38,
,,,,2760,SHAW R D,10,4,7,,4,,,,,8,33,
,,MEDIA,12,2761,GIGGANS J H,9,14,8,3,2,,,,,1,37,
,,MEDIA,13,2762,BREWINGTON R H,19,7,2,,1,,,,,4,33,
,,,,4360,BREWINGTON R H,18,5,3,,4,,2,,,5,37,
,,MEDIA,14,4361,GIGGANS J H,6,6,2,,1,,,,,2,17,
,,MEDIA,16,4362,CARLUCCI M A,13,4,,2,3,,,,,6,28,
,,MEDIA,18,4363,ADELMAN A,5,9,1,,,,,,,,15,
,,MEDIA,19,2763,BEATON J L,11,4,2,1,4,,,,,11,33,
,,MEDIA,20,2764,CAPTOR R,10,3,5,1,3,,1,,1,5,29,
,,MEDIA,46,2765,FETZER G C,20,5,3,1,5,,,,,2,36,
,,MEDIA,48,2766,SMITH J C,8,6,2,,,,,,,8,24,
,,MEDIA,88,3364,GRASS HEMMERT N L,4,,,,,,,,,,4,
,,MEDIA,88,3365,GRASS HEMMERT N L,1,,,,,,,,,,1,
,,MEDIA,90,2767,RIGGS L E,,,,,,,,,3,1,4,
,PHOTO,PHOTO,1,2996,BURKHART G J,4,3,3,,1,,,,,6,17,
,,PHOTO,1,2997,BURKHART G J,5,,1,1,1,,,,,1,9,
Cosmetology,COSM,COSM,10,1469,VAUGHN C L,10,3,12,1,,,,,,9,35,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 13 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,10,1470,VAUGHN C L,17,6,8,,1,,,,,9,41,
,,COSM,11,1471,LEDONNE H,,9,12,3,5,,,,,3,32,
,,,,1472,LEDONNE H,,7,10,4,,,,,,9,30,
,,COSM,11,1473,PERRET D M,6,6,5,1,6,,,,,2,26,
,,,,1474,PERRET D M,2,8,6,2,3,,,,,9,30,
,,COSM,11,1475,ASSADI J,1,7,12,7,,,,,,5,32,
,,,,1476,ASSADI J,8,5,8,4,1,,,,,9,35,
,,COSM,11,1477,MOISAN A V,15,5,3,1,,,,,,11,35,
,,,,1478,MOISAN A V,10,6,,,,,,,,13,29,
,,COSM,14,1479,WILLIAMS DONNIE,3,10,6,1,1,,,,,8,29,
,,,,1480,WILLIAMS DONNIE,5,4,4,,5,,,,,16,34,
,,COSM,14,1481,MYERS A M,17,7,5,,6,,,,,2,37,
,,,,1482,MYERS A M,5,4,1,,10,,,,,8,28,
,,COSM,16,1483,MOISAN A V,14,8,2,1,3,,,,,1,29,
,,,,1484,MOISAN A V,11,6,5,2,1,,,,,6,31,
,,COSM,18,1485,PERRET D M,10,6,3,1,1,,,,,,21,
,,,,1486,PERRET D M,2,8,2,,2,,,,,10,24,
,,,,1487,LIM J Y,10,4,7,,,,,,,3,24,
,,,,1488,LIM J Y,14,3,1,,,,,,,4,22,
,,COSM,20,1489,IJAMES S V,24,7,3,,1,,,,,2,37,
,,,,1490,IJAMES S V,30,5,1,,1,,,,,8,45,
,,COSM,21,1491,MOISAN A V,18,2,,,,,,,,1,21,
,,,,1492,MOISAN A V,14,12,,,,,,,,7,33,
,,COSM,21,1493,FELIX F,14,5,7,,1,,,,,3,30,
,,,,1494,FELIX F,17,1,1,,1,,,,,15,35,
,,COSM,21,1495,MANUEL S M,12,9,1,,3,,,,,3,28,
,,,,1496,MANUEL S M,4,6,3,,2,,,,,14,29,
,,COSM,21,1497,MOISAN A V,15,7,1,2,2,,,,,7,34,
,,,,1498,MOISAN A V,9,1,,,3,,,,,13,26,
,,COSM,24,1499,WILLIAMS DONNIE,10,6,1,3,3,,,,,4,27,
,,,,1500,WILLIAMS DONNIE,7,8,2,,1,,,,,12,30,
,,COSM,26,1501,FIGUEROA I M,5,15,7,3,,,,,,7,37,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 14 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,26,1502,FIGUEROA I M,4,6,3,4,,,,,,8,25,
,,COSM,28,1503,LEDONNE H,6,17,8,2,,,,,,4,37,
,,,,1504,LEDONNE H,8,18,3,3,,,,,,4,36,
,,COSM,28,1505,LIM J Y,22,3,4,,,,,,,1,30,
,,,,1506,LIM J Y,18,8,3,,,,,,,2,31,
,,COSM,29,1507,FELIX F,,,,,,,,6,36,3,45,
,,,,1508,PERRET D M,,,,,,,,8,27,9,44,
,,COSM,30,1509,IJAMES S V,28,7,2,,,,,,,1,38,
,,,,1510,IJAMES S V,12,7,3,,4,,,,,10,36,
,,COSM,31,1511,ROGERS JR J,6,7,1,,2,,,,,3,19,
,,,,1512,ROGERS JR J,8,4,,,2,,,,,5,19,
,,COSM,31,1513,PERRET D M,7,6,11,,,,,,,3,27,
,,,,1514,PERRET D M,5,9,2,1,1,,,,,3,21,
,,COSM,31,1515,ASSADI J,13,4,,,1,,,,,2,20,
,,,,1516,ASSADI J,17,,,1,1,,,,,4,23,
,,COSM,36,1517,FIGUEROA I M,5,10,2,1,1,,,,,5,24,
,,,,1518,FIGUEROA I M,5,10,6,2,,,,,,9,32,
,,COSM,38,1519,LIM J Y,19,8,3,,,,,,,,30,
,,,,1520,LIM J Y,16,10,2,,,,,,,1,29,
,,COSM,39,1521,KEPLER J M,,,,,,,,5,28,,33,
,,,,1522,KEPLER J M,,,,,,,,16,22,3,41,
,,COSM,40,1523,DICAMILLO N,10,6,3,1,3,,,,,2,25,
,,,,1524,DICAMILLO N,11,7,3,2,5,,,,,,28,
,,COSM,41,1525,ASSADI J,3,9,3,,,,,,,3,18,
,,,,1526,ASSADI J,7,4,4,1,,,,,,2,18,
,,COSM,42,1527,ROGERS JR J,10,8,2,,,,,,,3,23,
,,,,1528,ROGERS JR J,8,3,1,,2,,,,,4,18,
,,COSM,46,1529,NUNLEY R M,8,5,4,2,3,,,,,1,23,
,,,,1530,NUNLEY R M,8,4,,2,4,,,,,8,26,
,,COSM,48,1531,KEPLER J M,11,7,1,1,1,,,,,1,22,
,,,,1532,KEPLER J M,18,7,2,,1,,,,,4,32,
,,COSM,48,1533,LEDONNE H,6,10,6,1,,,,,,,23,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 15 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Cosmetology,COSM,COSM,48,1534,LEDONNE H,15,16,3,,1,,,,,5,40,
,,COSM,49,1535,ROGERS JR J,,,,,,,,6,19,,25,
,,,,1536,CEBALLOS B A,,,,,,,,11,21,2,34,
,,COSM,50,1537,MOISAN A V,7,6,,,3,,,,,3,19,
,,,,1538,MOISAN A V,2,2,3,,,,,,,3,10,
,,COSM,50,1539,CEBALLOS B A,8,9,2,,,,,,,3,22,
,,,,1540,CEBALLOS B A,7,10,3,,1,,,,,5,26,
,,COSM,50,1541,DICAMILLO N,2,12,,,3,,,,,3,20,
,,,,1542,DICAMILLO N,,16,,,2,,,,,4,22,
,,COSM,59,1543,ROGERS JR J,,,,,,,,4,1,2,7,
,,,,1544,HARRISON H L,,,,,,,,6,7,1,14,
,,COSM,64,1545,LEDONNE H,6,17,2,,4,,,,,3,32,
,,,,1546,LEDONNE H,6,12,12,1,1,,,,,6,38,
,,COSM,75,1549,ROGERS JR J,,,,,,,,1,3,,4,
,,,,1550,ROGERS JR J,,,,,,,,,4,1,5,
,,COSM,75,1551,ROGERS JR J,,,,,,,,,7,,7,
,,,,1552,ROGERS JR J,,,,,,,,1,5,,6,
,,COSM,75,1553,ROGERS JR J,,,,,,,,1,,,1,
,,,,1554,ROGERS JR J,,,,,,,,1,,,1,
,,COSM,75,1555,ROGERS JR J,,,,,,,,,2,,2,
,,,,1556,ROGERS JR J,,,,,,,,1,1,,2,
,,COSM,88,1557,ROGERS JR J,,,,,,,,,1,,1,
,,,,1558,ROGERS JR J,,,,,,,,1,4,,5,
Counseling,COUNS,COUNS,1,1559,CARRILLO-SARR S,,,,,,,,8,25,11,44,
,,,,1560,SOTELO I Y,,,,,,,,17,16,19,52,
,,COUNS,1,1561,SUEKAWA L,,,,,,,,12,25,5,42,
,,,,1562,DAHAN M,,,,,,,,11,28,1,40,
,,,,1563,NUNAG A N,,,,,,,,8,33,2,43,
,,,,1564,THOMPSON C,,,,,,,,9,29,3,41,
,,,,1565,OCAMPO A C,,,,,,,,8,31,2,41,
,,,,1566,HOLMES C K,,,,,,,,1,35,4,40,
,,,,1567,KLINEMAN M S,,,,,,,,4,39,1,44,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 16 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,1,1568,MIRANDA M L,,,,,,,,3,30,1,34,
,,,,1569,HERNANDEZ MA,,,,,,,,12,23,,35,
,,,,1570,TRUONG L,,,,,,,,13,26,3,42,
,,,,1571,THOMPSON C,,,,,,,,9,31,1,41,
,,COUNS,1,1572,HARRIS J E,16,8,5,,4,,,,,4,37,
,,,,1573,COHN-SCHNEIDER R,20,5,1,1,4,,,,,11,42,
,,,,1574,NELLA M C,22,6,2,1,2,,,,,4,37,
,,,,1575,COHN-SCHNEIDER R,25,2,2,1,1,,,,,4,35,
,,,,1576,NELLA M C,16,11,4,1,1,,,,,3,36,
,,,,1577,GAUSMAN J M,29,5,2,,2,,,,,2,40,
,,,,1578,GAUSMAN J M,28,3,2,,4,,,,,1,38,
,,,,3323,DAVY K L,26,2,,,1,,,,,,29,
,,,,3324,DAVY K L,19,4,,,2,,,,,3,28,
,,,,4490,DAVY K L,22,2,,,1,,,,,5,30,
,,COUNS,2,1582,GALINDO O A,7,3,4,5,5,,,,,12,36,
,,,,1583,GALINDO O A,9,1,3,1,3,,,,,11,28,
,,,,1584,GALINDO O A,15,4,4,2,5,,,,,11,41,
,,,,1585,DAHLENBURG T,8,7,7,4,3,,,,,5,34,
,,,,1586,JACKSON A E,11,10,5,2,1,,,,,4,33,
,,,,1587,JIMENEZ P W,10,8,5,1,5,,,,,3,32,
,,,,1588,GALINDO O A,17,5,1,1,3,,,1,,10,38,
,,,,1589,FINCH L A,24,9,5,,,,,,,,38,
,,,,1590,FOX M P,11,10,1,2,7,,1,,,2,34,
,,,,1591,ROBINSON T R,16,4,1,2,4,,,,,7,34,
,,,,1592,VALLEJO O,7,2,7,6,4,,,,,7,33,
,,,,1593,LEWIS M L,13,7,7,4,4,,,,,6,41,
,,,,1594,LEWIS M L,15,7,4,3,7,,,,,4,40,
,,,,1595,BARAJAS B,22,9,10,1,6,,1,,,4,53,
,,,,1596,MONTES DE VEGAS A,5,6,9,6,4,,,,1,,31,
,,,,1597,NUNEZ-MASON R E,14,5,3,4,2,,,,,8,36,
,,,,1598,MCCOOL N A,10,3,4,2,9,,,,,9,37,
,,,,1599,CARRILLO-SARR S,7,7,4,4,6,,,,,4,32,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 17 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,2,1600,MONTES DE VEGAS A,3,4,4,3,8,,,,,7,29,
,,,,1601,DAHLENBURG T,11,7,6,1,3,,,,,5,33,
,,,,1602,CARRILLO-SARR S,14,7,9,,6,,,,,5,41,
,,,,1603,VALENTINE D,25,7,1,,,,,,,8,41,
,,,,1604,COOPER D J,21,4,,3,3,,,,,5,36,
,,,,1605,TREJO A D,14,7,4,3,9,,,,,8,45,
,,,,1606,AKINS RAVELING D,5,8,4,1,15,,,,,6,39,
,,,,1607,JACKSON A E,15,7,6,3,6,,,,,2,39,
,,,,1608,ROBINSON T R,12,10,4,3,3,,,,,4,36,
,,,,1609,FINCH L A,21,3,3,,2,,,,,3,32,
,,,,1610,SOTELO I Y,19,12,3,2,,,,,,4,40,
,,,,1611,CARRILLO-SARR S,10,14,6,3,8,,,,,2,43,
,,,,1612,VALENTINE D,19,4,3,2,3,,,,,8,39,
,,,,1613,COOPER D J,28,4,2,1,1,,,,,1,37,
,,,,1614,ROBINSON J L,9,6,10,5,,,,,,5,35,
,,,,1615,DAHLENBURG T,10,5,8,2,5,,,,,6,36,
,,,,1616,LEWIS M L,6,7,8,4,11,,,,,3,39,
,,,,1617,COOPER D J,22,7,3,1,1,,,,,2,36,
,,,,1618,HACKETT C D,15,14,11,4,2,,,,,1,47,
,,,,1619,JACKSON A E,9,10,8,6,3,,,,,1,37,
,,,,1620,HANSON N J,8,14,4,1,2,,,,,11,40,
,,,,1621,MCCOOL N A,11,4,1,1,4,,,,,7,28,
,,,,1622,VALENTINE D,14,3,4,,,,,,,8,29,
,,,,1623,TREJO A D,26,1,3,,2,,,,,4,36,
,,,,1624,HANSON N J,12,4,3,5,3,,,,,8,35,
,,,,1625,MAIORANO S M,8,9,6,3,2,,,,,8,36,
,,,,1626,STEWART S,21,4,2,2,3,,,,,3,35,
,,,,1627,TREJO A D,18,5,5,3,3,,1,,,7,42,
,,,,1628,TILLEY ROSILYNN E,5,8,3,4,2,,1,,,7,30,
,,,,1629,ROBINSON T R,15,12,2,,2,,,,,1,32,
,,,,1630,STEWART S,17,5,6,,,,,,,7,35,
,,,,1631,NIEVES O,15,12,2,1,2,,,,,2,34,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 18 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Counseling,COUNS,COUNS,2,1632,NIEVES O,14,5,2,,9,,,,,5,35,
,,,,1633,SEIDEN J,11,7,3,1,4,,,,,5,31,
,,,,1634,SEIDEN J,14,3,3,,1,,,,,6,27,
,,,,1635,SEIDEN J,11,4,1,3,4,,,1,,5,29,
,,,,1636,HALL T T,10,2,3,,4,,,1,,8,28,
,,,,1637,HALL T T,11,2,2,1,6,,,,,5,27,
,,,,1638,NAKAO P O,7,5,5,3,3,,,,,7,30,
,,,,1639,NAKAO P O,13,5,1,,5,,,,1,6,31,
,,,,4101,STEWART S,16,5,1,1,5,,,,,7,35,
,,,,4102,MARTIN-TUNGPALA N K,5,7,2,3,8,,,,,3,28,
,,,,4103,NJOKU R,10,8,6,1,,,,,,7,32,
,,,,4104,HOWARD S A,9,17,,,,,,,,3,29,
,,,,4105,ADKINS L B,10,9,2,1,5,,,,,7,34,
,,,,4106,MARTIN-TUNGPALA N K,5,4,6,4,3,,,,,5,27,
,,,,4107,DODGE S H,16,2,6,2,3,,,,,2,31,
,,,,4108,MARTIN-TUNGPALA N K,5,5,7,4,8,,,,,5,34,
,,COUNS,8,1660,SEIDEN J,,,,,,,,,,1,1,
,,COUNS,8,1662,SEIDEN J,1,,,,,,,,,,1,
,,COUNS,8,1663,SEIDEN J,3,,,,,,,,,,3,
,,COUNS,9,1666,ROTHMAN V J,,,,,,,,1,25,,26,
,,COUNS,9,1667,ROTHMAN V J,,,,,,,,2,10,1,13,
,,COUNS,9,1668,ROTHMAN V J,,,,,,,,2,10,,12,
,,COUNS,9,1669,ROTHMAN V J,,,,,,,,,8,,8,
CSIS,ACCTG,ACCTG,35,1046,VALDIVIA O,9,8,1,,2,,,,1,2,23,
,,,,1047,ZIMMERMAN W L,4,8,1,,,,,,1,3,17,
,,,,1048,ZIMMERMAN W L,6,4,1,,3,,,,,,14,
,CIS,CIS,1,1363,RAHNI M,4,10,5,2,1,,,,,7,29,
,,,,1364,RAHNI M,6,11,4,3,,,,,,11,35,
,,,,1365,SCOTT JACQUELINE D,9,3,5,,14,,,,,5,36,
,,,,1366,RAHNI M,5,17,7,2,,,,,,6,37,
,,,,1367,BENTLEY R L,6,5,7,1,1,,,,,7,27,
,,,,1368,HURLEY D P,5,6,3,1,3,,,,,8,26,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 19 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,1,1369,HURLEY D P,6,9,3,1,2,,,,,7,28,
,,,,1370,HAMMOND C M,8,1,2,1,1,,,,,11,24,
,,,,1371,HURLEY D P,5,5,4,,,,,,,5,19,
,,,,1372,HAMMOND C M,9,3,2,1,3,,,,,8,26,
,,,,4083,KURTZ K A,10,6,7,2,2,,,,1,5,33,
,,CIS,4,1373,SCOTT JACQUELINE D,6,6,5,,4,,1,,,13,35,
,,,,1374,EL-KHOURY N R,16,9,2,,3,,,,,5,35,
,,,,1375,JERRY G S,22,3,5,,1,,,,,4,35,
,,,,1376,EL-KHOURY N R,12,7,5,3,1,,,,,6,34,
,,,,1377,EL-KHOURY N R,11,9,9,3,3,,1,,,6,42,
,,,,1378,ROTHAUPT B L,22,4,1,,,,,,1,4,32,
,,,,1379,JERRY G S,17,8,6,1,,,,,,6,38,
,,,,1380,CANADA S A,20,2,2,4,1,,,,,3,32,
,,,,1381,SCOTT JACQUELINE D,8,6,2,,5,,,,,6,27,
,,,,1382,CANADA S A,23,2,1,,1,,,,,3,30,
,,,,1383,BENTLEY R L,20,8,2,2,3,,,,,1,36,
,,,,1384,JERRY G S,14,2,1,,2,,,,,4,23,
,,,,1385,JERRY G S,12,4,2,1,,,,,,5,24,
,,,,1386,ROTHAUPT B L,18,1,,,2,,,,,2,23,
,,,,1387,ROTHAUPT B L,12,3,,,2,,,,,3,20,
,,,,1388,ROTHAUPT B L,14,2,1,1,2,,,,,3,23,
,,,,1389,VALDIVIA O,4,8,3,2,5,,,,,4,26,
,,,,1390,HAMMOND C M,17,2,,,2,,,,1,7,29,
,,,,1391,HAMMOND C M,10,3,,,4,,,,,12,29,
,,,,4084,CANADA S A,12,13,1,,2,,,,,1,29,
,,,,4085,HAMMOND C M,8,7,3,,2,,,,,8,28,
,,,,4086,SIMMONDS A R,19,5,2,1,3,,,1,1,2,34,
,,CIS,9A,1392,DARWICHE J,4,,3,,,,,,,,7,
,,CIS,30,1393,BOLANDHEMAT F,17,7,1,,3,,,,1,6,35,
,,CIS,32,1394,ROTHAUPT B L,10,1,,,1,,,,,8,20,
,,CIS,35,1395,VALDIVIA O,1,2,,,,,,,,1,4,
,,,,1396,ZIMMERMAN W L,3,,1,,4,,,,,1,9,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 20 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CIS,CIS,35,1397,ZIMMERMAN W L,2,1,1,,2,,,,,2,8,
,,CIS,37A,1398,GROSS D M,17,3,4,,1,,,,,4,29,
,,CIS,37B,1399,GROSS D M,9,8,2,1,2,,,,1,2,25,
,,CIS,39,1400,GROSS D M,16,5,,,3,,,,,3,27,
,,CIS,40,1401,VALDIVIA O,3,7,,,6,,,,1,6,23,
,,CIS,50,1402,CLARK G B,12,2,3,,2,,,,,4,23,
,,,,1403,BOLANDHEMAT F,11,3,1,,1,,,,,6,22,
,,,,3265,BOLANDHEMAT F,13,3,,,1,,,,,4,21,
,,CIS,51,1404,CLARK G B,12,4,2,,4,,,,,1,23,
,,,,1405,DARWICHE J,4,5,2,,2,,,,,9,22,
,,,,1406,CLARK G B,14,3,2,,3,,,,,4,26,
,,CIS,54,1407,CHABAN M,19,3,,,3,,,,,4,29,
,,CIS,55,1408,CHABAN M,13,3,2,,1,,,,,5,24,
,,CIS,56,4088,ST AMANT K,6,2,1,,1,,,,,7,17,
,,CIS,59A,1409,JERRY G S,18,2,2,,,,,,,6,28,
,,CIS,59B,4089,ST AMANT K,8,2,2,,2,,,,,8,22,
,,CIS,60A,1410,VALDIVIA O,4,5,4,,2,,,1,,5,21,
,,,,1411,HAMMOND C M,12,2,3,1,,,,1,,7,26,
,,,,4090,ST AMANT K,4,3,2,1,2,,,,1,9,22,
,,CIS,62A,4091,BOLANDHEMAT F,3,,3,3,4,,,,1,7,21,
,,CIS,64,1412,VALDIVIA O,11,5,1,,,,,,1,5,23,
,,CIS,88A,1413,BOLANDHEMAT F,4,,1,,,,,,,,5,
,CS,CS,3,1670,MARCHAND K A,10,7,14,4,2,,,,,6,43,
,,,,1671,ROGLER H L,8,7,10,3,4,,,,,5,37,
,,,,1672,ROGLER H L,5,12,12,3,5,,,,,1,38,
,,,,1673,ROGLER H L,5,10,5,7,,,1,,,3,31,
,,,,1674,MARCHAND K A,16,7,8,,2,,1,,1,9,44,
,,,,1675,ROGLER H L,8,10,6,1,2,,,,,4,31,
,,,,1676,HURLEY D P,12,5,6,,,,,,,6,29,
,,,,1677,HURLEY D P,13,5,1,1,1,,,,,5,26,
,,,,1678,HURLEY D P,10,5,1,2,2,,,,,3,23,
,,,,4109,HURLEY D P,4,15,7,4,1,,,,1,10,42,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 21 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CS,CS,8,1679,DARWICHE J,5,2,3,,5,,,,,7,22,
,,CS,9A,1680,DARWICHE J,9,6,1,,1,,,,,5,22,
,,CS,15,1682,DARWICHE J,10,1,4,2,5,,,,,7,29,
,,,,1683,DARWICHE J,9,3,1,1,6,,,,,14,34,
,,,,4110,ROBERTSON SC E,8,3,4,1,1,,,,,16,33,
,,CS,17,1684,STAHL H A,24,5,1,,2,,,,,7,39,
,,CS,19,1685,DARWICHE J,12,3,4,1,1,,,,,9,30,
,,CS,20A,4111,STAHL H A,16,4,3,,3,,,,,6,32,
,,CS,32,1687,OLSEN A B,11,,,,1,,,,,9,21,
,,CS,41,4112,MORGAN D B,13,7,,,6,,,,,3,29,
,,CS,42,4113,KURTZ K A,10,4,5,2,3,,,,,9,33,
,,CS,50,1688,DEHKHODA A,29,6,2,1,3,,,,,14,55,
,,,,4114,DEHKHODA A,19,15,4,,2,,,,1,10,51,
,,,,4115,DEHKHODA A,12,16,3,,2,,,,,5,38,
,,CS,52,4116,STAHL H A,24,7,2,2,6,,,,,6,47,
,,CS,53A,4117,DEHKHODA A,19,10,,,2,,,,1,4,36,
,,CS,53B,4118,DEHKHODA A,12,3,,,,,1,,,7,23,
,,CS,55,1689,DEHKHODA A,12,15,6,,1,,,,1,6,41,
,,CS,56,1690,DEHKHODA A,23,11,1,1,1,,1,,,4,42,
,,CS,60,4119,ROGLER H L,10,6,2,,2,,,,1,3,24,
,,CS,61,4120,ROGLER H L,10,2,2,,4,,,,,5,23,
,,CS,65,4121,ROGLER H L,6,3,4,,2,,,,,6,21,
,,CS,70,1691,MORGAN D B,9,3,3,1,9,,,,1,4,30,
,,CS,73,1692,STAHL H A,16,3,1,,2,,,,,11,33,
,,CS,78,4122,MORGAN D B,10,2,2,1,,,,,,5,20,
,,CS,80,1693,GEDDES JR J K,25,2,,,1,,,,1,5,34,
,,,,1694,GEDDES JR J K,21,3,1,,3,,1,,,8,37,
,,CS,81,1695,GEDDES JR J K,27,3,1,,,,,,,4,35,
,,CS,85,1696,GEDDES JR J K,27,,,,1,,,,,9,37,
,,CS,86,4123,GEDDES JR J K,17,,1,,2,,,,,7,27,
,,CS,88A,1697,BOLANDHEMAT F,3,,,,,,,,,,3,
,,CS,88C,1699,BOLANDHEMAT F,1,,,,,,,,,,1,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 22 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
CSIS,CS,CS,90A,1700,BOLANDHEMAT F,,,,,,,,,1,,1,
,OFTECH,OFTECH,1,2920,LEIVA C Y,13,5,3,1,5,,,,,2,29,
,,OFTECH,1,2921,GROSS D M,12,,1,,3,,,,1,2,19,
,,,,2922,GROSS D M,12,5,2,,5,,,,,1,25,
,,,,2923,GROSS D M,17,1,2,,3,,,,,3,26,
,,,,2924,GROSS D M,13,1,,,1,,1,,,9,25,
,,OFTECH,1,2925,GROSS D M,3,1,2,,,,,,,,6,
,,,,2926,GROSS D M,1,1,1,,4,,,,,1,8,
,,,,2927,GROSS D M,2,1,,,,,,,,,3,
,,,,2928,GROSS D M,5,,,,,,,,,1,6,
,,OFTECH,1,2929,GROSS D M,1,,,,2,,,,,,3,
,,,,2931,GROSS D M,2,,,,,,,,,,2,
,,,,2932,GROSS D M,,,,,,,,,,4,4,
,,OFTECH,5,2933,MANTABE P,9,7,5,3,4,,,,,6,34,
,,OFTECH,9,2934,GROSS D M,2,1,,,,,,,,,3,
,,,,2935,GROSS D M,,,1,,,,,,,1,2,
,,,,2936,GROSS D M,1,,,,1,,,,,1,3,
,,,,2937,GROSS D M,,1,1,,,,,,,2,4,
,,OFTECH 2,,2938,MANTABE P,13,11,2,1,2,,,,,3,32,
,,OFTECH 2,,4394,LEIVA C Y,6,2,3,,,,,,,1,12,
,,OFTECH 2,,2939,WILLIAMSON TE D,13,8,2,4,2,,,1,,2,32,
